Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Новокузнецкая																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374					
1	"Число избирателей, внесенных в список"	32440	256	1196	1114	311	1838	277	233	844	1269	1200	310	2102	298	899	155	448	279	664	1109	796	876	240	145	1749	1780	863	331	189	206	116	357	734	166	280	514	85	104	153	131	70	153	217	250	165	224	184	340	485	1066	252	175	470	404	194	1372	1802					
2	Число полученных избирательных бюллетеней	30300	250	1150	1100	300	1800	280	240	800	1050	1100	300	2050	300	850	150	400	250	600	1000	750	800	200	130	1600	1650	800	300	170	200	100	330	680	200	250	450	90	100	150	100	70	150	200	230	150	250	180	300	450	1000	300	150	450	400	200	1200	1600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22325	147	772	604	180	1525	221	198	561	847	833	258	1779	258	553	141	280	218	300	646	189	677	176	73	1149	1247	690	279	158	157	92	253	621	148	188	360	74	92	124	100	59	103	176	179	136	206	115	267	392	559	204	90	213	270	178	713	1297					
5	"Число избирательных бюллетеней, выданных вне помещения"	2682	58	90	92	35	39	15	0	118	84	24	11	30	15	59	7	22	1	170	212	312	31	24	57	27	13	0	0	0	0	0	33	39	18	62	36	0	0	0	0	0	32	6	25	9	18	38	33	58	58	48	42	177	84	16	231	73					
6	Число погашенных избирательных бюллетеней	5293	45	288	404	85	236	44	42	121	119	243	31	241	27	238	2	98	31	130	142	249	92	0	0	424	390	110	21	12	43	8	44	20	34	0	54	16	8	26	0	11	15	18	26	5	26	27	0	0	383	48	18	60	46	6	256	230					
7	Число избирательных бюллетеней в переносных ящиках	2682	58	90	92	35	39	15	0	118	84	24	11	30	15	59	7	22	1	170	212	312	31	24	57	27	13	0	0	0	0	0	33	39	18	62	36	0	0	0	0	0	32	6	25	9	18	38	33	58	58	48	42	177	84	16	231	73					
8	Число бюллетеней в стационарных ящиках для голосования	22323	147	772	604	180	1525	221	198	561	845	833	258	1779	258	553	141	280	218	300	646	189	677	176	73	1149	1247	690	279	158	157	92	253	621	148	188	360	74	92	124	100	59	103	176	179	136	206	115	267	392	559	204	90	213	270	178	713	1297					
9	Число недействительных избирательных бюллетеней	251	2	3	8	0	31	0	0	0	7	6	3	63	0	4	1	4	1	1	11	3	7	3	1	11	9	7	0	0	3	0	2	3	2	6	4	0	0	0	1	1	0	1	3	0	2	0	2	0	9	0	0	1	1	4	5	15					
10	Число действительных избирательных бюллетеней	24754	203	859	688	215	1533	236	198	679	922	851	266	1746	273	608	147	298	218	469	847	498	701	197	129	1165	1251	683	279	158	154	92	284	657	164	244	392	74	92	124	99	58	135	181	201	145	222	153	298	450	608	252	132	389	353	190	939	1355					
