Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Соликамская городская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627	УИК №3628	УИК №3629	УИК №3630	УИК №3631	УИК №3632	УИК №3633	УИК №3634	УИК №3635	УИК №3636	УИК №3637	УИК №3638	УИК №3639	УИК №3640					
1	"Число избирателей, внесенных в список"	75586	1242	1066	2447	2493	2658	2035	2716	2780	2009	2556	2144	2797	2123	2679	2067	1616	938	2583	1970	2972	631	2129	2272	2792	2561	921	2483	892	1262	2805	2485	2405	2600	1957	812	990	989	209	300	200					
2	Число полученных избирательных бюллетеней	73320	1200	1000	2400	2500	2700	2000	2700	2700	2000	2500	2000	2600	2000	2600	2000	1600	800	2300	1900	2900	680	2000	2000	2700	2500	800	2500	800	1200	2800	2500	2400	2600	1900	800	990	1000	220	300	230					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	43891	545	440	1258	1420	1543	1235	1864	1833	1283	1618	1261	1702	1270	1565	1185	788	432	1498	1271	1793	337	1323	1425	1647	1422	528	1563	447	657	1553	1421	1311	1416	1024	364	399	541	209	300	200					
5	"Число избирательных бюллетеней, выданных вне помещения"	2147	67	89	76	81	112	33	52	25	43	26	77	50	24	71	72	125	58	163	14	21	71	21	26	33	23	15	24	29	76	161	77	84	46	49	7	96	30	0	0	0					
6	Число погашенных избирательных бюллетеней	27282	588	471	1066	999	1045	732	784	842	674	856	662	848	706	964	743	687	310	639	615	1086	272	656	549	1020	1055	257	913	324	467	1086	1002	1005	1138	827	429	495	429	11	0	30					
7	Число избирательных бюллетеней в переносных ящиках	2147	67	89	76	81	112	33	52	25	43	26	77	50	24	71	72	125	58	163	14	21	71	21	26	33	23	15	24	29	76	161	77	84	46	49	7	96	30	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	43857	545	440	1258	1419	1543	1235	1864	1833	1283	1592	1259	1702	1270	1564	1185	788	432	1498	1271	1793	337	1323	1425	1647	1422	528	1562	447	657	1553	1418	1311	1416	1024	364	399	541	209	300	200					
9	Число недействительных избирательных бюллетеней	405	5	3	11	24	18	3	22	17	4	16	0	16	23	15	8	13	3	8	12	14	9	5	12	15	10	7	5	8	5	14	30	9	17	9	2	4	5	4	0	0					
10	Число действительных избирательных бюллетеней	45599	607	526	1323	1476	1637	1265	1894	1841	1322	1602	1336	1736	1271	1620	1249	900	487	1653	1273	1800	399	1339	1439	1665	1435	536	1581	468	728	1700	1465	1386	1445	1064	369	491	566	205	300	200					
11	Число полученных открепительных  удостоверений	2495	60	60	60	60	60	60	60	60	60	60	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	75	70	70	70	70	70	70	70	70	70	70	0	0	0					
12	Число выданных открепительных удостоверений	789	7	2	14	26	56	60	29	18	16	25	16	30	33	27	15	20	8	18	19	21	13	26	15	24	14	5	29	11	20	20	36	48	19	15	21	7	6	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	617	6	3	16	48	10	24	8	23	6	6	5	19	5	9	21	7	9	9	7	10	9	10	4	7	9	15	14	13	15	23	9	6	9	9	3	16	9	104	37	45					
14	Число неиспользованных открепительных удостоверений	1706	53	58	46	34	4	0	31	42	44	35	54	40	37	43	55	50	62	52	51	49	57	44	55	46	56	65	46	59	50	50	34	22	51	55	49	63	64	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	1856	21	23	59	67	68	63	77	80	52	70	57	72	65	57	47	23	16	62	31	65	21	48	50	77	70	20	86	11	35	83	55	51	57	39	7	18	26	12	13	2					
