Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Саровская городская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072					
1	"Число избирателей, внесенных в список"	74410	1270	1397	274	3085	2129	2138	1958	2912	2157	2920	2203	2526	2864	1739	2755	1956	1900	1984	1865	2139	2171	2104	2082	2175	2086	2317	2208	2073	2186	2206	2070	2118	2086	2252	2081	24					
2	Число полученных избирательных бюллетеней	67327	1130	1260	247	2800	1920	1930	1770	2610	1970	2620	2000	2270	2560	1570	2470	1760	1710	1790	1690	1920	1950	1910	1880	1980	1920	2100	2040	1870	2010	2000	1870	1900	1890	2020	1890	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	1124	0	0	0	298	0	0	0	0	0	0	0	0	182	0	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	41858	595	496	100	1571	1229	1213	1078	1497	1199	1684	1261	1361	1746	965	990	1041	1168	1161	1118	1246	1369	1236	1261	1266	1296	1289	1275	1254	1260	1344	1206	1269	1220	1360	1222	12					
5	"Число избирательных бюллетеней, выданных вне помещения"	711	6	30	9	26	9	18	6	22	6	7	7	10	10	32	3	31	24	15	16	39	19	45	29	39	30	29	37	14	26	22	22	21	12	15	13	12					
6	Число погашенных избирательных бюллетеней	23634	529	734	138	905	682	699	686	1091	765	929	732	899	622	573	833	688	518	614	556	635	562	629	590	675	594	782	728	602	724	634	642	610	658	645	655	76					
7	Число избирательных бюллетеней в переносных ящиках	1835	6	30	9	324	9	18	6	22	6	7	7	10	192	32	647	31	24	15	16	39	19	45	29	39	30	29	37	14	26	22	22	21	12	15	13	12					
8	Число бюллетеней в стационарных ящиках для голосования	41832	595	496	100	1571	1228	1213	1078	1496	1198	1681	1261	1360	1746	965	990	1040	1165	1161	1118	1246	1369	1236	1261	1266	1291	1287	1275	1253	1260	1344	1204	1267	1219	1359	1221	12					
9	Число недействительных избирательных бюллетеней	229	4	2	0	5	11	10	10	11	12	9	10	11	10	8	4	7	4	6	4	8	4	6	5	8	1	4	6	2	9	4	4	15	6	5	4	0					
10	Число действительных избирательных бюллетеней	43438	597	524	109	1890	1226	1221	1074	1507	1192	1679	1258	1359	1928	989	1633	1064	1185	1170	1130	1277	1384	1275	1285	1297	1320	1312	1306	1265	1277	1362	1222	1273	1225	1369	1230	24					
11	Число полученных открепительных  удостоверений	985	14	29	14	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	39	29	29	29	29	29	29	29	19	0					
12	Число выданных открепительных удостоверений	462	7	4	1	11	9	11	9	23	7	14	13	10	19	7	12	6	11	10	14	12	12	14	9	14	28	28	29	16	29	14	15	7	14	11	12	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	220	4	2	0	1	5	12	1	10	3	4	3	6	3	3	30	6	6	1	5	4	11	3	6	3	6	16	4	11	2	3	2	6	2	4	8	24					
14	Число неиспользованных открепительных удостоверений	523	7	25	13	18	20	18	20	6	22	15	16	19	10	22	17	23	18	19	15	17	17	15	20	15	1	1	10	13	0	15	14	22	15	18	7	0					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	2367	25	32	11	46	72	67	62	62	53	100	60	67	72	55	32	50	82	57	52	70	90	72	74	79	106	67	99	77	95	74	73	86	88	89	71	0					
		5.42%	4.16%	6.08%	10.09%	2.43%	5.82%	5.44%	5.72%	4.08%	4.40%	5.92%	4.73%	4.89%	3.72%	5.52%	1.95%	4.67%	6.90%	4.85%	4.59%	5.45%	6.48%	5.62%	5.74%	6.05%	8.02%	5.09%	7.55%	6.08%	7.39%	5.42%	5.95%	6.68%	7.15%	6.48%	5.75%	0.00%					
19	. Малышкин Олег Александрович	813	12	9	4	47	32	21	22	48	30	19	32	22	49	14	39	12	10	28	24	28	16	30	27	20	9	25	17	15	17	23	20	20	17	17	38	0					
		1.86%	2.00%	1.71%	3.67%	2.48%	2.59%	1.71%	2.03%	3.16%	2.49%	1.13%	2.52%	1.61%	2.53%	1.40%	2.38%	1.12%	0.84%	2.38%	2.12%	2.18%	1.15%	2.34%	2.09%	1.53%	0.68%	1.90%	1.30%	1.18%	1.32%	1.68%	1.63%	1.55%	1.38%	1.24%	3.08%	0.00%					
20	. Миронов Сергей Михайлович	285	7	5	0	8	7	3	8	7	8	16	10	9	8	8	16	11	8	8	10	6	7	4	8	11	7	6	14	4	7	6	11	6	15	8	8	0					
		0.65%	1.16%	0.95%	0.00%	0.42%	0.57%	0.24%	0.74%	0.46%	0.66%	0.95%	0.79%	0.66%	0.41%	0.80%	0.98%	1.03%	0.67%	0.68%	0.88%	0.47%	0.50%	0.31%	0.62%	0.84%	0.53%	0.46%	1.07%	0.32%	0.54%	0.44%	0.90%	0.47%	1.22%	0.58%	0.65%	0.00%					
21	. Путин Владимир Владимирович	30058	422	366	67	1524	805	863	755	1084	843	1191	880	965	1536	688	1310	744	789	755	782	858	932	832	912	861	846	902	802	853	833	931	794	786	806	895	827	19					
		68.83%	70.22%	69.58%	61.47%	80.42%	65.08%	70.11%	69.65%	71.41%	70.02%	70.56%	69.40%	70.44%	79.26%	69.01%	80.02%	69.47%	66.36%	64.20%	68.96%	66.77%	67.15%	64.95%	70.70%	65.98%	64.04%	68.54%	61.13%	67.32%	64.77%	68.16%	64.76%	61.02%	65.48%	65.14%	67.02%	79.17%					
22	. Хакамада Ирина Муцуовна	2300	40	18	1	59	52	54	49	73	59	105	53	69	69	44	52	44	60	68	59	73	69	99	64	88	73	99	116	77	87	64	71	78	66	87	57	4					
		5.27%	6.66%	3.42%	0.92%	3.11%	4.20%	4.39%	4.52%	4.81%	4.90%	6.22%	4.18%	5.04%	3.56%	4.41%	3.18%	4.11%	5.05%	5.78%	5.20%	5.68%	4.97%	7.73%	4.96%	6.74%	5.53%	7.52%	8.84%	6.08%	6.77%	4.69%	5.79%	6.06%	5.36%	6.33%	4.62%	16.67%					
23	. Харитонов Николай Михайлович	5591	60	75	22	139	207	152	124	163	145	155	159	166	125	144	98	151	166	187	149	198	208	190	148	188	205	167	177	179	156	204	198	239	176	190	181	0					
		12.80%	9.98%	14.26%	20.18%	7.34%	16.73%	12.35%	11.44%	10.74%	12.04%	9.18%	12.54%	12.12%	6.45%	14.44%	5.99%	14.10%	13.96%	15.90%	13.14%	15.41%	14.99%	14.83%	11.47%	14.41%	15.52%	12.69%	13.49%	14.13%	12.13%	14.93%	16.15%	18.56%	14.30%	13.83%	14.67%	0.00%					
																																											
24	Против всех	2024	31	19	4	67	51	61	54	70	54	93	64	61	69	36	86	52	70	67	54	44	62	48	52	50	74	46	81	60	82	60	55	58	57	83	48	1					
		4.64%	5.16%	3.61%	3.67%	3.54%	4.12%	4.96%	4.98%	4.61%	4.49%	5.51%	5.05%	4.45%	3.56%	3.61%	5.25%	4.86%	5.89%	5.70%	4.76%	3.42%	4.47%	3.75%	4.03%	3.83%	5.60%	3.50%	6.17%	4.74%	6.38%	4.39%	4.49%	4.50%	4.63%	6.04%	3.89%	4.17%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
