Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Юргинская городская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092					
1	"Число избирателей, внесенных в список"	64974	1332	984	108	1760	1812	1154	1033	1037	906	1112	1670	1521	1490	1870	1098	1121	1420	1493	2898	2602	2354	2405	2520	531	1630	2148	2089	1191	1717	1816	1750	1326	1899	1507	1626	1428	1658	2135	1192	1420	2211					
2	Число полученных избирательных бюллетеней	61560	1200	900	110	1600	1700	1100	950	1300	850	1050	1550	1450	1400	1800	1050	1050	1450	1400	2700	2400	2200	2500	2300	500	1500	2000	2000	1150	1650	1700	1650	1250	1800	1400	1500	1400	1600	2000	1100	1350	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	39217	675	468	36	801	873	603	513	536	536	778	890	951	880	1169	748	752	921	745	1752	1644	1361	2262	1523	304	958	1326	1266	774	1030	1025	1053	773	1195	914	982	999	1071	1289	709	841	1291					
5	"Число избирательных бюллетеней, выданных вне помещения"	2422	59	75	72	79	103	81	58	86	23	32	51	61	49	91	57	17	32	71	91	90	81	143	34	30	24	40	35	29	45	42	18	32	66	41	59	68	65	82	25	86	99					
6	Число погашенных избирательных бюллетеней	19921	466	357	2	720	724	416	379	678	291	240	609	438	471	540	245	281	497	584	857	666	758	95	743	166	518	634	699	347	575	633	579	445	539	445	459	333	464	629	366	423	610					
7	Число избирательных бюллетеней в переносных ящиках	2422	59	75	72	79	103	81	58	86	23	32	51	61	49	91	57	17	32	71	91	90	81	143	34	30	24	40	35	29	45	42	18	32	66	41	59	68	65	82	25	86	99					
8	Число бюллетеней в стационарных ящиках для голосования	39204	675	468	36	801	873	603	513	536	536	778	890	951	880	1168	747	752	921	745	1752	1643	1358	2262	1519	304	958	1325	1266	774	1030	1025	1053	773	1195	914	982	999	1071	1288	708	841	1291					
9	Число недействительных избирательных бюллетеней	244	4	4	3	6	6	4	5	5	1	7	8	2	6	15	6	1	4	11	12	10	2	1	8	4	8	7	12	5	4	4	5	4	10	7	6	8	6	11	1	4	7					
10	Число действительных избирательных бюллетеней	41382	730	539	105	874	970	680	566	617	558	803	933	1010	923	1244	798	768	949	805	1831	1723	1437	2404	1545	330	974	1358	1289	798	1071	1063	1066	801	1251	948	1035	1059	1130	1359	732	923	1383					
11	Число полученных открепительных  удостоверений	781	5	5	0	5	10	5	5	40	22	16	15	10	10	19	13	15	15	10	30	18	60	145	25	5	18	25	19	13	18	19	19	15	12	11	10	17	24	14	15	15	14					
12	Число выданных открепительных удостоверений	736	5	4	0	3	9	5	1	31	17	13	10	10	10	18	13	15	11	10	30	17	60	145	25	5	18	23	19	12	18	19	19	15	12	11	8	17	24	14	11	15	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	676	2	6	8	8	8	5	4	4	8	4	8	9	5	13	6	2	1	1	9	10	43	400	0	1	7	6	4	5	7	7	2	3	4	5	5	21	9	10	5	3	8					
14	Число неиспользованных открепительных удостоверений	45	0	1	0	2	1	0	4	9	5	3	5	0	0	1	0	0	4	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	4	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	16	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	1816	31	22	10	30	38	20	5	19	28	38	39	46	39	49	31	60	60	21	98	107	45	12	87	8	55	79	76	34	44	54	55	25	56	44	49	36	49	67	33	50	67					
		4.36%	4.22%	4.05%	9.26%	3.41%	3.89%	2.92%	0.88%	3.05%	5.01%	4.69%	4.14%	4.55%	4.20%	3.89%	3.86%	7.80%	6.30%	2.57%	5.32%	6.17%	3.13%	0.50%	5.60%	2.40%	5.60%	5.79%	5.84%	4.23%	4.09%	5.06%	5.14%	3.11%	4.44%	4.61%	4.71%	3.37%	4.31%	4.89%	4.50%	5.39%	4.82%					
19	. Малышкин Олег Александрович	1463	37	17	2	58	52	39	23	22	22	25	47	32	34	44	17	20	33	38	61	50	44	19	55	27	30	59	56	28	52	39	49	21	40	34	25	28	34	50	18	35	47					
		3.51%	5.04%	3.13%	1.85%	6.59%	5.33%	5.70%	4.03%	3.54%	3.94%	3.09%	4.99%	3.16%	3.66%	3.49%	2.11%	2.60%	3.46%	4.66%	3.31%	2.89%	3.06%	0.79%	3.54%	8.08%	3.05%	4.32%	4.30%	3.49%	4.84%	3.66%	4.58%	2.61%	3.17%	3.56%	2.40%	2.62%	2.99%	3.65%	2.46%	3.78%	3.38%					
20	. Миронов Сергей Михайлович	445	11	6	2	6	8	6	6	8	3	9	11	16	8	15	13	7	10	5	24	22	6	5	19	7	14	20	15	15	11	11	16	7	13	16	14	11	15	7	6	12	9					
		1.07%	1.50%	1.10%	1.85%	0.68%	0.82%	0.88%	1.05%	1.29%	0.54%	1.11%	1.17%	1.58%	0.86%	1.19%	1.62%	0.91%	1.05%	0.61%	1.30%	1.27%	0.42%	0.21%	1.22%	2.10%	1.43%	1.47%	1.15%	1.87%	1.02%	1.03%	1.49%	0.87%	1.03%	1.68%	1.34%	1.03%	1.32%	0.51%	0.82%	1.29%	0.65%					
21	. Путин Владимир Владимирович	25640	409	363	56	587	643	412	355	381	348	460	585	589	525	757	412	461	537	509	998	1007	1157	2247	916	202	596	785	788	467	628	663	654	508	734	524	607	591	640	768	431	556	784					
		61.60%	55.72%	66.85%	51.85%	66.70%	65.88%	60.23%	62.17%	61.25%	62.25%	56.79%	62.17%	58.20%	56.51%	60.13%	51.24%	59.95%	56.35%	62.38%	54.15%	58.11%	80.40%	93.43%	58.98%	60.48%	60.69%	57.51%	60.57%	58.16%	58.42%	62.14%	61.06%	63.11%	58.21%	54.87%	58.31%	55.39%	56.34%	56.06%	58.80%	59.98%	56.40%					
22	. Хакамада Ирина Муцуовна	1724	35	26	1	27	25	16	18	29	28	43	38	34	37	35	55	41	37	33	96	78	37	36	94	8	48	61	49	39	49	52	55	45	44	31	36	75	55	50	29	28	71					
		4.14%	4.77%	4.79%	0.93%	3.07%	2.56%	2.34%	3.15%	4.66%	5.01%	5.31%	4.04%	3.36%	3.98%	2.78%	6.84%	5.33%	3.88%	4.04%	5.21%	4.50%	2.57%	1.50%	6.05%	2.40%	4.89%	4.47%	3.77%	4.86%	4.56%	4.87%	5.14%	5.59%	3.49%	3.25%	3.46%	7.03%	4.84%	3.65%	3.96%	3.02%	5.11%					
23	. Харитонов Николай Михайлович	8625	188	89	27	140	175	158	143	142	98	195	174	252	242	301	237	146	213	178	494	389	115	22	275	50	193	268	248	175	240	209	184	165	317	263	271	259	291	356	187	207	349					
		20.72%	25.61%	16.39%	25.00%	15.91%	17.93%	23.10%	25.04%	22.83%	17.53%	24.07%	18.49%	24.90%	26.05%	23.91%	29.48%	18.99%	22.35%	21.81%	26.80%	22.45%	7.99%	0.91%	17.71%	14.97%	19.65%	19.63%	19.06%	21.79%	22.33%	19.59%	17.18%	20.50%	25.14%	27.54%	26.03%	24.27%	25.62%	25.99%	25.51%	22.33%	25.11%					
																																																
24	Против всех	1669	19	16	7	26	29	29	16	16	31	33	39	41	38	43	33	33	59	21	60	70	33	63	99	28	38	86	57	40	47	35	53	30	47	36	33	59	46	61	28	35	56					
		4.01%	2.59%	2.95%	6.48%	2.95%	2.97%	4.24%	2.80%	2.57%	5.55%	4.07%	4.14%	4.05%	4.09%	3.42%	4.10%	4.29%	6.19%	2.57%	3.26%	4.04%	2.29%	2.62%	6.37%	8.38%	3.87%	6.30%	4.38%	4.98%	4.37%	3.28%	4.95%	3.73%	3.73%	3.77%	3.17%	5.53%	4.05%	4.45%	3.82%	3.78%	4.03%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
