Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Плавская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696					
14	Число погашенных неиспользованных открепительных удостоверений	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	262	25	19	28	8	21	12	12	15	4	22	8	1	3	14	15	4	1	2	3	1	0	0	0	1	1	9	11	5	9	5	3					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	408	3	9	6	9	8	5	53	10	46	7	55	9	7	0	0	25	3	8	60	18	5	0	1	7	5	10	7	21	0	9	2					
		3.02%	0.35%	0.90%	0.71%	1.29%	1.12%	0.67%	9.94%	1.30%	12.27%	0.72%	10.68%	8.82%	1.19%	0.00%	0.00%	5.49%	1.20%	6.40%	8.39%	10.34%	3.82%	0.00%	0.36%	5.07%	3.70%	2.93%	1.75%	6.82%	0.00%	3.91%	1.50%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2251	237	280	84	125	187	195	57	218	51	302	66	5	5	24	23	46	5	19	106	15	17	7	29	17	9	29	38	33	0	13	9					
		16.66%	27.72%	28.00%	9.91%	17.88%	26.19%	26.00%	10.69%	28.35%	13.60%	31.10%	12.82%	4.90%	0.85%	8.00%	9.27%	10.11%	2.01%	15.20%	14.83%	8.62%	12.98%	3.47%	10.47%	12.32%	6.67%	8.50%	9.50%	10.71%	0.00%	5.65%	6.77%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	124	7	10	12	4	12	4	7	1	4	20	6	0	3	1	2	3	3	2	6	2	2	0	2	1	0	1	3	3	0	2	1					
		0.92%	0.82%	1.00%	1.42%	0.57%	1.68%	0.53%	1.31%	0.13%	1.07%	2.06%	1.17%	0.00%	0.51%	0.33%	0.81%	0.66%	1.20%	1.60%	0.84%	1.15%	1.53%	0.00%	0.72%	0.72%	0.00%	0.29%	0.75%	0.97%	0.00%	0.87%	0.75%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	816	29	23	149	9	12	8	116	12	45	28	55	7	9	0	0	46	7	17	105	25	17	0	4	15	11	28	10	3	0	24	2					
		6.04%	3.39%	2.30%	17.57%	1.29%	1.68%	1.07%	21.76%	1.56%	12.00%	2.88%	10.68%	6.86%	1.53%	0.00%	0.00%	10.11%	2.81%	13.60%	14.69%	14.37%	12.98%	0.00%	1.44%	10.87%	8.15%	8.21%	2.50%	0.97%	0.00%	10.43%	1.50%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	220	19	11	19	17	15	11	11	20	13	21	4	1	8	1	0	4	1	3	16	3	3	0	1	2	0	2	5	1	4	3	1					
		1.63%	2.22%	1.10%	2.24%	2.43%	2.10%	1.47%	2.06%	2.60%	3.47%	2.16%	0.78%	0.98%	1.36%	0.33%	0.00%	0.88%	0.40%	2.40%	2.24%	1.72%	2.29%	0.00%	0.36%	1.45%	0.00%	0.59%	1.25%	0.32%	1.72%	1.30%	0.75%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9491	550	655	565	529	469	519	280	500	201	559	314	80	555	272	216	328	227	76	400	108	85	195	237	96	110	266	331	246	229	175	118					
		70.23%	64.33%	65.50%	66.63%	75.68%	65.69%	69.20%	52.53%	65.02%	53.60%	57.57%	60.97%	78.43%	94.23%	90.67%	87.10%	72.09%	91.16%	60.80%	55.94%	62.07%	64.89%	96.53%	85.56%	69.57%	81.48%	78.01%	82.75%	79.87%	98.28%	76.09%	88.72%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	62	4	3	2	1	8	2	3	3	4	10	5	0	2	0	2	0	1	0	4	1	1	0	2	0	0	2	1	1	0	0	0					
		0.46%	0.47%	0.30%	0.24%	0.14%	1.12%	0.27%	0.56%	0.39%	1.07%	1.03%	0.97%	0.00%	0.34%	0.00%	0.81%	0.00%	0.40%	0.00%	0.56%	0.57%	0.76%	0.00%	0.72%	0.00%	0.00%	0.59%	0.25%	0.32%	0.00%	0.00%	0.00%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
