Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Кулинская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК  744	УИК  745	УИК  746	УИК  747	УИК  748	УИК  749	УИК  750	УИК  751	УИК  752	УИК  753	УИК  754	УИК  755	УИК  756	УИК  757	УИК  758	УИК  759	УИК  760					
1	"Число избирателей, внесенных в список"	5827	807	1928	168	245	369	336	124	177	115	544	140	170	156	214	73	182	79					
2	Число полученных избирательных бюллетеней	5827	807	1928	168	245	369	336	124	177	115	544	140	170	156	214	73	182	79					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5260	750	1708	141	224	338	306	110	163	108	510	126	150	141	190	63	162	70					
5	"Число избирательных бюллетеней, выданных вне помещения"	335	17	124	20	12	17	20	10	9	5	18	0	17	10	17	10	20	9					
6	Число погашенных избирательных бюллетеней	232	40	96	7	9	14	10	4	5	2	16	14	3	5	7	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках	335	17	124	20	12	17	20	10	9	5	18	0	17	10	17	10	20	9					
8	Число бюллетеней в стационарных ящиках для голосования	5260	750	1708	141	224	338	306	110	163	108	510	126	150	141	190	63	162	70					
9	Число недействительных избирательных бюллетеней	23	1	4	0	1	2	1	0	2	1	3	0	1	1	3	1	2	0					
10	Число действительных избирательных бюллетеней	5572	766	1828	161	235	353	325	120	170	112	525	126	166	150	204	72	180	79					
11	Число полученных открепительных  удостоверений	250	30	40	10	25	25	25	10	10	10	25	10	10	10	10	0	0	0					
12	Число выданных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	250	30	40	10	25	25	25	10	10	10	25	10	10	10	10	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	5	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.09%	0.13%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	5459	760	1793	158	230	346	319	118	166	106	517	113	164	150	197	71	180	71					
		97.57%	99.09%	97.87%	98.14%	97.46%	97.46%	97.85%	98.33%	96.51%	93.81%	97.92%	89.68%	98.20%	99.34%	95.17%	97.26%	98.90%	89.87%					
22	. Хакамада Ирина Муцуовна	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	75	5	24	1	3	4	5	0	0	0	7	13	2	0	7	1	0	3					
		1.34%	0.65%	1.31%	0.62%	1.27%	1.13%	1.53%	0.00%	0.00%	0.00%	1.33%	10.32%	1.20%	0.00%	3.38%	1.37%	0.00%	3.80%					
																								
24	Против всех	33	0	7	2	2	3	1	2	4	6	1	0	0	0	0	0	0	5					
		0.59%	0.00%	0.38%	1.24%	0.85%	0.85%	0.31%	1.67%	2.33%	5.31%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.33%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
