Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Котельничская городская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645					
1	"Число избирателей, внесенных в список"	22216	1393	1632	1013	176	1124	877	651	120	1773	1301	1031	1485	766	1826	1974	282	1295	1396	831	894	298	78					
2	Число полученных избирательных бюллетеней	20220	1200	1400	900	180	1000	800	600	120	1600	1200	900	1400	700	1700	1800	270	1200	1300	800	800	250	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11372	669	787	473	97	618	477	381	80	1077	695	513	707	438	943	1028	117	619	646	382	398	159	68					
5	"Число избирательных бюллетеней, выданных вне помещения"	1085	74	65	94	3	40	45	33	9	58	56	73	95	31	52	99	29	61	76	61	14	17	0					
6	Число погашенных избирательных бюллетеней	7763	457	548	333	80	342	278	186	31	465	449	314	598	231	705	673	124	520	578	357	388	74	32					
7	Число избирательных бюллетеней в переносных ящиках	1085	74	65	94	3	40	45	33	9	58	56	73	95	31	52	99	29	61	76	61	14	17	0					
8	Число бюллетеней в стационарных ящиках для голосования	11371	669	787	473	97	618	477	381	80	1076	695	513	707	438	943	1028	117	619	646	382	398	159	68					
9	Число недействительных избирательных бюллетеней	74	7	0	4	0	2	8	4	1	4	5	3	4	6	2	10	0	3	3	4	1	1	2					
10	Число действительных избирательных бюллетеней	12382	736	852	563	100	656	514	410	88	1130	746	583	798	463	993	1117	146	677	719	439	411	175	66					
11	Число полученных открепительных  удостоверений	586	30	30	25	15	25	50	20	10	40	30	25	30	25	50	40	15	50	25	16	20	15	0					
12	Число выданных открепительных удостоверений	165	8	11	8	0	4	11	11	0	13	13	10	2	1	50	10	1	3	7	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	104	17	4	4	1	7	5	2	0	3	10	3	2	7	12	9	1	2	8	4	2	0	1					
14	Число неиспользованных открепительных удостоверений	421	22	19	17	15	21	39	9	10	27	17	15	28	24	0	30	14	47	18	16	18	15	0					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	3	1	1	0	0	0	0	0	1	1	1	1	1	3	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	529	34	22	21	4	34	26	24	0	59	32	35	30	22	41	49	6	31	26	15	16	2	0					
		4.25%	4.58%	2.58%	3.70%	4.00%	5.17%	4.98%	5.80%	0.00%	5.20%	4.26%	5.97%	3.74%	4.69%	4.12%	4.35%	4.11%	4.56%	3.60%	3.39%	3.88%	1.14%	0.00%					
19	. Малышкин Олег Александрович	329	24	27	14	4	13	4	8	6	25	13	10	22	15	15	35	6	27	25	20	8	8	0					
		2.64%	3.23%	3.17%	2.47%	4.00%	1.98%	0.77%	1.93%	6.74%	2.20%	1.73%	1.71%	2.74%	3.20%	1.51%	3.11%	4.11%	3.97%	3.46%	4.51%	1.94%	4.55%	0.00%					
20	. Миронов Сергей Михайлович	129	8	7	4	0	7	11	5	0	12	11	6	6	7	7	11	3	10	6	3	4	1	0					
		1.04%	1.08%	0.82%	0.71%	0.00%	1.06%	2.11%	1.21%	0.00%	1.06%	1.46%	1.02%	0.75%	1.49%	0.70%	0.98%	2.05%	1.47%	0.83%	0.68%	0.97%	0.57%	0.00%					
21	. Путин Владимир Владимирович	7444	430	528	345	66	365	295	272	56	657	409	354	530	282	606	612	89	440	374	283	278	119	54					
		59.76%	57.87%	61.97%	60.85%	66.00%	55.47%	56.51%	65.70%	62.92%	57.94%	54.46%	60.41%	66.08%	60.13%	60.90%	54.30%	60.96%	64.71%	51.80%	63.88%	67.48%	67.61%	79.41%					
22	. Хакамада Ирина Муцуовна	343	23	20	12	4	31	21	9	3	26	20	13	25	12	23	32	5	15	21	11	8	6	3					
		2.75%	3.10%	2.35%	2.12%	4.00%	4.71%	4.02%	2.17%	3.37%	2.29%	2.66%	2.22%	3.12%	2.56%	2.31%	2.84%	3.42%	2.21%	2.91%	2.48%	1.94%	3.41%	4.41%					
23	. Харитонов Николай Михайлович	3201	192	218	145	21	178	145	83	22	314	207	148	173	111	273	337	32	136	237	95	90	38	6					
		25.70%	25.84%	25.59%	25.57%	21.00%	27.05%	27.78%	20.05%	24.72%	27.69%	27.56%	25.26%	21.57%	23.67%	27.44%	29.90%	21.92%	20.00%	32.83%	21.44%	21.84%	21.59%	8.82%					
																													
24	Против всех	407	25	30	22	1	28	12	9	1	37	54	17	12	14	28	41	5	18	30	12	7	1	3					
		3.27%	3.36%	3.52%	3.88%	1.00%	4.26%	2.30%	2.17%	1.12%	3.26%	7.19%	2.90%	1.50%	2.99%	2.81%	3.64%	3.42%	2.65%	4.16%	2.71%	1.70%	0.57%	4.41%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
