Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																						
Дата голосования: 04.12.2011																																																						
																																																						
Наименование Избирательной комиссии:    Каменская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1002	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1025	УИК №2442	УИК №2443					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1880	53	45	349	18	6	49	38	10	9	19	89	27	84	9	70	4	15	34	26	13	32	9	30	23	163	6	6	89	98	20	14	22	39	19	40	6	22	82	65	0	7	19	2	9	20	34	37					
		6.72%	13.70%	11.42%	22.96%	21.69%	8.96%	16.23%	6.18%	7.19%	5.29%	9.50%	6.64%	2.14%	10.61%	1.18%	3.80%	0.27%	2.68%	16.19%	8.78%	3.95%	9.22%	4.57%	9.38%	3.12%	14.32%	1.17%	1.49%	13.38%	9.11%	6.08%	3.35%	11.22%	15.12%	13.97%	3.98%	4.76%	4.10%	4.84%	3.25%	0.00%	1.86%	7.85%	2.60%	3.05%	7.02%	13.44%	16.37%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2644	47	53	221	16	5	51	39	5	11	22	125	136	87	88	87	151	65	41	31	22	38	7	48	29	45	62	39	101	110	20	63	16	24	21	74	10	43	87	180	154	38	6	7	12	36	23	48					
		9.45%	12.14%	13.45%	14.54%	19.28%	7.46%	16.89%	6.34%	3.60%	6.47%	11.00%	9.33%	10.79%	10.98%	11.56%	4.72%	10.11%	11.61%	19.52%	10.47%	6.69%	10.95%	3.55%	15.00%	3.93%	3.95%	12.09%	9.70%	15.19%	10.22%	6.08%	15.07%	8.16%	9.30%	15.44%	7.36%	7.94%	8.02%	5.14%	9.01%	11.14%	10.11%	2.48%	9.09%	4.07%	12.63%	9.09%	21.24%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	99	1	1	14	0	1	2	4	0	0	1	3	4	5	0	3	0	2	2	1	0	1	0	2	2	11	0	0	4	5	1	1	3	1	0	5	0	1	8	0	0	0	1	0	1	1	3	4					
		0.35%	0.26%	0.25%	0.92%	0.00%	1.49%	0.66%	0.65%	0.00%	0.00%	0.50%	0.22%	0.32%	0.63%	0.00%	0.16%	0.00%	0.36%	0.95%	0.34%	0.00%	0.29%	0.00%	0.63%	0.27%	0.97%	0.00%	0.00%	0.60%	0.46%	0.30%	0.24%	1.53%	0.39%	0.00%	0.50%	0.00%	0.19%	0.47%	0.00%	0.00%	0.00%	0.41%	0.00%	0.34%	0.35%	1.19%	1.77%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2742	47	38	262	11	12	44	33	9	24	41	97	148	87	73	60	157	42	35	43	57	23	17	34	85	56	48	33	123	82	41	16	41	42	24	85	7	50	123	107	167	56	21	4	30	26	36	45					
		9.80%	12.14%	9.64%	17.24%	13.25%	17.91%	14.57%	5.37%	6.47%	14.12%	20.50%	7.24%	11.75%	10.98%	9.59%	3.26%	10.52%	7.50%	16.67%	14.53%	17.33%	6.63%	8.63%	10.63%	11.52%	4.92%	9.36%	8.21%	18.50%	7.62%	12.46%	3.83%	20.92%	16.28%	17.65%	8.46%	5.56%	9.33%	7.27%	5.36%	12.08%	14.89%	8.68%	5.19%	10.17%	9.12%	14.23%	19.91%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	195	2	2	21	0	0	2	3	1	0	3	10	15	12	0	4	0	1	2	2	0	2	0	2	1	26	0	0	11	10	0	1	5	3	0	8	1	2	23	5	0	0	2	0	2	4	1	6					
		0.70%	0.52%	0.51%	1.38%	0.00%	0.00%	0.66%	0.49%	0.72%	0.00%	1.50%	0.75%	1.19%	1.52%	0.00%	0.22%	0.00%	0.18%	0.95%	0.68%	0.00%	0.58%	0.00%	0.63%	0.14%	2.28%	0.00%	0.00%	1.65%	0.93%	0.00%	0.24%	2.55%	1.16%	0.00%	0.80%	0.79%	0.37%	1.36%	0.25%	0.00%	0.00%	0.83%	0.00%	0.68%	1.40%	0.40%	2.65%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20074	236	244	625	36	39	148	496	114	126	114	1014	841	514	591	1610	1181	431	93	187	237	244	162	202	591	830	397	324	318	717	242	319	107	148	69	778	101	408	1354	1635	1054	272	193	62	240	193	152	85					
		71.72%	60.98%	61.93%	41.12%	43.37%	58.21%	49.01%	80.65%	82.01%	74.12%	57.00%	75.67%	66.75%	64.90%	77.66%	87.36%	79.10%	76.96%	44.29%	63.18%	72.04%	70.32%	82.23%	63.13%	80.08%	72.93%	77.39%	80.60%	47.82%	66.64%	73.56%	76.32%	54.59%	57.36%	50.74%	77.41%	80.16%	76.12%	79.98%	81.83%	76.21%	72.34%	79.75%	80.52%	81.36%	67.72%	60.08%	37.61%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	55	0	0	5	0	1	4	2	0	0	0	1	5	2	0	3	0	1	0	1	0	0	0	1	4	3	0	0	3	5	2	3	0	0	0	0	0	4	2	0	0	0	0	0	0	0	2	1					
		0.20%	0.00%	0.00%	0.33%	0.00%	1.49%	1.32%	0.33%	0.00%	0.00%	0.00%	0.07%	0.40%	0.25%	0.00%	0.16%	0.00%	0.18%	0.00%	0.34%	0.00%	0.00%	0.00%	0.31%	0.54%	0.26%	0.00%	0.00%	0.45%	0.46%	0.61%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.44%					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
