Выборы Президента Российской Федерации																
																
Наименование Избирательной комиссии:    Бисертская поселковая																
																
Итоги голосования 																
																
		Сумма	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567					
1	"Число избирателей, внесенных в список"	8296	823	1020	1224	1199	1201	1251	1193	251	134					
2	Число полученных избирательных бюллетеней	8200	800	1010	1200	1200	1200	1200	1200	250	140					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3989	349	434	608	659	488	631	549	171	100					
5	"Число избирательных бюллетеней, выданных вне помещения"	419	75	30	23	42	144	39	36	30	0					
6	Число погашенных избирательных бюллетеней	3792	376	546	569	499	568	530	615	49	40					
7	Число избирательных бюллетеней в переносных ящиках	419	75	30	23	42	144	39	36	30	0					
8	Число бюллетеней в стационарных ящиках для голосования	3989	349	434	608	659	488	631	549	171	100					
9	Число недействительных избирательных бюллетеней	65	0	3	21	6	13	6	12	4	0					
10	Число действительных избирательных бюллетеней	4343	424	461	610	695	619	664	573	197	100					
11	Число полученных открепительных  удостоверений	199	20	20	30	30	30	30	30	5	4					
12	Число выданных открепительных удостоверений	36	0	4	8	5	3	8	5	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	29	2	2	6	3	6	5	2	2	1					
14	Число неиспользованных открепительных удостоверений	163	20	16	22	25	27	22	25	2	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																
18	. Глазьев Сергей Юрьевич	140	19	14	29	29	12	13	16	3	5					
		3.18%	4.48%	3.02%	4.60%	4.14%	1.90%	1.94%	2.74%	1.49%	5.00%					
19	. Малышкин Олег Александрович	112	10	13	26	14	16	12	16	1	4					
		2.54%	2.36%	2.80%	4.12%	2.00%	2.53%	1.79%	2.74%	0.50%	4.00%					
20	. Миронов Сергей Михайлович	23	1	5	6	6	2	1	2	0	0					
		0.52%	0.24%	1.08%	0.95%	0.86%	0.32%	0.15%	0.34%	0.00%	0.00%					
21	. Путин Владимир Владимирович	3264	324	345	423	492	468	523	432	172	85					
		74.05%	76.42%	74.35%	67.04%	70.19%	74.05%	78.06%	73.85%	85.57%	85.00%					
22	. Хакамада Ирина Муцуовна	138	13	13	21	26	19	24	16	5	1					
		3.13%	3.07%	2.80%	3.33%	3.71%	3.01%	3.58%	2.74%	2.49%	1.00%					
23	. Харитонов Николай Михайлович	578	51	56	93	120	81	80	81	13	3					
		13.11%	12.03%	12.07%	14.74%	17.12%	12.82%	11.94%	13.85%	6.47%	3.00%					
																
24	Против всех	88	6	15	12	8	21	11	10	3	2					
		2.00%	1.42%	3.23%	1.90%	1.14%	3.32%	1.64%	1.71%	1.49%	2.00%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
