Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Богучарская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346					
1	"Число избирателей, внесенных в список"	29913	2404	2674	1011	1325	3369	67	1739	366	390	424	458	124	2029	658	388	314	861	484	337	267	86	95	92	878	106	83	513	190	473	1213	304	355	799	550	320	241	415	888	349	127	601	295	539	124	116	472					
2	Число полученных избирательных бюллетеней	28839	2220	2440	955	1250	3420	64	1660	362	370	395	425	124	1905	635	380	304	820	465	332	255	86	95	94	845	103	83	505	189	465	1185	315	345	790	525	320	253	430	865	345	129	580	290	520	122	126	453					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22311	1515	1639	700	883	2465	41	1194	314	325	295	349	107	1602	487	332	264	627	298	300	230	73	85	77	663	83	77	469	160	346	978	252	275	675	455	270	208	325	734	330	99	498	276	371	105	103	357					
5	"Число избирательных бюллетеней, выданных вне помещения"	2762	105	105	29	60	36	21	210	11	45	67	38	17	122	132	48	35	193	112	28	24	13	10	10	159	20	6	27	28	108	116	37	70	69	62	47	32	63	88	11	28	67	1	129	14	13	96					
6	Число погашенных избирательных бюллетеней	3766	600	696	226	307	919	2	256	37	0	33	38	0	181	16	0	5	0	55	4	1	0	0	7	23	0	0	9	1	11	91	26	0	46	8	3	13	42	43	4	2	15	13	20	3	10	0					
7	Число избирательных бюллетеней в переносных ящиках	2761	105	105	29	60	36	21	210	11	45	67	38	17	122	132	48	35	193	112	28	24	13	10	10	159	20	6	27	28	108	116	37	70	69	61	47	32	63	88	11	28	67	1	129	14	13	96					
8	Число бюллетеней в стационарных ящиках для голосования	22306	1515	1639	700	883	2465	41	1194	314	325	295	349	107	1602	487	332	264	627	298	300	230	73	85	77	663	83	77	469	160	346	978	252	275	675	455	270	208	325	734	330	99	498	276	366	105	103	357					
9	Число недействительных избирательных бюллетеней	144	6	9	2	6	24	0	0	0	3	4	3	1	9	0	2	2	2	2	6	0	0	4	0	8	1	0	3	2	5	6	2	0	8	4	0	1	2	3	2	0	6	0	3	0	0	3					
10	Число действительных избирательных бюллетеней	24923	1614	1735	727	937	2477	62	1404	325	367	358	384	123	1715	619	378	297	818	408	322	254	86	91	87	814	102	83	493	186	449	1088	287	345	736	512	317	239	386	819	339	127	559	277	492	119	116	450					
11	Число полученных открепительных  удостоверений	431	34	20	5	13	150	3	19	3	3	4	4	2	9	5	8	3	5	3	3	3	3	2	4	5	2	2	5	2	6	12	14	2	7	6	4	3	3	9	9	2	7	3	3	2	2	13					
12	Число выданных открепительных удостоверений	366	34	20	4	13	142	0	19	3	3	3	4	0	7	1	5	3	4	3	3	3	2	0	4	4	0	0	1	2	6	12	14	1	4	6	4	0	1	7	7	0	3	0	2	2	0	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	163	18	22	11	7	22	2	4	1	2	1	1	1	4	2	2	0	4	2	2	2	3	1	1	0	1	0	3	1	4	3	2	1	3	1	2	0	1	4	5	0	1	2	5	1	2	6					
14	Число неиспользованных открепительных удостоверений	65	0	0	1	0	8	3	0	0	0	1	0	2	2	4	3	0	1	0	0	0	1	2	0	1	2	2	4	0	0	0	0	1	3	0	0	3	2	2	2	2	4	3	1	0	2	3					
15	"Число открепительных удостоверений, выданных в ТИК"	6	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	571	42	54	28	30	74	0	28	6	4	3	7	2	52	6	3	12	12	14	10	7	1	3	1	19	1	2	7	0	12	27	7	14	13	9	3	1	5	20	7	2	1	8	7	0	0	7					
		2.28%	2.59%	3.10%	3.84%	3.18%	2.96%	0.00%	1.99%	1.85%	1.08%	0.83%	1.81%	1.61%	3.02%	0.97%	0.79%	4.01%	1.46%	3.41%	3.05%	2.76%	1.16%	3.16%	1.15%	2.31%	0.97%	2.41%	1.41%	0.00%	2.64%	2.47%	2.42%	4.06%	1.75%	1.74%	0.95%	0.42%	1.29%	2.43%	2.05%	1.57%	0.18%	2.89%	1.41%	0.00%	0.00%	1.55%					
19	. Малышкин Олег Александрович	761	53	56	26	41	75	2	34	11	11	18	12	7	49	13	20	14	20	18	7	3	3	1	4	15	1	2	24	2	5	25	4	13	22	14	13	11	6	19	7	4	20	19	18	7	6	6					
		3.04%	3.27%	3.21%	3.57%	4.35%	3.00%	3.23%	2.42%	3.38%	2.97%	4.97%	3.10%	5.65%	2.84%	2.10%	5.26%	4.68%	2.44%	4.39%	2.13%	1.18%	3.49%	1.05%	4.60%	1.82%	0.97%	2.41%	4.84%	1.06%	1.10%	2.29%	1.38%	3.77%	2.96%	2.71%	4.10%	4.58%	1.55%	2.31%	2.05%	3.15%	3.54%	6.86%	3.64%	5.88%	5.17%	1.32%					
20	. Миронов Сергей Михайлович	185	20	15	11	5	10	1	12	4	3	6	6	1	12	2	4	3	6	3	2	1	0	1	1	6	1	1	4	2	4	2	1	1	7	2	2	1	3	9	1	0	2	2	2	0	0	3					
		0.74%	1.23%	0.86%	1.51%	0.53%	0.40%	1.61%	0.85%	1.23%	0.81%	1.66%	1.55%	0.81%	0.70%	0.32%	1.05%	1.00%	0.73%	0.73%	0.61%	0.39%	0.00%	1.05%	1.15%	0.73%	0.97%	1.20%	0.81%	1.06%	0.88%	0.18%	0.35%	0.29%	0.94%	0.39%	0.63%	0.42%	0.77%	1.09%	0.29%	0.00%	0.35%	0.72%	0.40%	0.00%	0.00%	0.66%					
21	. Путин Владимир Владимирович	18119	1143	1263	524	629	1873	45	1061	202	275	231	237	77	1264	478	284	210	629	283	206	154	76	62	66	584	91	69	386	149	318	769	220	215	571	376	240	195	298	607	191	88	441	181	358	90	84	326					
		72.28%	70.56%	72.42%	71.88%	66.70%	74.89%	72.58%	75.57%	62.15%	74.32%	63.81%	61.24%	62.10%	73.32%	77.22%	74.74%	70.23%	76.71%	69.02%	62.80%	60.63%	88.37%	65.26%	75.86%	71.05%	88.35%	83.13%	77.82%	79.26%	70.04%	70.29%	76.12%	62.32%	76.75%	72.87%	75.71%	81.25%	76.80%	73.84%	56.01%	69.29%	78.05%	65.34%	72.32%	75.63%	72.41%	71.96%					
22	. Хакамада Ирина Муцуовна	371	29	30	15	14	63	0	16	1	8	5	1	5	27	4	4	4	5	5	4	8	0	2	3	6	0	1	1	4	7	8	7	3	15	10	8	0	8	13	2	2	6	1	4	2	0	10					
		1.48%	1.79%	1.72%	2.06%	1.48%	2.52%	0.00%	1.14%	0.31%	2.16%	1.38%	0.26%	4.03%	1.57%	0.65%	1.05%	1.34%	0.61%	1.22%	1.22%	3.15%	0.00%	2.11%	3.45%	0.73%	0.00%	1.20%	0.20%	2.13%	1.54%	0.73%	2.42%	0.87%	2.02%	1.94%	2.52%	0.00%	2.06%	1.58%	0.59%	1.57%	1.06%	0.36%	0.81%	1.68%	0.00%	2.21%					
23	. Харитонов Николай Михайлович	4309	272	266	93	180	298	14	241	91	60	90	105	27	273	113	54	52	137	82	89	77	5	21	11	172	5	8	60	24	81	236	40	86	78	87	42	27	57	134	115	31	85	62	95	19	25	89					
		17.19%	16.79%	15.25%	12.76%	19.09%	11.92%	22.58%	17.17%	28.00%	16.22%	24.86%	27.13%	21.77%	15.84%	18.26%	14.21%	17.39%	16.71%	20.00%	27.13%	30.31%	5.81%	22.11%	12.64%	20.92%	4.85%	9.64%	12.10%	12.77%	17.84%	21.57%	13.84%	24.93%	10.48%	16.86%	13.25%	11.25%	14.69%	16.30%	33.72%	24.41%	15.04%	22.38%	19.19%	15.97%	21.55%	19.65%					
																																																					
24	Против всех	607	55	51	30	38	84	0	12	10	6	5	16	4	38	3	9	2	9	3	4	4	1	1	1	12	3	0	11	5	22	21	8	13	30	14	9	4	9	17	16	0	4	4	8	1	1	9					
		2.42%	3.40%	2.92%	4.12%	4.03%	3.36%	0.00%	0.85%	3.08%	1.62%	1.38%	4.13%	3.23%	2.20%	0.48%	2.37%	0.67%	1.10%	0.73%	1.22%	1.57%	1.16%	1.05%	1.15%	1.46%	2.91%	0.00%	2.22%	2.66%	4.85%	1.92%	2.77%	3.77%	4.03%	2.71%	2.84%	1.67%	2.32%	2.07%	4.69%	0.00%	0.71%	1.44%	1.62%	0.84%	0.86%	1.99%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
