Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Урюпинская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633					
1	"Число избирателей, внесенных в список"	24354	298	859	293	127	271	740	2211	355	466	162	377	823	1523	703	869	788	1056	98	158	323	147	378	189	150	614	709	251	532	387	1078	283	493	448	109	493	131	355	86	878	65	92	103	706	105	376	289	1541	464	402					
2	Число полученных избирательных бюллетеней	22000	267	790	268	113	247	665	2034	325	419	146	338	743	1340	620	780	707	940	90	142	289	132	336	170	135	555	638	229	508	348	948	251	454	405	100	446	119	320	79	800	60	83	98	644	100	340	261	1396	419	363					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12540	135	428	180	79	161	282	1031	173	245	105	265	499	631	323	432	357	537	57	53	187	52	168	91	70	350	356	134	278	196	524	136	309	340	72	296	110	189	52	534	43	74	78	336	65	188	163	794	165	217					
5	"Число избирательных бюллетеней, выданных вне помещения"	2083	28	26	37	22	43	143	47	18	20	14	14	43	145	32	45	46	143	10	56	42	43	31	25	40	21	39	32	34	38	140	29	43	0	0	61	0	16	0	43	0	0	5	115	20	109	68	51	54	52					
6	Число погашенных избирательных бюллетеней	7377	104	336	51	12	43	240	956	134	154	27	59	201	564	265	303	304	260	23	33	60	37	137	54	25	184	243	63	196	114	284	86	102	65	28	89	9	115	27	223	17	9	15	193	15	43	30	551	200	94					
7	Число избирательных бюллетеней в переносных ящиках	2083	28	26	37	22	43	143	47	18	20	14	14	43	145	32	45	46	143	10	56	42	43	31	25	40	21	39	32	34	38	140	29	43	0	0	61	0	16	0	43	0	0	5	115	20	109	68	51	54	52					
8	Число бюллетеней в стационарных ящиках для голосования	12540	135	428	180	79	161	282	1031	173	245	105	265	499	631	323	432	357	537	57	53	187	52	168	91	70	350	356	134	278	196	524	136	309	340	72	296	110	189	52	534	43	74	78	336	65	188	163	794	165	217					
9	Число недействительных избирательных бюллетеней	167	2	5	1	0	0	1	8	1	4	2	1	6	13	6	4	5	5	0	0	2	1	3	4	0	2	5	4	5	6	12	5	11	3	0	7	0	2	0	15	0	0	0	1	2	4	1	6	2	0					
10	Число действительных избирательных бюллетеней	14456	161	449	216	101	204	424	1070	190	261	117	278	536	763	349	473	398	675	67	109	227	94	196	112	110	369	390	162	307	228	652	160	341	337	72	350	110	203	52	562	43	74	83	450	83	293	230	839	217	269					
11	Число полученных открепительных  удостоверений	400	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	16	8					
12	Число выданных открепительных удостоверений	45	1	0	0	0	0	0	6	2	3	0	0	3	1	0	1	0	3	1	0	1	1	0	0	0	0	1	0	8	0	0	1	3	0	0	0	0	1	0	0	0	0	3	3	1	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	1	1	0	0	0	1	1	0	1	0	0	1	1	0	1	0	3	0	0	2	1	0	0	0	0	3	3	1	4	5	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	2	0	1					
14	Число неиспользованных открепительных удостоверений	355	7	8	8	8	8	8	2	6	5	8	8	5	7	8	7	8	5	7	8	7	7	8	8	8	8	7	8	0	8	8	7	5	8	8	8	8	7	8	8	8	8	5	5	7	8	8	8	16	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
18	. Глазьев Сергей Юрьевич	373	3	11	3	0	3	14	35	6	6	1	2	14	24	17	12	10	23	2	1	9	0	3	4	6	17	5	4	3	4	30	9	6	3	0	3	3	0	1	11	0	3	4	10	3	17	5	16	3	4					
		2.55%	1.84%	2.42%	1.38%	0.00%	1.47%	3.29%	3.25%	3.14%	2.26%	0.84%	0.72%	2.58%	3.09%	4.79%	2.52%	2.48%	3.38%	2.99%	0.92%	3.93%	0.00%	1.51%	3.45%	5.45%	4.58%	1.27%	2.41%	0.96%	1.71%	4.52%	5.45%	1.70%	0.88%	0.00%	0.84%	2.73%	0.00%	1.92%	1.91%	0.00%	4.05%	4.82%	2.22%	3.53%	5.72%	2.16%	1.89%	1.37%	1.49%					
19	. Малышкин Олег Александрович	392	2	12	8	1	4	9	31	1	14	3	8	27	17	9	7	5	11	2	2	4	2	8	7	6	18	15	7	14	8	22	6	9	8	1	8	1	3	0	9	0	2	2	6	2	6	7	24	6	8					
