Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Спасская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264					
1	"Число избирателей, внесенных в список"	20284	1153	117	505	179	481	717	392	784	794	458	138	258	403	236	321	128	445	346	111	75	147	139	181	278	274	853	768	1020	347	179	1094	826	1362	1064	352	224	179	493	1322	1141					
2	Число полученных избирательных бюллетеней	20105	1200	113	520	184	480	646	400	700	787	460	134	260	420	210	330	130	440	350	112	85	150	133	172	270	280	850	740	1050	340	180	930	920	1395	1070	355	234	175	480	1340	1080					
3	"Число избирательных бюллетеней, выданных  досрочно"	184	24	0	0	0	0	25	0	0	69	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	31					
4	"Число избирательных бюллетеней, выданных в день голосования"	13885	642	95	366	163	380	418	254	652	482	334	102	173	356	210	288	112	380	283	100	71	118	123	167	177	250	646	541	649	269	123	739	452	771	596	274	171	129	334	778	717					
5	"Число избирательных бюллетеней, выданных вне помещения"	2021	93	10	67	9	60	170	42	15	47	53	17	36	30	0	27	0	20	24	0	4	7	10	5	67	0	50	89	109	31	20	90	211	109	95	25	4	20	69	166	120					
6	Число погашенных избирательных бюллетеней	4015	441	8	87	12	40	33	104	33	189	62	15	51	34	0	15	18	40	43	12	10	25	0	0	26	30	154	110	292	40	37	101	257	515	379	56	35	26	77	396	212					
7	Число избирательных бюллетеней в переносных ящиках	2205	117	10	67	9	60	195	42	15	116	64	17	36	30	0	27	0	20	24	0	4	7	10	5	67	0	50	89	109	31	20	90	211	109	95	25	28	20	69	166	151					
8	Число бюллетеней в стационарных ящиках для голосования	13875	636	95	366	163	380	418	254	652	482	334	102	173	356	210	288	112	380	283	100	71	118	123	167	177	250	646	541	649	269	123	739	452	771	595	273	171	129	333	777	717					
9	Число недействительных избирательных бюллетеней	201	10	2	2	2	2	27	3	9	9	2	2	3	0	3	5	0	6	7	0	2	0	3	4	3	0	11	16	10	6	1	10	1	13	5	1	0	3	3	9	6					
10	Число действительных избирательных бюллетеней	15879	743	103	431	170	438	586	293	658	589	396	117	206	386	207	310	112	394	300	100	73	125	130	168	241	250	685	614	748	294	142	819	662	867	685	297	199	146	399	934	862					
11	Число полученных открепительных  удостоверений	591	26	5	30	4	19	17	10	45	25	7	0	14	32	0	7	2	12	7	0	3	9	3	2	10	7	36	19	19	3	4	28	30	30	24	24	7	11	5	32	23					
12	Число выданных открепительных удостоверений	563	26	5	30	4	19	15	10	41	25	7	0	13	32	0	7	2	9	6	0	3	8	3	2	7	7	35	19	19	3	4	26	30	30	18	20	7	11	5	32	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	392	6	7	8	3	6	37	7	25	10	4	3	8	8	5	9	3	5	3	2	2	2	7	3	7	2	9	16	11	7	4	38	10	15	23	3	3	13	7	10	41					
14	Число неиспользованных открепительных удостоверений	28	0	0	0	0	0	2	0	4	0	0	0	1	0	0	0	0	3	1	0	0	1	0	0	3	0	1	0	0	0	0	2	0	0	6	4	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	576	22	7	12	7	22	10	11	14	28	9	3	5	11	9	7	2	6	26	0	3	3	7	9	16	6	29	16	35	18	21	25	26	42	38	10	7	4	15	24	11					
		3.58%	2.92%	6.67%	2.77%	4.07%	5.00%	1.63%	3.72%	2.10%	4.68%	2.26%	2.52%	2.39%	2.85%	4.29%	2.22%	1.79%	1.50%	8.47%	0.00%	4.00%	2.40%	5.26%	5.23%	6.56%	2.40%	4.17%	2.54%	4.62%	6.00%	14.69%	3.02%	3.92%	4.77%	5.51%	3.36%	3.52%	2.68%	3.73%	2.55%	1.27%					
19	. Малышкин Олег Александрович	846	39	3	26	15	11	41	18	39	46	16	6	21	26	10	11	13	19	9	2	5	13	6	9	10	12	23	32	28	10	6	50	30	53	29	15	5	17	24	52	46					
