Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Приаргунская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК  727	УИК  728	УИК  729	УИК  730	УИК  731	УИК  732	УИК  733	УИК  734	УИК  735	УИК  736	УИК  737	УИК  738	УИК  739	УИК  740	УИК  741	УИК  742	УИК  743	УИК  744	УИК  745	УИК  746	УИК  747	УИК  748	УИК  749	УИК  750	УИК  751	УИК  752	УИК  753					
1	"Число избирателей, внесенных в список"	18942	1373	1780	2330	708	1110	780	455	526	634	282	391	212	1262	681	555	514	471	89	527	79	153	1073	114	2005	273	341	224					
2	Число полученных избирательных бюллетеней	18796	1370	1750	2238	704	1085	768	402	490	626	274	380	208	1204	674	550	493	460	101	509	87	153	1065	110	2272	267	337	219					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10915	729	1015	1458	450	606	392	231	249	359	163	255	138	554	400	364	287	292	64	304	46	93	551	89	1284	190	181	171					
5	"Число избирательных бюллетеней, выданных вне помещения"	894	67	57	39	14	68	38	67	59	58	48	11	14	107	10	26	14	29	4	18	4	15	38	0	63	14	7	5					
6	Число погашенных избирательных бюллетеней	6987	574	678	741	240	411	338	104	182	209	63	114	56	543	264	160	192	139	33	187	37	45	476	21	925	63	149	43					
7	Число избирательных бюллетеней в переносных ящиках	894	67	57	39	14	68	38	67	59	58	48	11	14	107	10	26	14	29	4	18	4	15	38	0	63	14	7	5					
8	Число бюллетеней в стационарных ящиках для голосования	10914	729	1015	1458	449	606	392	231	249	359	163	255	138	554	400	364	287	292	64	304	46	93	551	89	1284	190	181	171					
9	Число недействительных избирательных бюллетеней	151	8	17	8	5	16	12	6	3	0	0	2	2	7	4	3	9	4	2	5	2	2	16	0	8	4	5	1					
10	Число действительных избирательных бюллетеней	11657	788	1055	1489	458	658	418	292	305	417	211	264	150	654	406	387	292	317	66	317	48	106	573	89	1339	200	183	175					
11	Число полученных открепительных  удостоверений	190	11	23	52	8	6	4	6	4	4	3	3	2	1	9	4	3	3	2	5	2	3	6	2	15	4	3	2					
12	Число выданных открепительных удостоверений	126	9	20	52	7	3	3	1	1	2	0	1	0	1	9	0	3	3	0	0	0	0	4	0	6	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	0	11	11	0	0	1	1	0	2	0	0	0	1	1	0	4	1	1	4	1	1	0	0	2	0	2	0					
14	Число неиспользованных открепительных удостоверений	64	2	3	0	1	3	1	5	3	2	3	2	2	0	0	4	0	0	2	5	2	3	2	2	9	4	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	10	3	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	246	23	38	31	15	18	20	4	5	3	3	3	2	8	8	4	2	0	0	5	0	2	20	0	26	3	2	1					
		2.08%	2.89%	3.54%	2.07%	3.24%	2.67%	4.65%	1.34%	1.62%	0.72%	1.42%	1.13%	1.32%	1.21%	1.95%	1.03%	0.66%	0.00%	0.00%	1.55%	0.00%	1.85%	3.40%	0.00%	1.93%	1.47%	1.06%	0.57%					
19	. Малышкин Олег Александрович	283	13	14	28	11	18	10	2	1	14	7	18	3	15	13	5	10	7	0	15	2	4	11	7	36	12	3	4					
		2.40%	1.63%	1.31%	1.87%	2.38%	2.67%	2.33%	0.67%	0.32%	3.36%	3.32%	6.77%	1.97%	2.27%	3.17%	1.28%	3.32%	2.18%	0.00%	4.66%	4.00%	3.70%	1.87%	7.87%	2.67%	5.88%	1.60%	2.27%					
20	. Миронов Сергей Михайлович	90	5	13	7	6	7	8	2	2	5	3	0	0	3	1	1	3	2	1	4	0	0	6	0	8	3	0	0					
		0.76%	0.63%	1.21%	0.47%	1.30%	1.04%	1.86%	0.67%	0.65%	1.20%	1.42%	0.00%	0.00%	0.45%	0.24%	0.26%	1.00%	0.62%	1.47%	1.24%	0.00%	0.00%	1.02%	0.00%	0.59%	1.47%	0.00%	0.00%					
21	. Путин Владимир Владимирович	8866	574	736	1255	344	416	253	211	192	362	159	188	130	530	352	283	205	261	60	182	43	75	404	73	1137	165	125	151					
		75.08%	72.11%	68.66%	83.83%	74.30%	61.72%	58.84%	70.81%	62.34%	86.81%	75.36%	70.68%	85.53%	80.18%	85.85%	72.56%	68.11%	81.31%	88.24%	56.52%	86.00%	69.44%	68.59%	82.02%	84.41%	80.88%	66.49%	85.80%					
22	. Хакамада Ирина Муцуовна	176	17	24	16	3	11	13	6	1	2	3	2	0	7	4	12	1	6	0	9	0	2	16	1	14	2	3	1					
		1.49%	2.14%	2.24%	1.07%	0.65%	1.63%	3.02%	2.01%	0.32%	0.48%	1.42%	0.75%	0.00%	1.06%	0.98%	3.08%	0.33%	1.87%	0.00%	2.80%	0.00%	1.85%	2.72%	1.12%	1.04%	0.98%	1.60%	0.57%					
23	. Харитонов Николай Михайлович	1824	144	203	123	72	177	104	66	101	26	35	52	13	83	24	79	61	41	5	96	3	22	111	8	98	14	50	13					
		15.45%	18.09%	18.94%	8.22%	15.55%	26.26%	24.19%	22.15%	32.79%	6.24%	16.59%	19.55%	8.55%	12.56%	5.85%	20.26%	20.27%	12.77%	7.35%	29.81%	6.00%	20.37%	18.85%	8.99%	7.28%	6.86%	26.60%	7.39%					
																																		
24	Против всех	172	12	27	29	7	11	10	1	3	5	1	1	2	8	4	3	10	0	0	6	0	1	5	0	20	1	0	5					
		1.46%	1.51%	2.52%	1.94%	1.51%	1.63%	2.33%	0.34%	0.97%	1.20%	0.47%	0.38%	1.32%	1.21%	0.98%	0.77%	3.32%	0.00%	0.00%	1.86%	0.00%	0.93%	0.85%	0.00%	1.48%	0.49%	0.00%	2.84%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
