Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Износковская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191					
1	"Число избирателей, внесенных в список"	5561	1571	418	159	193	246	259	224	226	244	455	295	1271					
2	Число полученных избирательных бюллетеней	5544	1543	427	163	189	249	259	226	230	238	458	306	1256					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2459	717	190	73	65	138	98	75	103	54	174	134	638					
5	"Число избирательных бюллетеней, выданных вне помещения"	997	120	97	34	76	38	100	62	57	120	121	107	65					
6	Число погашенных избирательных бюллетеней	2088	706	140	56	48	73	61	89	70	64	163	65	553					
7	Число избирательных бюллетеней в переносных ящиках	997	120	97	34	76	38	100	62	57	120	121	107	65					
8	Число бюллетеней в стационарных ящиках для голосования	2459	717	190	73	65	138	98	75	103	54	174	134	638					
9	Число недействительных избирательных бюллетеней	29	3	3	1	1	2	0	3	0	0	4	4	8					
10	Число действительных избирательных бюллетеней	3427	834	284	106	140	174	198	134	160	174	291	237	695					
11	Число полученных открепительных  удостоверений	115	35	8	5	5	6	5	5	5	6	8	7	20					
12	Число выданных открепительных удостоверений	61	34	8	2	1	0	1	4	0	0	5	1	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	66	10	2	2	9	0	4	5	1	4	7	6	16					
14	Число неиспользованных открепительных удостоверений	54	1	0	3	4	6	4	1	5	6	3	6	15					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	65	12	5	5	4	2	4	0	2	3	5	4	19					
		1.88%	1.43%	1.74%	4.67%	2.84%	1.14%	2.02%	0.00%	1.25%	1.72%	1.69%	1.66%	2.70%					
19	. Малышкин Олег Александрович	59	14	2	3	3	5	9	0	0	2	6	1	14					
		1.71%	1.67%	0.70%	2.80%	2.13%	2.84%	4.55%	0.00%	0.00%	1.15%	2.03%	0.41%	1.99%					
20	. Миронов Сергей Михайлович	22	11	3	0	2	0	1	0	1	1	1	0	2					
		0.64%	1.31%	1.05%	0.00%	1.42%	0.00%	0.51%	0.00%	0.62%	0.57%	0.34%	0.00%	0.28%					
21	. Путин Владимир Владимирович	2598	632	222	78	107	119	148	113	135	137	249	186	472					
		75.17%	75.51%	77.35%	72.90%	75.89%	67.61%	74.75%	82.48%	84.38%	78.74%	84.41%	77.18%	67.14%					
22	. Хакамада Ирина Муцуовна	46	11	3	2	2	4	1	0	1	2	4	6	10					
		1.33%	1.31%	1.05%	1.87%	1.42%	2.27%	0.51%	0.00%	0.62%	1.15%	1.36%	2.49%	1.42%					
23	. Харитонов Николай Михайлович	593	139	47	16	22	41	33	19	21	29	25	39	162					
		17.16%	16.61%	16.38%	14.95%	15.60%	23.30%	16.67%	13.87%	13.12%	16.67%	8.47%	16.18%	23.04%					
																			
24	Против всех	44	15	2	2	0	3	2	2	0	0	1	1	16					
		1.27%	1.79%	0.70%	1.87%	0.00%	1.70%	1.01%	1.46%	0.00%	0.00%	0.34%	0.41%	2.28%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
