Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Сергиевская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435					
1	"Число избирателей, внесенных в список"	34928	596	921	230	249	389	319	514	372	572	309	406	479	816	605	135	183	1077	256	258	2129	1734	1819	301	237	557	1134	346	989	1472	1136	526	2464	2367	2663	2914	1800	1654					
2	Число полученных избирательных бюллетеней	35500	600	1000	220	250	400	300	550	400	600	350	400	500	800	700	150	200	1100	260	270	2100	1700	1700	300	250	550	1200	400	1100	1500	1200	550	2400	2400	2700	2900	1800	1700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	26573	505	757	193	218	319	282	419	312	477	242	333	317	641	490	108	120	948	220	229	1600	1273	1310	263	195	438	923	293	733	1096	902	431	1723	1688	1957	2098	1337	1183					
5	"Число избирательных бюллетеней, выданных вне помещения"	2558	68	95	26	17	63	18	79	34	42	34	43	104	128	59	18	48	62	14	11	181	101	133	31	28	51	59	15	164	125	82	32	138	70	40	92	123	130					
6	Число погашенных избирательных бюллетеней	6369	27	148	1	15	18	0	52	54	81	74	24	79	31	151	24	32	90	26	30	319	326	257	6	27	61	218	92	203	279	216	87	539	642	703	710	340	387					
7	Число избирательных бюллетеней в переносных ящиках	2558	68	95	26	17	63	18	79	34	42	34	43	104	128	59	18	48	62	14	11	181	101	133	31	28	51	59	15	164	125	82	32	138	70	40	92	123	130					
8	Число бюллетеней в стационарных ящиках для голосования	26562	505	757	193	218	319	282	419	312	477	242	333	317	640	490	108	120	948	220	229	1600	1270	1310	263	195	438	923	293	733	1096	902	431	1723	1687	1955	2094	1337	1183					
9	Число недействительных избирательных бюллетеней	535	11	22	5	0	5	4	13	7	18	5	6	8	9	6	3	1	12	2	5	30	23	43	0	3	4	33	3	12	28	36	11	43	36	20	27	18	23					
10	Число действительных избирательных бюллетеней	28585	562	830	214	235	377	296	485	339	501	271	370	413	759	543	123	167	998	232	235	1751	1348	1400	294	220	485	949	305	885	1193	948	452	1818	1721	1975	2159	1442	1290					
11	Число полученных открепительных  удостоверений	832	10	33	5	3	4	9	16	14	20	12	20	22	12	70	15	10	17	14	5	33	32	30	5	5	19	3	2	146	21	19	18	30	35	35	35	27	26					
12	Число выданных открепительных удостоверений	810	10	33	4	3	4	9	16	14	20	9	16	22	10	70	15	10	16	12	5	33	32	29	4	5	19	3	2	144	21	17	18	30	35	35	35	26	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	433	17	5	9	4	25	3	3	3	5	1	7	7	8	7	3	5	9	1	2	117	25	20	1	3	2	10	3	16	11	16	4	17	19	12	12	9	12					
14	Число неиспользованных открепительных удостоверений	22	0	0	1	0	0	0	0	0	0	3	4	0	2	0	0	0	1	2	0	0	0	1	1	0	0	0	0	2	0	2	0	0	0	0	0	1	2					
15	"Число открепительных удостоверений, выданных в ТИК"	18	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	3	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	1069	16	23	7	5	11	4	12	5	25	13	9	6	10	25	0	8	19	5	8	75	57	56	10	4	23	39	5	18	44	34	5	71	77	82	130	65	63					
		3.67%	2.79%	2.70%	3.20%	2.13%	2.88%	1.33%	2.41%	1.45%	4.82%	4.71%	2.39%	1.43%	1.30%	4.55%	0.00%	4.76%	1.88%	2.14%	3.33%	4.21%	4.16%	3.88%	3.40%	1.79%	4.70%	3.97%	1.62%	2.01%	3.60%	3.46%	1.08%	3.82%	4.38%	4.11%	5.95%	4.45%	4.80%					
19	. Малышкин Олег Александрович	1149	29	48	3	9	16	11	14	15	30	10	8	18	30	26	6	13	57	12	11	65	46	41	18	15	24	34	14	32	41	27	37	68	51	73	83	64	50					
		3.95%	5.06%	5.63%	1.37%	3.83%	4.19%	3.67%	2.81%	4.34%	5.78%	3.62%	2.13%	4.28%	3.91%	4.74%	4.76%	7.74%	5.64%	5.13%	4.58%	3.65%	3.36%	2.84%	6.12%	6.73%	4.91%	3.46%	4.55%	3.57%	3.36%	2.74%	7.99%	3.65%	2.90%	3.66%	3.80%	4.38%	3.81%					
20	. Миронов Сергей Михайлович	258	8	7	0	1	7	0	2	3	4	2	2	4	7	5	2	0	15	1	6	14	12	14	1	1	4	8	4	6	10	9	4	11	15	24	15	17	13					
		0.89%	1.40%	0.82%	0.00%	0.43%	1.83%	0.00%	0.40%	0.87%	0.77%	0.72%	0.53%	0.95%	0.91%	0.91%	1.59%	0.00%	1.49%	0.43%	2.50%	0.79%	0.88%	0.97%	0.34%	0.45%	0.82%	0.81%	1.30%	0.67%	0.82%	0.91%	0.86%	0.59%	0.85%	1.20%	0.69%	1.16%	0.99%					
21	. Путин Владимир Владимирович	15429	349	590	102	157	264	144	296	228	227	145	242	220	392	331	102	104	631	133	143	953	698	757	150	115	259	616	182	514	623	467	272	833	821	960	1028	745	636					
		52.98%	60.91%	69.25%	46.58%	66.81%	69.11%	48.00%	59.44%	65.90%	43.74%	52.54%	64.36%	52.26%	51.04%	60.29%	80.95%	61.90%	62.48%	56.84%	59.58%	53.51%	50.91%	52.46%	51.02%	51.57%	52.97%	62.73%	59.09%	57.30%	51.02%	47.46%	58.75%	44.76%	46.73%	48.12%	47.03%	51.03%	48.44%					
22	. Хакамада Ирина Муцуовна	804	8	10	2	4	6	5	10	7	17	4	4	9	5	6	3	4	17	4	7	69	52	48	1	6	22	22	7	7	34	24	11	58	60	78	68	63	42					
		2.76%	1.40%	1.17%	0.91%	1.70%	1.57%	1.67%	2.01%	2.02%	3.28%	1.45%	1.06%	2.14%	0.65%	1.09%	2.38%	2.38%	1.68%	1.71%	2.92%	3.87%	3.79%	3.33%	0.34%	2.69%	4.50%	2.24%	2.27%	0.78%	2.78%	2.44%	2.38%	3.12%	3.41%	3.91%	3.11%	4.32%	3.20%					
23	. Харитонов Николай Михайлович	8282	139	137	95	55	65	123	141	73	173	91	99	148	295	133	8	30	222	71	57	429	395	371	104	66	112	197	83	281	383	329	101	665	585	562	672	393	399					
		28.44%	24.26%	16.08%	43.38%	23.40%	17.02%	41.00%	28.31%	21.10%	33.33%	32.97%	26.33%	35.15%	38.41%	24.23%	6.35%	17.86%	21.98%	30.34%	23.75%	24.09%	28.81%	25.71%	35.37%	29.60%	22.90%	20.06%	26.95%	31.33%	31.37%	33.43%	21.81%	35.73%	33.30%	28.17%	30.74%	26.92%	30.39%					
																																												
24	Против всех	1594	13	15	5	4	8	9	10	8	25	6	6	8	20	17	2	8	37	6	3	146	88	113	10	13	41	33	10	27	58	58	22	112	112	196	163	95	87					
		5.47%	2.27%	1.76%	2.28%	1.70%	2.09%	3.00%	2.01%	2.31%	4.82%	2.17%	1.60%	1.90%	2.60%	3.10%	1.59%	4.76%	3.66%	2.56%	1.25%	8.20%	6.42%	7.83%	3.40%	5.83%	8.38%	3.36%	3.25%	3.01%	4.75%	5.89%	4.75%	6.02%	6.37%	9.82%	7.46%	6.51%	6.63%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
