Выборы Президента Российской Федерации								
								
Наименование Избирательной комиссии:    Первомайская поселковая								
								
Итоги голосования 								
								
		Сумма	УИК №947					
1	"Число избирателей, внесенных в список"	6768	6768					
2	Число полученных избирательных бюллетеней	6615	6615					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4874	4874					
5	"Число избирательных бюллетеней, выданных вне помещения"	49	49					
6	Число погашенных избирательных бюллетеней	1692	1692					
7	Число избирательных бюллетеней в переносных ящиках	49	49					
8	Число бюллетеней в стационарных ящиках для голосования	4864	4864					
9	Число недействительных избирательных бюллетеней	17	17					
10	Число действительных избирательных бюллетеней	4896	4896					
11	Число полученных открепительных  удостоверений	239	239					
12	Число выданных открепительных удостоверений	218	218					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	158	158					
14	Число неиспользованных открепительных удостоверений	21	21					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1					
16	Число утраченных избирательных бюллетеней	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0					
"Число голосов избирателей, поданных за каждый список"								
18	. Глазьев Сергей Юрьевич	102	102					
		2.08%	2.08%					
19	. Малышкин Олег Александрович	152	152					
		3.09%	3.09%					
20	. Миронов Сергей Михайлович	29	29					
		0.59%	0.59%					
21	. Путин Владимир Владимирович	4122	4122					
		83.90%	83.90%					
22	. Хакамада Ирина Муцуовна	130	130					
		2.65%	2.65%					
23	. Харитонов Николай Михайлович	193	193					
		3.93%	3.93%					
								
24	Против всех	168	168					
		3.42%	3.42%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
