Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Горнозаводская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК  701	УИК  702	УИК  703	УИК  704	УИК  705	УИК  706	УИК  707	УИК  708	УИК  709	УИК  710	УИК  711	УИК  712	УИК  713	УИК  714	УИК  715	УИК  716	УИК  717	УИК  718	УИК  719	УИК  720	УИК  721					
1	"Число избирателей, внесенных в список"	21877	2448	2294	2407	2708	239	325	1013	1495	704	352	1276	73	847	2030	841	472	738	531	374	312	398					
2	Число полученных избирательных бюллетеней	22053	2400	2200	2450	2750	240	320	1000	1500	700	380	1300	73	850	2100	850	490	750	550	400	350	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	97	0	0	0	0	0	0	0	0	0	0	73	0	0	24	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12688	1486	1352	1439	1508	152	152	585	847	330	279	675	71	369	1133	534	278	412	328	264	219	275					
5	"Число избирательных бюллетеней, выданных вне помещения"	1719	101	107	92	102	43	84	76	127	90	39	112	2	134	128	101	106	144	47	34	18	32					
6	Число погашенных избирательных бюллетеней	7549	813	741	919	1140	45	84	339	526	280	62	440	0	347	815	215	106	194	175	102	113	93					
7	Число избирательных бюллетеней в переносных ящиках	1816	101	107	92	102	43	84	76	127	90	39	185	2	134	152	101	106	144	47	34	18	32					
8	Число бюллетеней в стационарных ящиках для голосования	12682	1485	1352	1439	1506	152	152	585	845	330	279	675	71	369	1132	534	278	412	328	264	219	275					
9	Число недействительных избирательных бюллетеней	91	11	12	14	8	0	0	7	5	3	3	0	0	8	4	4	1	3	1	4	0	3					
10	Число действительных избирательных бюллетеней	14407	1575	1447	1517	1600	195	236	654	967	417	315	860	73	495	1280	631	383	553	374	294	237	304					
11	Число полученных открепительных  удостоверений	563	45	42	40	43	8	21	30	44	13	10	15	2	20	87	25	20	23	25	20	20	10					
12	Число выданных открепительных удостоверений	541	45	42	40	41	8	21	30	44	13	10	15	0	20	87	20	20	23	21	17	17	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	237	36	25	24	21	4	3	13	8	4	6	6	1	6	26	3	6	10	17	8	8	2					
14	Число неиспользованных открепительных удостоверений	22	0	0	0	2	0	0	0	0	0	0	0	2	0	0	5	0	0	4	3	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	37	2	10	2	5	0	1	2	0	0	1	2	0	2	2	1	2	2	1	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	502	81	74	60	58	3	5	35	24	12	4	22	0	11	28	38	8	13	10	5	8	3					
		3.46%	5.11%	5.07%	3.92%	3.61%	1.54%	2.12%	5.30%	2.47%	2.86%	1.26%	2.56%	0.00%	2.19%	2.18%	5.98%	2.08%	2.34%	2.67%	1.68%	3.38%	0.98%					
19	. Малышкин Олег Александрович	392	45	32	33	34	15	13	25	32	26	2	27	0	11	26	11	10	14	10	10	6	10					
		2.70%	2.84%	2.19%	2.16%	2.11%	7.69%	5.51%	3.78%	3.29%	6.19%	0.63%	3.14%	0.00%	2.19%	2.02%	1.73%	2.60%	2.52%	2.67%	3.36%	2.53%	3.26%					
20	. Миронов Сергей Михайлович	106	11	10	17	11	1	2	3	5	7	4	4	1	5	8	7	1	6	0	1	0	2					
		0.73%	0.69%	0.69%	1.11%	0.68%	0.51%	0.85%	0.45%	0.51%	1.67%	1.26%	0.47%	1.37%	0.99%	0.62%	1.10%	0.26%	1.08%	0.00%	0.34%	0.00%	0.65%					
21	. Путин Владимир Владимирович	11364	1143	1092	1125	1299	163	193	496	750	330	284	730	57	416	1010	494	323	460	298	258	195	248					
		78.38%	72.07%	74.85%	73.48%	80.78%	83.59%	81.78%	75.04%	77.16%	78.57%	89.31%	84.88%	78.08%	82.70%	78.66%	77.80%	84.11%	82.73%	79.47%	86.58%	82.28%	80.78%					
22	. Хакамада Ирина Муцуовна	438	69	57	73	66	2	4	9	21	11	2	15	3	14	48	11	3	12	6	5	3	4					
		3.02%	4.35%	3.91%	4.77%	4.10%	1.03%	1.69%	1.36%	2.16%	2.62%	0.63%	1.74%	4.11%	2.78%	3.74%	1.73%	0.78%	2.16%	1.60%	1.68%	1.27%	1.30%					
23	. Харитонов Николай Михайлович	1177	162	137	140	78	10	16	65	110	26	17	50	12	27	93	53	35	39	39	11	23	34					
		8.12%	10.21%	9.39%	9.14%	4.85%	5.13%	6.78%	9.83%	11.32%	6.19%	5.35%	5.81%	16.44%	5.37%	7.24%	8.35%	9.11%	7.01%	10.40%	3.69%	9.70%	11.07%					
																												
24	Против всех	428	64	45	69	54	1	3	21	25	5	2	12	0	11	67	17	3	9	11	4	2	3					
		2.95%	4.04%	3.08%	4.51%	3.36%	0.51%	1.27%	3.18%	2.57%	1.19%	0.63%	1.40%	0.00%	2.19%	5.22%	2.68%	0.78%	1.62%	2.93%	1.34%	0.84%	0.98%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
