Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Азнакаевская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567					
1	"Число избирателей, внесенных в список"	22144	620	2187	2139	2455	498	263	398	369	317	608	446	356	226	199	666	342	440	282	389	440	258	107	455	180	691	232	511	531	199	375	252	1174	466	146	530	434	720	409	330	237	164	103					
2	Число полученных избирательных бюллетеней	22260	607	2245	2122	2367	480	265	396	363	317	650	445	372	224	203	662	340	463	279	395	435	260	107	451	171	694	242	529	525	189	371	250	1183	601	146	526	429	720	400	333	236	164	103					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19193	472	1743	1623	1886	381	248	359	346	291	540	384	311	210	178	587	332	417	265	365	380	241	102	437	161	651	224	503	462	174	319	239	1088	449	130	483	413	635	387	307	210	157	103					
5	"Число избирательных бюллетеней, выданных вне помещения"	1112	34	30	83	139	21	0	20	8	26	68	47	45	14	21	47	8	23	12	24	34	11	5	10	10	5	8	8	59	15	49	9	18	17	9	20	14	85	9	20	20	7	0					
6	Число погашенных избирательных бюллетеней	1955	101	472	416	342	78	17	17	9	0	42	14	16	0	4	28	0	23	2	6	21	8	0	4	0	38	10	18	4	0	3	2	77	135	7	23	2	0	4	6	6	0	0					
7	Число избирательных бюллетеней в переносных ящиках	1112	34	30	83	139	21	0	20	8	26	68	47	45	14	21	47	8	23	12	24	34	11	5	10	10	5	8	8	59	15	49	9	18	17	9	20	14	85	9	20	20	7	0					
8	Число бюллетеней в стационарных ящиках для голосования	19189	472	1743	1623	1886	381	248	358	346	291	540	384	311	210	178	587	332	417	265	365	380	241	102	437	161	648	224	503	462	174	319	239	1088	449	130	483	413	635	387	307	210	157	103					
9	Число недействительных избирательных бюллетеней	216	10	26	20	39	10	12	3	3	1	16	5	0	0	0	1	5	1	2	1	3	0	0	2	11	0	2	0	0	18	5	0	0	2	1	4	6	1	3	1	2	0	0					
10	Число действительных избирательных бюллетеней	20085	496	1747	1686	1986	392	236	375	351	316	592	426	356	224	199	633	335	439	275	388	411	252	107	445	160	653	230	511	521	171	363	248	1106	464	138	499	421	719	393	326	228	164	103					
11	Число полученных открепительных  удостоверений	500	15	35	40	45	9	15	9	5	9	30	15	9	9	9	8	2	8	6	10	10	6	7	10	10	10	10	10	5	2	10	5	25	10	5	15	10	10	10	10	10	2	10					
12	Число выданных открепительных удостоверений	253	6	29	40	43	5	5	6	1	2	17	9	6	0	1	6	1	7	3	6	4	1	0	0	2	2	0	2	2	1	0	2	6	10	1	3	7	7	6	1	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	201	18	11	3	11	5	4	4	6	2	6	7	3	2	3	3	0	8	3	5	7	1	1	6	5	5	2	6	6	3	5	3	2	8	1	5	5	10	4	3	2	5	2					
14	Число неиспользованных открепительных удостоверений	247	9	6	0	2	4	10	3	4	7	13	6	3	9	8	2	1	1	3	4	6	5	7	10	8	8	10	8	3	1	10	3	19	0	4	12	3	3	4	9	7	2	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	450	20	76	72	88	16	6	13	2	0	12	14	1	0	0	16	7	10	8	4	2	1	2	5	0	3	0	11	0	2	3	0	16	3	0	8	5	7	11	4	0	0	2					
		2.22%	3.95%	4.29%	4.22%	4.35%	3.98%	2.42%	3.44%	0.56%	0.00%	1.97%	3.25%	0.28%	0.00%	0.00%	2.52%	2.06%	2.27%	2.89%	1.03%	0.48%	0.40%	1.87%	1.12%	0.00%	0.46%	0.00%	2.15%	0.00%	1.06%	0.82%	0.00%	1.45%	0.64%	0.00%	1.59%	1.17%	0.97%	2.78%	1.22%	0.00%	0.00%	1.94%					
19	. Малышкин Олег Александрович	206	12	40	37	25	8	7	8	3	0	9	1	3	0	0	3	4	3	1	0	6	2	1	4	0	1	3	4	0	0	6	0	2	1	1	6	2	0	2	1	0	0	0					
		1.01%	2.37%	2.26%	2.17%	1.23%	1.99%	2.82%	2.12%	0.85%	0.00%	1.48%	0.23%	0.84%	0.00%	0.00%	0.47%	1.18%	0.68%	0.36%	0.00%	1.45%	0.79%	0.93%	0.89%	0.00%	0.15%	1.29%	0.78%	0.00%	0.00%	1.63%	0.00%	0.18%	0.21%	0.72%	1.19%	0.47%	0.00%	0.51%	0.31%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	206	5	35	17	26	5	5	3	4	0	6	6	0	4	0	6	3	5	1	3	4	2	0	6	2	4	0	1	0	1	4	0	16	1	1	5	5	9	10	1	0	0	0					
		1.01%	0.99%	1.97%	1.00%	1.28%	1.24%	2.02%	0.79%	1.13%	0.00%	0.99%	1.39%	0.00%	1.79%	0.00%	0.95%	0.88%	1.14%	0.36%	0.77%	0.97%	0.79%	0.00%	1.34%	1.17%	0.61%	0.00%	0.20%	0.00%	0.53%	1.09%	0.00%	1.45%	0.21%	0.72%	0.99%	1.17%	1.25%	2.53%	0.31%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	16958	330	1235	1247	1404	315	161	317	275	310	478	341	345	215	194	585	271	376	236	358	341	221	97	410	158	621	222	471	517	162	311	224	1015	448	127	473	376	648	332	304	224	163	100					
