Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Жирятинская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374					
1	"Число избирателей, внесенных в список избирателей"	5512	718	322	673	1042	232	188	227	255	280	377	285	268	321	211	113					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5700	745	327	730	1075	240	190	230	257	292	382	296	280	335	210	111					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3332	444	203	385	600	181	118	153	135	160	227	163	184	157	156	66					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	746	81	39	44	72	13	34	29	23	45	74	97	55	75	26	39					
6	Число погашенных избирательных бюллетеней	1622	220	85	301	403	46	38	48	99	87	81	36	41	103	28	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	746	81	39	44	72	13	34	29	23	45	74	97	55	75	26	39					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3332	444	203	385	600	181	118	153	135	160	227	163	184	157	156	66					
9	Число недействительных избирательных бюллетеней	43	11	4	7	9	2	0	0	4	2	0	0	0	3	1	0					
10	Число действительных избирательных бюллетеней	4035	514	238	422	663	192	152	182	154	203	301	260	239	229	181	105					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	52	3	5	2	10	4	1	1	4	4	6	3	1	8	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	52	3	5	2	10	4	1	1	4	4	6	3	1	8	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	19	1	2	6	3	0	1	0	0	0	1	0	1	3	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	3	1	7	3	0	0	0	1	0	1	0	2	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	342	31	26	36	68	3	11	12	14	24	32	21	18	29	17	0					
		8.39%	5.90%	10.74%	8.39%	10.12%	1.55%	7.24%	6.59%	8.86%	11.71%	10.63%	8.08%	7.53%	12.50%	9.34%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	317	48	23	45	82	8	6	0	18	14	10	24	10	23	6	0					
		7.77%	9.14%	9.50%	10.49%	12.20%	4.12%	3.95%	0.00%	11.39%	6.83%	3.32%	9.23%	4.18%	9.91%	3.30%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	28	5	0	7	4	0	0	1	1	2	1	0	1	5	1	0					
		0.69%	0.95%	0.00%	1.63%	0.60%	0.00%	0.00%	0.55%	0.63%	0.98%	0.33%	0.00%	0.42%	2.16%	0.55%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	724	86	33	78	112	20	38	48	44	28	43	50	48	49	25	22					
		17.75%	16.38%	13.64%	18.18%	16.67%	10.31%	25.00%	26.37%	27.85%	13.66%	14.29%	19.23%	20.08%	21.12%	13.74%	20.95%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	52	1	3	12	9	10	3	0	2	3	3	3	1	0	2	0					
		1.28%	0.19%	1.24%	2.80%	1.34%	5.15%	1.97%	0.00%	1.27%	1.46%	0.99%	1.15%	0.42%	0.00%	1.10%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2563	343	153	243	387	151	93	121	75	130	212	160	161	121	130	83					
		62.85%	65.33%	63.22%	56.64%	57.59%	77.84%	61.18%	66.48%	47.47%	63.41%	70.43%	61.54%	67.36%	52.16%	71.43%	79.05%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	9	0	0	1	1	0	1	0	0	2	0	2	0	2	0	0					
		0.22%	0.00%	0.00%	0.23%	0.15%	0.00%	0.66%	0.00%	0.00%	0.98%	0.00%	0.77%	0.00%	0.86%	0.00%	0.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
