Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Сертоловская городская																				
																				
Сводная таблица итогов голосования  по федеральному округу																				
																				
		Сумма	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	701	41	35	55	55	121	48	38	45	66	37	18	89	53					
		5.56%	4.70%	4.24%	5.75%	5.09%	8.89%	6.63%	4.51%	3.68%	5.92%	4.45%	2.79%	6.96%	6.26%					
22	"5. ""За Русь Святую"""	72	4	9	4	10	9	5	2	4	7	5	5	5	3					
		0.57%	0.45%	1.09%	0.41%	0.92%	0.66%	0.69%	0.23%	0.32%	0.62%	0.60%	0.77%	0.39%	0.35%					
23	"6. ""Объединенная Российская партия ""Русь"""	42	5	3	3	1	3	1	2	4	8	1	0	9	2					
		0.33%	0.57%	0.36%	0.31%	0.09%	0.22%	0.13%	0.23%	0.32%	0.71%	0.12%	0.0%	0.70%	0.23%					
24	"7. ""Новый курс - Автомобильная Россия"""	141	12	18	6	10	27	6	7	17	4	11	16	5	2					
		1.12%	1.37%	2.18%	0.62%	0.92%	1.98%	0.82%	0.83%	1.39%	0.35%	1.32%	2.48%	0.39%	0.23%					
25	"8. ""Народно-республиканская партия России"""	13	2	0	1	0	0	0	0	3	1	1	2	1	2					
		0.10%	0.22%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.24%	0.08%	0.12%	0.31%	0.07%	0.23%					
26	"9. ""Российская экологическая партия ""Зеленые"""	93	9	8	3	4	11	5	6	8	8	7	9	10	5					
		0.73%	1.03%	0.96%	0.31%	0.37%	0.80%	0.69%	0.71%	0.65%	0.71%	0.84%	1.39%	0.78%	0.59%					
27	"10. ""Аграрная партия России"""	217	22	20	13	29	16	9	13	22	12	12	17	22	10					
		1.72%	2.52%	2.42%	1.36%	2.68%	1.17%	1.24%	1.54%	1.80%	1.07%	1.44%	2.64%	1.72%	1.18%					
28	"11. ""Истинные патриоты России"""	22	0	2	1	1	0	2	2	3	2	5	3	1	0					
		0.17%	0.0%	0.24%	0.10%	0.09%	0.0%	0.27%	0.23%	0.24%	0.17%	0.60%	0.46%	0.07%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	163	14	12	8	16	9	7	10	18	16	10	6	23	14					
		1.29%	1.60%	1.45%	0.83%	1.48%	0.66%	0.96%	1.18%	1.47%	1.43%	1.20%	0.93%	1.80%	1.65%					
30	"13. ""Демократическая партия России"""	24	4	5	1	0	2	4	1	4	0	1	2	0	0					
		0.19%	0.45%	0.60%	0.10%	0.0%	0.14%	0.55%	0.11%	0.32%	0.0%	0.12%	0.31%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	30	1	2	2	0	7	2	4	1	0	1	1	3	6					
		0.23%	0.11%	0.24%	0.20%	0.0%	0.51%	0.27%	0.47%	0.08%	0.0%	0.12%	0.15%	0.23%	0.70%					
32	"15. ""Партия СЛОН"""	63	3	14	5	3	4	2	1	6	4	8	9	2	2					
		0.50%	0.34%	1.69%	0.52%	0.27%	0.29%	0.27%	0.11%	0.49%	0.35%	0.96%	1.39%	0.15%	0.23%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1759	114	107	117	167	147	110	126	114	187	117	67	255	131					
		13.97%	13.07%	12.96%	12.25%	15.47%	10.80%	15.21%	14.98%	9.34%	16.78%	14.07%	10.41%	19.96%	15.48%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	30	1	5	2	2	5	2	2	5	3	0	1	0	2					
		0.23%	0.11%	0.60%	0.20%	0.18%	0.36%	0.27%	0.23%	0.40%	0.26%	0.0%	0.15%	0.0%	0.23%					
35	"18. ""ЛДПР"""	1393	107	112	110	98	145	78	89	154	134	79	82	116	89					
		11.06%	12.27%	13.57%	11.51%	9.08%	10.65%	10.78%	10.58%	12.62%	12.02%	9.50%	12.75%	9.08%	10.52%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	419	22	18	28	31	89	22	23	33	44	24	12	48	25					
		3.32%	2.52%	2.18%	2.93%	2.87%	6.53%	3.04%	2.73%	2.70%	3.94%	2.88%	1.86%	3.75%	2.95%					
37	"20. ""Политическая партия ""Единая Россия"""	4385	279	271	349	355	467	232	283	532	367	306	227	415	302					
		34.83%	31.99%	32.84%	36.54%	32.90%	34.31%	32.08%	33.65%	43.60%	32.94%	36.82%	35.30%	32.49%	35.69%					
38	"21. ""Российская Конституционно-демократическая партия"""	19	0	0	1	1	3	1	1	3	2	0	3	1	3					
		0.15%	0.0%	0.0%	0.10%	0.09%	0.22%	0.13%	0.11%	0.24%	0.17%	0.0%	0.46%	0.07%	0.35%					
39	"22. ""Развитие предпринимательства"""	62	6	6	6	6	5	2	2	9	2	5	2	11	0					
		0.49%	0.68%	0.72%	0.62%	0.55%	0.36%	0.27%	0.23%	0.73%	0.17%	0.60%	0.31%	0.86%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1180	105	59	110	142	108	76	100	88	91	77	58	95	71					
		9.37%	12.04%	7.15%	11.51%	13.16%	7.93%	10.51%	11.89%	7.21%	8.16%	9.26%	9.02%	7.43%	8.39%					
																				
41	Против всех	553	31	28	44	41	67	37	41	51	40	38	45	58	32					
		4.39%	3.55%	3.39%	4.60%	3.79%	4.92%	5.11%	4.87%	4.18%	3.59%	4.57%	6.99%	4.54%	3.78%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
