Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Кваркенская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549					
1	"Число избирателей, внесенных в список"	16344	1861	1017	305	246	553	1570	979	342	796	151	69	697	124	76	501	224	72	453	148	633	277	232	701	652	111	392	185	186	183	198	552	170	169	57	551	101	623	100	87					
2	Число полученных избирательных бюллетеней	16427	1931	1054	331	265	559	1539	974	349	796	157	64	685	123	76	498	230	79	450	147	646	284	235	690	656	107	382	166	181	176	195	546	165	170	56	549	99	637	93	87					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11853	1189	701	225	180	321	760	607	233	599	124	60	480	94	68	389	174	56	363	114	492	216	176	577	502	102	366	158	163	170	182	459	149	131	51	409	75	561	90	87					
5	"Число избирательных бюллетеней, выданных вне помещения"	521	45	73	13	0	26	100	43	34	0	0	0	36	2	0	4	0	0	8	0	19	10	13	11	16	0	7	0	0	0	3	20	0	10	0	19	9	0	0	0					
6	Число погашенных избирательных бюллетеней	4053	697	280	93	85	212	679	324	82	197	33	4	169	27	8	105	56	23	79	33	135	58	46	102	138	5	9	8	18	6	10	67	16	29	5	121	15	76	3	0					
7	Число избирательных бюллетеней в переносных ящиках	521	45	73	13	0	26	100	43	34	0	0	0	36	2	0	4	0	0	8	0	19	10	13	11	16	0	7	0	0	0	3	20	0	10	0	19	9	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	11853	1189	701	225	180	321	760	607	233	599	124	60	480	94	68	389	174	56	363	114	492	216	176	577	502	102	366	158	163	170	182	459	149	131	51	409	75	561	90	87					
9	Число недействительных избирательных бюллетеней	126	7	13	1	0	1	9	11	7	13	5	0	5	0	0	2	3	1	0	0	1	5	1	11	3	2	2	0	0	4	1	3	3	2	0	5	1	4	0	0					
10	Число действительных избирательных бюллетеней	12248	1227	761	237	180	346	851	639	260	586	119	60	511	96	68	391	171	55	371	114	510	221	188	577	515	100	371	158	163	166	184	476	146	139	51	423	83	557	90	87					
11	Число полученных открепительных  удостоверений	361	50	50	10	6	10	10	10	5	10	5	5	10	5	5	10	5	5	10	5	10	5	5	10	10	5	10	5	5	5	5	10	5	5	5	10	5	10	5	5					
12	Число выданных открепительных удостоверений	117	33	19	6	0	3	3	1	0	8	0	0	9	0	0	5	0	0	0	0	10	1	3	1	7	0	3	0	0	2	0	0	0	0	0	3	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	59	10	6	1	0	2	1	2	1	1	0	1	2	1	3	2	0	1	1	0	1	2	0	2	0	1	0	0	1	1	1	2	4	1	1	4	1	1	1	0					
14	Число неиспользованных открепительных удостоверений	244	17	31	4	6	7	7	9	5	2	5	5	1	5	5	5	5	5	10	5	0	4	2	9	3	5	7	5	5	3	5	10	5	5	5	7	5	10	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
