Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Хасавюртовская городская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449					
1	"Число избирателей, внесенных в список"	64615	2525	2002	2377	2531	2477	2488	2569	3166	2513	2080	2237	1560	2634	2273	3105	3025	3104	1790	2112	3228	2193	2679	3083	2798	2531	1535					
2	Число полученных избирательных бюллетеней	63600	2500	2000	2300	2500	2400	2500	2500	3100	2500	2000	2200	1500	2600	2200	3100	3000	3100	1700	2100	3100	2200	2600	3100	2800	2500	1500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	60753	2261	1942	2263	2397	2304	2334	2471	3049	2380	1958	1721	1440	2473	2137	3033	2971	2908	1538	2046	2959	2074	2530	2921	2721	2429	1493					
5	"Число избирательных бюллетеней, выданных вне помещения"	583	162	0	0	2	0	8	3	0	0	0	354	3	0	0	10	0	0	0	10	12	0	0	15	0	0	4					
6	Число погашенных избирательных бюллетеней	2264	77	58	37	101	96	158	26	51	120	42	125	57	127	63	57	29	192	162	44	129	126	70	164	79	71	3					
7	Число избирательных бюллетеней в переносных ящиках	583	162	0	0	2	0	8	3	0	0	0	354	3	0	0	10	0	0	0	10	12	0	0	15	0	0	4					
8	Число бюллетеней в стационарных ящиках для голосования	60753	2261	1942	2263	2397	2304	2334	2471	3049	2380	1958	1721	1440	2473	2137	3033	2971	2908	1538	2046	2959	2074	2530	2921	2721	2429	1493					
9	Число недействительных избирательных бюллетеней	154	6	10	3	5	0	4	3	11	8	0	5	9	6	19	5	6	5	0	2	15	7	6	2	11	6	0					
10	Число действительных избирательных бюллетеней	61182	2417	1932	2260	2394	2304	2338	2471	3038	2372	1958	2070	1434	2467	2118	3038	2965	2903	1538	2054	2956	2067	2524	2934	2710	2423	1497					
