7	Число избирательных бюллетеней в переносных ящиках для голосования	3182	70	11	81	36	454	19	72	47	51	55	41	39	35	45	30	36	22	22	21	15	30	28	29	27	27	17	49	58	41	60	51	39	51	11	22	41	52	38	43	62	47	48	30	38	34	46	46	27	39	21	28	33	15	23	14	13	31	20	50	75	63	44	88	86	33	54	108	0	0	0	0	50	0									
8	Число бюллетеней в стационарных ящиках для голосования	71289	1093	577	754	1004	509	874	1564	1162	1638	766	1184	827	855	1054	676	1525	682	1375	1200	627	367	520	1213	1025	1315	545	1516	801	1179	1134	1094	1557	1395	1101	1736	882	1029	992	900	819	1165	1234	961	1012	1371	1188	966	338	1290	1309	1094	1504	1104	1343	1105	702	1337	1270	1432	1114	326	985	2053	1027	710	1079	604	221	83	196	38	0	62									
9	Число недействительных избирательных бюллетеней	1226	26	4	13	16	71	11	29	18	16	13	19	9	8	13	4	24	18	27	8	15	8	8	27	10	27	10	22	12	21	21	16	57	28	10	16	18	14	22	16	9	18	17	21	13	22	19	18	9	28	19	18	22	14	24	22	17	23	26	26	20	5	15	22	14	9	14	6	6	3	1	1	0	0									
10	Число действительных избирательных бюллетеней	73245	1137	584	822	1024	892	882	1607	1191	1673	808	1206	857	882	1086	702	1537	686	1370	1213	627	389	540	1215	1042	1315	552	1543	847	1199	1173	1129	1539	1418	1102	1742	905	1067	1008	927	872	1194	1265	970	1037	1383	1215	994	356	1301	1311	1104	1515	1105	1342	1097	698	1345	1264	1456	1169	384	1014	2119	1099	734	1119	706	215	80	195	37	50	62									
11	Число полученных открепительных  удостоверений	2180	23	27	20	33	23	25	30	45	40	30	48	25	20	38	18	35	20	41	35	20	15	20	40	30	40	15	40	27	30	36	40	53	50	38	65	35	35	33	37	25	28	40	30	45	50	40	25	15	39	43	30	40	28	45	40	20	35	45	50	30	15	23	53	23	15	18	15	0	0	0	0	0	0									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	2127	23	27	19	33	23	25	30	45	38	30	47	25	20	38	18	35	20	41	32	20	15	17	40	30	40	15	40	26	30	36	40	52	47	38	65	35	35	33	35	25	28	40	30	36	49	39	25	12	38	43	30	40	28	45	38	18	35	45	50	25	8	22	53	22	15	18	12	0	0	0	0	0	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям	2122	329	20	12	191	0	54	34	15	73	12	15	16	23	105	71	19	24	14	10	26	8	14	12	13	36	7	19	27	32	18	16	22	13	17	19	18	36	233	27	12	24	7	10	28	15	18	12	5	10	15	11	14	20	48	15	6	13	26	21	21	15	22	23	14	11	14	15	0	0	6	0	0	1									
14	Число неиспользованных открепительных удостоверений	53	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	2	0	0	0	0	9	1	1	0	3	1	0	0	0	0	0	2	2	0	0	0	5	7	1	0	1	0	0	3	0	0	0	0	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	346	4	3	5	6	1	4	9	8	16	5	8	4	3	6	1	7	1	12	5	3	1	2	5	3	4	1	9	1	11	2	1	15	6	14	8	8	10	4	2	2	4	1	7	6	4	6	4	2	10	5	3	9	5	6	5	4	7	6	6	4	1	4	5	6	1	3	2	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																				
19	Жириновский Владимир Вольфович	5029	70	48	70	52	186	62	129	62	76	57	86	50	66	60	54	81	59	107	59	50	26	41	64	76	74	21	97	58	80	87	66	92	78	64	112	50	79	74	61	54	63	81	46	70	62	79	63	25	92	103	77	111	70	75	84	52	72	84	130	77	23	80	209	100	76	88	52	14	4	12	2	8	7									
		6.75%	6.02%	8.16%	8.38%	5.00%	19.31%	6.94%	7.89%	5.13%	4.50%	6.94%	7.02%	5.77%	7.42%	5.46%	7.65%	5.19%	8.38%	7.66%	4.83%	7.79%	6.55%	7.48%	5.15%	7.22%	5.51%	3.74%	6.20%	6.75%	6.56%	7.29%	5.76%	5.76%	5.39%	5.76%	6.37%	5.42%	7.31%	7.18%	6.47%	6.13%	5.20%	6.32%	4.64%	6.67%	4.41%	6.40%	6.23%	6.85%	6.92%	7.74%	6.86%	7.22%	6.26%	5.49%	7.51%	7.27%	5.26%	6.51%	8.77%	6.48%	5.91%	7.77%	9.76%	8.98%	10.23%	7.77%	7.30%	6.33%	4.82%	6.12%	5.26%	16.00%	11.29%									
20	Зюганов Геннадий Андреевич	16476	214	128	189	232	136	171	296	264	345	161	317	177	219	214	160	381	159	295	328	122	84	128	328	252	228	141	376	203	273	273	267	383	355	209	384	211	202	220	226	206	265	296	238	226	405	297	216	81	296	308	281	369	212	329	265	163	305	294	305	263	96	227	334	229	164	248	183	44	10	52	3	9	6									
		22.12%	18.40%	21.77%	22.63%	22.31%	14.12%	19.15%	18.09%	21.84%	20.43%	19.61%	25.88%	20.44%	24.61%	19.47%	22.66%	24.41%	22.59%	21.12%	26.86%	19.00%	21.16%	23.36%	26.41%	23.95%	16.99%	25.09%	24.03%	23.63%	22.38%	22.86%	23.32%	23.99%	24.55%	18.79%	21.84%	22.86%	18.69%	21.36%	23.97%	23.38%	21.86%	23.09%	24.02%	21.52%	28.83%	24.07%	21.34%	22.19%	22.27%	23.16%	25.04%	24.01%	18.95%	24.08%	23.68%	22.80%	22.30%	22.79%	20.58%	22.12%	24.68%	22.06%	15.60%	20.58%	22.07%	21.89%	25.70%	19.91%	12.05%	26.53%	7.89%	18.00%	9.68%									
21	Миронов Сергей Михайлович	4260	67	39	50	51	31	59	80	75	119	37	62	51	60	67	38	99	32	83	84	35	28	33	60	62	83	35	92	49	74	70	57	93	70	82	115	51	74	45	62	52	75	69	50	79	65	69	52	25	85	96	64	75	70	78	63	45	87	90	80	54	21	58	67	66	36	67	38	14	2	10	2	0	2									
		5.72%	5.76%	6.63%	5.99%	4.90%	3.22%	6.61%	4.89%	6.20%	7.05%	4.51%	5.06%	5.89%	6.74%	6.10%	5.38%	6.34%	4.55%	5.94%	6.88%	5.45%	7.05%	6.02%	4.83%	5.89%	6.18%	6.23%	5.88%	5.70%	6.07%	5.86%	4.98%	5.83%	4.84%	7.37%	6.54%	5.53%	6.85%	4.37%	6.57%	5.90%	6.19%	5.38%	5.05%	7.52%	4.63%	5.59%	5.14%	6.85%	6.40%	7.22%	5.70%	4.88%	6.26%	5.71%	5.63%	6.29%	6.36%	6.98%	5.40%	4.54%	5.40%	5.64%	3.13%	5.93%	4.85%	5.91%	5.34%	6.33%	2.41%	5.10%	5.26%	0.00%	3.23%									
22	Прохоров Михаил Дмитриевич	7587	98	51	87	107	90	99	180	133	209	91	152	76	86	120	50	168	63	186	169	65	43	65	128	120	178	64	176	73	142	112	116	193	141	174	214	82	113	87	98	72	113	129	94	90	136	111	94	30	135	146	92	117	117	121	105	63	150	131	176	96	27	116	211	86	63	94	44	12	3	5	4	1	4									
		10.19%	8.43%	8.67%	10.42%	10.29%	9.35%	11.09%	11.00%	11.00%	12.37%	11.08%	12.41%	8.78%	9.66%	10.92%	7.08%	10.76%	8.95%	13.31%	13.84%	10.12%	10.83%	11.86%	10.31%	11.41%	13.26%	11.39%	11.25%	8.50%	11.64%	9.38%	10.13%	12.09%	9.75%	15.65%	12.17%	8.88%	10.45%	8.45%	10.39%	8.17%	9.32%	10.06%	9.49%	8.57%	9.68%	8.99%	9.29%	8.22%	10.16%	10.98%	8.20%	7.61%	10.46%	8.86%	9.38%	8.81%	10.96%	10.16%	11.88%	8.07%	6.94%	11.27%	9.86%	7.73%	8.48%	8.30%	6.18%	5.43%	3.61%	2.55%	10.53%	2.00%	6.45%									
23	Путин Владимир Владимирович	39893	688	318	426	582	449	491	922	657	924	462	589	503	451	625	400	808	373	699	573	355	208	273	635	532	752	291	802	464	630	631	623	778	774	573	917	511	599	582	480	488	678	690	542	572	715	659	569	195	693	658	590	843	636	739	580	375	731	665	765	679	217	533	1298	618	395	622	389	131	61	116	26	32	43									
		53.57%	59.16%	54.08%	51.02%	55.96%	46.63%	54.98%	56.36%	54.34%	54.71%	56.27%	48.08%	58.08%	50.67%	56.87%	56.66%	51.76%	52.98%	50.04%	46.93%	55.30%	52.39%	49.82%	51.13%	50.57%	56.04%	51.78%	51.25%	54.02%	51.64%	52.85%	54.41%	48.75%	53.53%	51.53%	52.16%	55.36%	55.41%	56.50%	50.90%	55.39%	55.94%	53.82%	54.69%	54.48%	50.89%	53.40%	56.23%	53.42%	52.14%	49.47%	52.58%	54.85%	56.84%	54.10%	51.83%	52.45%	53.44%	51.55%	51.62%	57.11%	55.78%	51.80%	60.63%	55.53%	53.16%	54.90%	54.63%	59.28%	73.49%	59.18%	68.42%	64.00%	69.35%									
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
