Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Пестравская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370					
1	"Число избирателей, внесенных в список"	13686	879	889	322	92	315	100	319	371	767	593	324	164	595	1462	427	351	393	622	1925	1231	1091	454					
2	Число полученных избирательных бюллетеней	13850	896	866	324	96	323	102	321	374	764	597	330	166	598	1485	431	354	402	647	1957	1242	1105	470					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11035	753	853	300	92	279	100	247	298	554	535	260	148	511	1209	353	280	362	509	1438	868	768	318					
5	"Число избирательных бюллетеней, выданных вне помещения"	780	18	0	0	0	0	0	32	33	106	23	18	0	34	85	31	58	0	56	49	94	79	64					
6	Число погашенных избирательных бюллетеней	2035	125	13	24	4	44	2	42	43	104	39	52	18	53	191	47	16	40	82	470	280	258	88					
7	Число избирательных бюллетеней в переносных ящиках	780	18	0	0	0	0	0	32	33	106	23	18	0	34	85	31	58	0	56	49	94	79	64					
8	Число бюллетеней в стационарных ящиках для голосования	11035	753	853	300	92	279	100	247	298	554	535	260	148	511	1209	353	280	362	509	1438	868	768	318					
9	Число недействительных избирательных бюллетеней	295	41	0	0	0	5	2	6	2	6	20	4	1	31	1	3	1	0	29	13	48	66	16					
10	Число действительных избирательных бюллетеней	11520	730	853	300	92	274	98	273	329	654	538	274	147	514	1293	381	337	362	536	1474	914	781	366					
11	Число полученных открепительных  удостоверений	205	15	10	5	5	5	5	5	5	10	10	5	5	10	15	5	5	5	20	20	15	15	10					
12	Число выданных открепительных удостоверений	72	10	0	0	0	3	0	1	1	2	1	4	2	3	7	1	0	2	12	14	5	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	58	7	2	1	3	2	0	2	2	4	4	2	0	4	3	0	0	1	1	4	10	5	1					
14	Число неиспользованных открепительных удостоверений	133	5	10	5	5	2	5	4	4	8	9	1	3	7	8	4	5	3	8	6	10	12	9					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	170	6	4	2	2	2	4	2	7	13	12	24	4	1	6	4	4	7	12	26	11	11	6					
		1.44%	0.78%	0.47%	0.67%	2.17%	0.72%	4.00%	0.72%	2.11%	1.97%	2.15%	8.63%	2.70%	0.18%	0.46%	1.04%	1.18%	1.93%	2.12%	1.75%	1.14%	1.30%	1.57%					
19	. Малышкин Олег Александрович	270	20	7	15	1	6	1	17	9	28	7	10	6	15	21	11	2	7	9	28	19	17	14					
		2.29%	2.59%	0.82%	5.00%	1.09%	2.15%	1.00%	6.09%	2.72%	4.24%	1.25%	3.60%	4.05%	2.75%	1.62%	2.86%	0.59%	1.93%	1.59%	1.88%	1.98%	2.01%	3.66%					
20	. Миронов Сергей Михайлович	75	1	6	1	0	1	0	4	4	7	0	4	2	0	5	0	4	2	5	14	4	9	2					
		0.63%	0.13%	0.70%	0.33%	0.00%	0.36%	0.00%	1.43%	1.21%	1.06%	0.00%	1.44%	1.35%	0.00%	0.39%	0.00%	1.18%	0.55%	0.88%	0.94%	0.42%	1.06%	0.52%					
21	. Путин Владимир Владимирович	8307	583	535	201	78	217	82	175	252	422	394	101	105	384	971	264	265	258	401	1078	682	616	243					
		70.31%	75.62%	62.72%	67.00%	84.78%	77.78%	82.00%	62.72%	76.13%	63.94%	70.61%	36.33%	70.95%	70.46%	75.04%	68.75%	78.40%	71.27%	70.97%	72.49%	70.89%	72.73%	63.61%					
22	. Хакамада Ирина Муцуовна	147	9	11	4	2	4	0	4	4	6	4	2	4	5	11	1	0	10	7	25	17	11	6					
		1.24%	1.17%	1.29%	1.33%	2.17%	1.43%	0.00%	1.43%	1.21%	0.91%	0.72%	0.72%	2.70%	0.92%	0.85%	0.26%	0.00%	2.76%	1.24%	1.68%	1.77%	1.30%	1.57%					
23	. Харитонов Николай Михайлович	2389	103	281	74	8	42	11	63	47	175	110	129	25	101	271	99	61	71	84	274	162	107	91					
		20.22%	13.36%	32.94%	24.67%	8.70%	15.05%	11.00%	22.58%	14.20%	26.52%	19.71%	46.40%	16.89%	18.53%	20.94%	25.78%	18.05%	19.61%	14.87%	18.43%	16.84%	12.63%	23.82%					
																													
24	Против всех	162	8	9	3	1	2	0	8	6	3	11	4	1	8	8	2	1	7	18	29	19	10	4					
		1.37%	1.04%	1.06%	1.00%	1.09%	0.72%	0.00%	2.87%	1.81%	0.45%	1.97%	1.44%	0.68%	1.47%	0.62%	0.52%	0.30%	1.93%	3.19%	1.95%	1.98%	1.18%	1.05%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
