Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Черноземельская 																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	142	2	9	4	10	2	31	15	21	22	9	10	5	2					
		2.32%	0.33%	1.71%	0.94%	2.20%	0.35%	4.88%	3.93%	3.47%	5.48%	2.15%	3.96%	0.92%	0.65%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	122	2	10	9	6	8	29	4	15	13	4	4	15	3					
		1.99%	0.33%	1.90%	2.11%	1.32%	1.42%	4.57%	1.04%	2.48%	3.24%	0.95%	1.58%	2.76%	0.97%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	56	3	2	4	1	6	10	1	8	10	3	3	3	2					
		0.91%	0.50%	0.38%	0.94%	0.22%	1.07%	1.57%	0.26%	1.32%	2.49%	0.71%	1.19%	0.55%	0.65%					
22	"5. ""За Русь Святую"""	20	0	14	4	0	0	0	0	0	0	1	0	0	1					
		0.32%	0.0%	2.66%	0.94%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.32%					
23	"6. ""Объединенная Российская партия ""Русь"""	41	4	14	3	0	2	4	1	4	0	1	1	7	0					
		0.67%	0.66%	2.66%	0.70%	0.0%	0.35%	0.63%	0.26%	0.66%	0.0%	0.23%	0.39%	1.28%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	31	2	2	0	2	2	1	2	5	4	3	1	6	1					
		0.50%	0.33%	0.38%	0.0%	0.44%	0.35%	0.15%	0.52%	0.82%	0.99%	0.71%	0.39%	1.10%	0.32%					
25	"8. ""Народно-республиканская партия России"""	11	2	3	0	1	0	2	0	1	0	1	1	0	0					
		0.18%	0.33%	0.57%	0.0%	0.22%	0.0%	0.31%	0.0%	0.16%	0.0%	0.23%	0.39%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	109	1	3	0	9	7	20	14	33	12	0	6	3	1					
		1.78%	0.16%	0.57%	0.0%	1.98%	1.24%	3.15%	3.67%	5.46%	2.99%	0.0%	2.38%	0.55%	0.32%					
27	"10. ""Аграрная партия России"""	88	1	13	7	8	9	8	2	13	8	7	5	6	1					
		1.44%	0.16%	2.47%	1.64%	1.76%	1.60%	1.26%	0.52%	2.15%	1.99%	1.67%	1.98%	1.10%	0.32%					
28	"11. ""Истинные патриоты России"""	50	0	0	22	1	0	4	0	4	0	8	1	8	2					
		0.81%	0.0%	0.0%	5.17%	0.22%	0.0%	0.63%	0.0%	0.66%	0.0%	1.91%	0.39%	1.47%	0.65%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	25	2	6	1	0	1	4	2	4	2	2	0	0	1					
		0.40%	0.33%	1.14%	0.23%	0.0%	0.17%	0.63%	0.52%	0.66%	0.49%	0.47%	0.0%	0.0%	0.32%					
30	"13. ""Демократическая партия России"""	8	0	4	1	0	0	1	0	0	0	1	1	0	0					
		0.13%	0.0%	0.76%	0.23%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.23%	0.39%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	60	0	2	1	13	1	7	1	9	10	7	0	9	0					
		0.98%	0.0%	0.38%	0.23%	2.86%	0.17%	1.10%	0.26%	1.49%	2.49%	1.67%	0.0%	1.65%	0.0%					
32	"15. ""Партия СЛОН"""	12	1	2	1	1	2	1	0	0	2	1	0	0	1					
		0.19%	0.16%	0.38%	0.23%	0.22%	0.35%	0.15%	0.0%	0.0%	0.49%	0.23%	0.0%	0.0%	0.32%					
33	"16. ""Родина"" (народно-патриотический союз)"""	120	1	6	19	6	10	29	6	14	5	9	5	7	3					
		1.96%	0.16%	1.14%	4.47%	1.32%	1.78%	4.57%	1.57%	2.31%	1.24%	2.15%	1.98%	1.28%	0.97%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	96	1	6	1	7	7	17	9	17	5	10	4	9	3					
		1.57%	0.16%	1.14%	0.23%	1.54%	1.24%	2.68%	2.36%	2.81%	1.24%	2.39%	1.58%	1.65%	0.97%					
35	"18. ""ЛДПР"""	136	2	9	48	8	2	14	13	18	3	5	4	9	1					
		2.22%	0.33%	1.71%	11.29%	1.76%	0.35%	2.20%	3.41%	2.98%	0.74%	1.19%	1.58%	1.65%	0.32%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	43	2	7	2	6	2	4	2	6	4	3	3	1	1					
		0.70%	0.33%	1.33%	0.47%	1.32%	0.35%	0.63%	0.52%	0.99%	0.99%	0.71%	1.19%	0.18%	0.32%					
37	"20. ""Политическая партия ""Единая Россия"""	3913	529	269	189	317	415	312	255	326	227	294	168	357	255					
		64.13%	88.46%	51.14%	44.47%	69.97%	74.10%	49.21%	66.92%	53.97%	56.60%	70.50%	66.66%	65.74%	83.06%					
38	"21. ""Российская Конституционно-демократическая партия"""	6	0	2	0	2	0	0	0	0	1	0	1	0	0					
		0.09%	0.0%	0.38%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.39%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	17	0	1	1	1	0	4	2	3	3	2	0	0	0					
		0.27%	0.0%	0.19%	0.23%	0.22%	0.0%	0.63%	0.52%	0.49%	0.74%	0.47%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	473	16	63	90	16	37	59	23	33	25	26	8	59	18					
		7.75%	2.67%	11.97%	21.17%	3.53%	6.60%	9.30%	6.03%	5.46%	6.23%	6.23%	3.17%	10.86%	5.86%					
																				
41	Против всех	257	7	60	6	25	9	54	13	50	17	3	5	0	8					
		4.21%	1.17%	11.40%	1.41%	5.51%	1.60%	8.51%	3.41%	8.27%	4.23%	0.71%	1.98%	0.0%	2.60%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
