Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Чистоозерная																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК  1194	УИК  1195	УИК  1196	УИК  1197	УИК  1198	УИК  1199	УИК  1200	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210	УИК  1211	УИК  1212	УИК  1213	УИК  1214	УИК  1215	УИК  1216	УИК  1217	УИК  1218	УИК  1219	УИК  1220	УИК  1221	УИК  1222	УИК  1223	УИК  1224	УИК  1225	УИК  1226	УИК  1227	УИК  1228	УИК  1229	УИК  1230	УИК  1231	УИК  1232	УИК  1233	УИК  1234	УИК  1235	УИК  1236					
		0.33%	0.00%	0.35%	0.27%	0.14%	0.48%	0.43%	0.00%	0.00%	0.00%	1.67%	0.40%	0.85%	0.24%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.04%	0.00%	0.71%	0.00%	0.55%	0.00%	0.60%	0.21%	0.33%	0.00%	0.35%	1.04%	0.00%	0.00%	0.37%	0.74%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	5813	189	241	351	299	287	319	60	41	112	20	65	190	309	241	86	8	281	13	100	134	126	50	182	54	10	231	66	231	230	177	55	189	60	97	41	150	199	67	35	115	35	63	4					
		52.79%	71.05%	41.99%	47.82%	42.11%	46.29%	46.23%	60.00%	64.06%	36.96%	33.33%	26.32%	32.26%	73.57%	73.70%	68.80%	23.53%	71.50%	52.00%	65.79%	49.45%	44.68%	51.02%	54.82%	38.57%	20.83%	63.99%	94.29%	69.79%	48.63%	59.20%	90.16%	65.40%	62.50%	47.55%	91.11%	55.97%	48.89%	72.83%	74.47%	59.28%	53.03%	77.78%	16.67%					
22	. Хакамада Ирина Муцуовна	193	2	11	14	16	9	13	1	4	8	2	2	6	4	1	0	0	5	9	5	6	5	2	4	8	1	5	1	4	6	6	1	0	4	2	1	3	7	11	0	2	0	2	0					
		1.75%	0.75%	1.92%	1.91%	2.25%	1.45%	1.88%	1.00%	6.25%	2.64%	3.33%	0.81%	1.02%	0.95%	0.31%	0.00%	0.00%	1.27%	36.00%	3.29%	2.21%	1.77%	2.04%	1.20%	5.71%	2.08%	1.39%	1.43%	1.21%	1.27%	2.01%	1.64%	0.00%	4.17%	0.98%	2.22%	1.12%	1.72%	11.96%	0.00%	1.03%	0.00%	2.47%	0.00%					
23	. Харитонов Николай Михайлович	4374	67	269	313	327	281	298	33	15	173	30	174	361	93	68	30	26	87	0	43	112	135	34	139	73	37	107	3	85	206	98	3	94	29	96	2	101	180	12	11	71	26	12	20					
		39.72%	25.19%	46.86%	42.64%	46.06%	45.32%	43.19%	33.00%	23.44%	57.10%	50.00%	70.45%	61.29%	22.14%	20.80%	24.00%	76.47%	22.14%	0.00%	28.29%	41.33%	47.87%	34.69%	41.87%	52.14%	77.08%	29.64%	4.29%	25.68%	43.55%	32.78%	4.92%	32.53%	30.21%	47.06%	4.44%	37.69%	44.23%	13.04%	23.40%	36.60%	39.39%	14.81%	83.33%					
																																																		
24	Против всех	148	4	16	9	25	9	12	3	0	6	2	0	7	5	3	1	0	5	0	1	5	4	2	1	0	0	4	0	1	7	6	0	0	0	5	0	0	4	0	0	1	0	0	0					
		1.34%	1.50%	2.79%	1.23%	3.52%	1.45%	1.74%	3.00%	0.00%	1.98%	3.33%	0.00%	1.19%	1.19%	0.92%	0.80%	0.00%	1.27%	0.00%	0.66%	1.85%	1.42%	2.04%	0.30%	0.00%	0.00%	1.11%	0.00%	0.30%	1.48%	2.01%	0.00%	0.00%	0.00%	2.45%	0.00%	0.00%	0.98%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%					
