Выборы Президента Российской Федерации															
															
Наименование Избирательной комиссии:    Усть-Большерецкая															
															
Итоги голосования 															
															
		Сумма	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157					
1	"Число избирателей, внесенных в список"	6887	90	46	1576	551	1411	1766	717	730					
2	Число полученных избирательных бюллетеней	6946	120	60	1500	600	1428	1756	722	760					
3	"Число избирательных бюллетеней, выданных  досрочно"	9	0	0	0	0	4	0	0	5					
4	"Число избирательных бюллетеней, выданных в день голосования"	3970	69	42	885	307	735	1057	418	457					
5	"Число избирательных бюллетеней, выданных вне помещения"	198	0	2	20	12	49	65	39	11					
6	Число погашенных избирательных бюллетеней	2769	51	16	595	281	640	634	265	287					
7	Число избирательных бюллетеней в переносных ящиках	207	0	2	20	12	53	65	39	16					
8	Число бюллетеней в стационарных ящиках для голосования	3970	69	42	885	307	735	1057	418	457					
9	Число недействительных избирательных бюллетеней	50	0	2	7	2	9	12	8	10					
10	Число действительных избирательных бюллетеней	4127	69	42	898	317	779	1110	449	463					
11	Число полученных открепительных  удостоверений	295	10	10	60	20	60	65	25	45					
12	Число выданных открепительных удостоверений	83	2	0	11	2	14	20	11	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	1	3	1	2	10	6	5	6					
14	Число неиспользованных открепительных удостоверений	212	8	10	49	18	46	45	14	22					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	5	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	162	2	6	24	9	32	52	7	30					
		3.88%	2.90%	13.64%	2.65%	2.82%	4.06%	4.63%	1.53%	6.34%					
19	. Малышкин Олег Александрович	119	1	0	30	2	29	29	14	14					
		2.85%	1.45%	0.00%	3.31%	0.63%	3.68%	2.58%	3.06%	2.96%					
20	. Миронов Сергей Михайлович	27	1	2	8	5	6	5	0	0					
		0.65%	1.45%	4.55%	0.88%	1.57%	0.76%	0.45%	0.00%	0.00%					
21	. Путин Владимир Владимирович	3271	54	28	738	257	583	852	390	369					
		78.31%	78.26%	63.64%	81.55%	80.56%	73.98%	75.94%	85.34%	78.01%					
22	. Хакамада Ирина Муцуовна	112	5	0	17	7	20	49	5	9					
		2.68%	7.25%	0.00%	1.88%	2.19%	2.54%	4.37%	1.09%	1.90%					
23	. Харитонов Николай Михайлович	322	5	3	61	32	84	74	26	37					
		7.71%	7.25%	6.82%	6.74%	10.03%	10.66%	6.60%	5.69%	7.82%					
															
24	Против всех	114	1	3	20	5	25	49	7	4					
		2.73%	1.45%	6.82%	2.21%	1.57%	3.17%	4.37%	1.53%	0.85%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
