Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Артемовская городская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106					
1	"Число избирателей, внесенных в список"	76636	2047	1542	1367	804	1849	2542	1258	2527	2838	1280	1741	1548	2758	1310	1019	1293	2034	2986	1307	1550	1476	1021	896	646	1980	1866	1789	671	1785	1735	1284	1056	2171	1660	2241	1484	1017	2075	910	1271	1520	1475	1386	1840	1532	647	1849	870	462	231	190					
2	Число полученных избирательных бюллетеней	74480	2000	1500	1350	800	1850	2550	1200	2450	2800	1200	1500	1550	2700	1300	950	1300	2000	2950	1250	1450	1500	950	850	650	1950	1950	1750	600	1750	1850	1250	1000	1950	1600	2050	1450	900	2000	900	1200	1450	1400	1350	1850	1450	600	2000	750	450	230	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	52071	1434	1058	1098	481	1469	1943	673	1720	1905	766	1295	1110	1620	819	613	862	1384	1812	837	972	850	813	578	413	1307	1320	1281	410	1283	1350	913	708	1350	1323	1349	922	621	1486	607	882	1055	1049	888	1250	1062	399	1325	641	389	186	190					
5	"Число избирательных бюллетеней, выданных вне помещения"	3742	200	72	79	85	38	112	116	75	98	99	101	130	84	188	70	44	57	94	78	66	78	31	108	41	73	81	81	31	60	82	59	61	101	25	29	60	157	116	78	21	58	37	49	46	31	33	88	80	39	22	0					
6	Число погашенных избирательных бюллетеней	18666	366	370	173	234	343	495	411	655	797	335	104	310	996	292	267	394	559	1044	335	412	572	106	164	196	570	549	388	159	407	418	278	231	499	252	672	468	122	398	215	297	337	314	413	554	357	168	587	29	22	22	10					
7	Число избирательных бюллетеней в переносных ящиках	3742	200	72	79	85	38	112	116	75	98	99	101	130	84	188	70	44	57	94	78	66	78	31	108	41	73	81	81	31	60	82	59	61	101	25	29	60	157	116	78	21	58	37	49	46	31	33	88	80	39	22	0					
8	Число бюллетеней в стационарных ящиках для голосования	52042	1434	1058	1098	481	1469	1943	673	1720	1903	766	1283	1110	1620	819	613	862	1384	1812	837	972	841	813	578	412	1307	1319	1279	410	1281	1350	913	708	1350	1323	1349	922	621	1486	607	882	1055	1049	888	1250	1062	399	1325	641	389	186	190					
9	Число недействительных избирательных бюллетеней	672	10	21	19	7	20	19	9	15	24	7	15	11	19	6	11	13	17	20	4	11	9	13	2	0	17	29	19	9	18	14	12	7	7	6	32	10	7	23	7	18	27	15	17	17	16	4	20	13	3	3	0					
10	Число действительных избирательных бюллетеней	55112	1624	1109	1158	559	1487	2036	780	1780	1977	858	1369	1229	1685	1001	672	893	1424	1886	911	1027	910	831	684	453	1363	1371	1341	432	1323	1418	960	762	1444	1342	1346	972	771	1579	678	885	1086	1071	920	1279	1077	428	1393	708	425	205	190					
