Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Усть-Канская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151					
1	"Число избирателей, внесенных в список"	10021	305	165	360	84	102	230	148	373	93	2314	502	726	1018	90	157	1119	120	340	90	551	95	166	586	287					
2	Число полученных избирательных бюллетеней	10071	300	165	360	87	103	225	150	370	95	2400	500	720	1020	90	152	1100	120	335	92	550	93	165	595	284					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6311	242	111	266	81	97	136	114	274	82	1201	348	437	568	83	105	651	89	260	74	340	86	121	352	193					
5	"Число избирательных бюллетеней, выданных вне помещения"	538	31	12	30	0	0	14	0	16	2	188	27	29	35	3	0	40	9	16	10	42	0	0	15	19					
6	Число погашенных избирательных бюллетеней	3222	27	42	64	6	6	75	36	80	11	1011	125	254	417	4	47	409	22	59	8	168	7	44	228	72					
7	Число избирательных бюллетеней в переносных ящиках	538	31	12	30	0	0	14	0	16	2	188	27	29	35	3	0	40	9	16	10	42	0	0	15	19					
8	Число бюллетеней в стационарных ящиках для голосования	6311	242	111	266	81	97	136	114	274	82	1201	348	437	568	83	105	651	89	260	74	340	86	121	352	193					
9	Число недействительных избирательных бюллетеней	80	3	0	3	2	2	1	2	0	1	12	8	9	2	1	0	12	0	4	0	15	0	1	2	0					
10	Число действительных избирательных бюллетеней	6769	270	123	293	79	95	149	112	290	83	1377	367	457	601	85	105	679	98	272	84	367	86	120	365	212					
11	Число полученных открепительных  удостоверений	160	5	5	5	5	5	5	5	5	5	30	5	10	10	5	5	10	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	43	1	0	1	0	0	0	0	2	0	25	2	1	1	0	0	1	4	0	4	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	3	0	1	0	1	1	1	3	1	10	1	1	1	0	0	0	4	0	0	1	1	1	0	1					
14	Число неиспользованных открепительных удостоверений	117	4	5	4	5	5	5	5	3	5	5	3	9	9	5	5	9	1	5	1	5	5	5	5	4					
15	"Число открепительных удостоверений, выданных в ТИК"	26	0	3	0	1	1	1	0	1	0	2	0	4	3	2	0	1	0	1	0	2	0	0	3	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	153	5	0	0	0	0	1	2	1	5	50	8	9	6	5	3	31	4	6	5	5	0	1	2	4					
