Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Вешкаймская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109					
1	"Число избирателей, внесенных в список"	18264	536	1040	235	845	442	587	442	306	730	188	170	171	1397	1501	1631	1440	425	1260	245	170	2213	326	926	249	261	102	300	126					
2	Число полученных избирательных бюллетеней	16662	498	997	216	771	398	526	419	277	670	171	156	153	1168	1367	1457	1324	400	1175	224	163	2023	297	851	227	242	91	281	120					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10943	332	611	134	623	272	386	302	178	472	124	99	116	727	846	934	712	261	807	180	129	1243	210	576	155	165	64	199	86					
5	"Число избирательных бюллетеней, выданных вне помещения"	1675	43	120	33	70	48	44	54	71	62	37	51	14	148	45	73	89	44	156	7	15	153	52	77	44	51	16	42	16					
6	Число погашенных избирательных бюллетеней	4044	123	266	49	78	78	96	63	28	136	10	6	23	293	476	450	523	95	212	37	19	627	35	198	28	26	11	40	18					
7	Число избирательных бюллетеней в переносных ящиках	1675	43	120	33	70	48	44	54	71	62	37	51	14	148	45	73	89	44	156	7	15	153	52	77	44	51	16	42	16					
8	Число бюллетеней в стационарных ящиках для голосования	10941	332	611	134	623	272	386	302	178	472	124	99	116	726	846	934	712	261	806	180	129	1243	210	576	155	165	64	199	86					
9	Число недействительных избирательных бюллетеней	171	5	12	3	4	8	5	5	1	3	2	0	2	4	9	9	3	11	46	1	1	14	4	4	4	6	3	2	0					
10	Число действительных избирательных бюллетеней	12445	370	719	164	689	312	425	351	248	531	159	150	128	870	882	998	798	294	916	186	143	1382	258	649	195	210	77	239	102					
11	Число полученных открепительных  удостоверений	380	10	15	10	15	10	10	20	10	15	10	10	10	20	20	20	20	10	20	15	15	25	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	176	7	12	2	7	1	0	15	0	2	1	0	0	10	18	10	5	9	14	14	12	13	3	7	2	5	1	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	144	2	5	2	2	4	4	2	0	3	1	2	2	67	7	7	1	3	1	4	1	7	4	3	2	3	1	3	1					
14	Число неиспользованных открепительных удостоверений	204	3	3	8	8	9	10	5	10	13	9	10	10	10	2	10	15	1	6	1	3	12	7	3	8	5	9	5	9					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	329	8	18	1	14	4	25	7	1	8	3	3	0	34	24	28	41	4	10	7	1	54	7	11	5	7	1	2	1					
		2.61%	2.13%	2.46%	0.60%	2.02%	1.25%	5.81%	1.97%	0.40%	1.50%	1.86%	2.00%	0.00%	3.89%	2.69%	2.78%	5.12%	1.31%	1.04%	3.74%	0.69%	3.87%	2.67%	1.68%	2.51%	3.24%	1.25%	0.83%	0.98%					
19	. Малышкин Олег Александрович	313	12	13	3	16	12	11	3	11	19	1	5	5	17	16	31	14	10	22	10	2	36	6	8	6	4	4	12	4					
		2.48%	3.20%	1.78%	1.80%	2.31%	3.75%	2.56%	0.84%	4.42%	3.56%	0.62%	3.33%	3.85%	1.95%	1.80%	3.08%	1.75%	3.28%	2.29%	5.35%	1.39%	2.58%	2.29%	1.23%	3.02%	1.85%	5.00%	4.98%	3.92%					
20	. Миронов Сергей Михайлович	88	2	5	1	5	2	1	6	2	5	2	0	1	8	6	5	7	1	3	2	1	5	0	13	2	3	0	0	0					
		0.70%	0.53%	0.68%	0.60%	0.72%	0.62%	0.23%	1.69%	0.80%	0.94%	1.24%	0.00%	0.77%	0.92%	0.67%	0.50%	0.87%	0.33%	0.31%	1.07%	0.69%	0.36%	0.00%	1.99%	1.01%	1.39%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	8405	243	512	109	492	220	290	266	183	337	131	111	75	601	587	610	444	164	770	123	114	918	124	444	126	134	47	159	71					
		66.62%	64.80%	70.04%	65.27%	71.00%	68.75%	67.44%	74.72%	73.49%	63.11%	81.37%	74.00%	57.69%	68.76%	65.88%	60.58%	55.43%	53.77%	80.04%	65.78%	79.17%	65.76%	47.33%	67.99%	63.32%	62.04%	58.75%	65.98%	69.61%					
22	. Хакамада Ирина Муцуовна	110	2	8	1	6	2	0	1	4	6	4	0	2	9	9	19	1	2	3	0	0	11	5	6	1	2	0	5	1					
		0.87%	0.53%	1.09%	0.60%	0.87%	0.62%	0.00%	0.28%	1.61%	1.12%	2.48%	0.00%	1.54%	1.03%	1.01%	1.89%	0.12%	0.66%	0.31%	0.00%	0.00%	0.79%	1.91%	0.92%	0.50%	0.93%	0.00%	2.07%	0.98%					
23	. Харитонов Николай Михайлович	3019	100	149	44	148	69	90	65	46	153	18	29	43	183	223	288	281	109	93	37	21	341	114	158	54	58	24	58	23					
		23.93%	26.67%	20.38%	26.35%	21.36%	21.56%	20.93%	18.26%	18.47%	28.65%	11.18%	19.33%	33.08%	20.94%	25.03%	28.60%	35.08%	35.74%	9.67%	19.79%	14.58%	24.43%	43.51%	24.20%	27.14%	26.85%	30.00%	24.07%	22.55%					
																																			
24	Против всех	181	3	14	5	8	3	8	3	1	3	0	2	2	18	17	17	10	4	15	7	4	17	2	9	1	2	1	3	2					
