Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Мегино-Кангаласская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288					
1	"Число избирателей, внесенных в список"	17811	1411	1348	1281	907	963	1186	51	641	256	780	474	355	189	486	262	85	725	239	341	296	373	542	255	204	442	67	574	425	309	234	599	327	179	500	259	246					
2	Число полученных избирательных бюллетеней	17940	1200	1200	1200	900	900	1240	60	670	280	820	500	370	200	490	290	90	760	260	370	340	390	590	270	210	440	70	640	440	310	250	610	350	190	520	270	250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12953	865	774	831	578	531	851	50	461	220	483	387	289	167	402	228	77	540	218	304	269	302	399	229	155	320	62	439	361	274	209	434	275	165	381	215	208					
5	"Число избирательных бюллетеней, выданных вне помещения"	1594	128	101	159	63	64	147	0	47	25	102	14	21	11	33	17	7	54	6	11	22	46	65	21	34	72	0	58	35	17	18	63	27	13	48	26	19					
6	Число погашенных избирательных бюллетеней	3393	207	325	210	259	305	242	10	162	35	235	99	60	22	55	45	6	166	36	55	49	42	126	20	21	48	8	143	44	19	23	113	48	12	91	29	23					
7	Число избирательных бюллетеней в переносных ящиках	1594	128	101	159	63	64	147	0	47	25	102	14	21	11	33	17	7	54	6	11	22	46	65	21	34	72	0	58	35	17	18	63	27	13	48	26	19					
8	Число бюллетеней в стационарных ящиках для голосования	12953	865	774	831	578	531	851	50	461	220	483	387	289	167	402	228	77	540	218	304	269	302	399	229	155	320	62	439	361	274	209	434	275	165	381	215	208					
9	Число недействительных избирательных бюллетеней	147	8	8	12	12	6	6	0	6	3	7	3	3	3	9	8	1	5	6	2	2	0	4	0	3	4	0	5	3	1	1	3	3	0	6	1	3					
10	Число действительных избирательных бюллетеней	14400	985	867	978	629	589	992	50	502	242	578	398	307	175	426	237	83	589	218	313	289	348	460	250	186	388	62	492	393	290	226	494	299	178	423	240	224					
11	Число полученных открепительных  удостоверений	619	30	30	35	15	15	52	2	16	10	25	25	10	10	20	20	10	20	20	10	24	20	30	15	5	10	5	15	15	15	10	20	10	10	15	10	15					
12	Число выданных открепительных удостоверений	441	15	16	32	5	6	50	2	16	10	6	10	6	3	18	14	5	18	14	9	23	20	28	12	1	9	3	11	8	14	4	14	10	4	8	7	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	233	22	21	43	17	11	11	1	4	3	8	7	0	1	3	5	2	2	4	0	2	4	10	4	3	2	2	5	6	1	1	6	5	5	2	3	7					
14	Число неиспользованных открепительных удостоверений	178	15	14	3	10	9	2	0	0	0	19	15	4	7	2	6	5	2	6	1	1	0	2	3	4	1	2	4	7	1	6	6	0	6	7	3	5					
15	"Число открепительных удостоверений, выданных в ТИК"	6	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	451	28	33	23	22	24	27	1	14	5	20	11	6	6	10	5	0	18	11	18	5	17	14	8	2	7	2	15	8	4	8	15	12	5	14	26	7					
