Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Верхнеландеховская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371					
1	"Число избирателей, внесенных в список"	4309	766	857	163	249	166	201	229	150	628	441	243	216					
2	Число полученных избирательных бюллетеней	4410	800	900	169	248	169	200	234	153	630	448	242	217					
3	"Число избирательных бюллетеней, выданных  досрочно"	12	0	0	0	0	0	0	0	0	0	12	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2288	499	512	3	124	87	106	123	74	312	164	152	132					
5	"Число избирательных бюллетеней, выданных вне помещения"	954	59	52	128	60	42	58	79	68	163	146	50	49					
6	Число погашенных избирательных бюллетеней	1156	242	336	38	64	40	36	32	11	155	126	40	36					
7	Число избирательных бюллетеней в переносных ящиках	966	59	52	128	60	42	58	79	68	163	158	50	49					
8	Число бюллетеней в стационарных ящиках для голосования	2288	499	512	3	124	87	106	123	74	312	164	152	132					
9	Число недействительных избирательных бюллетеней	13	3	3	0	1	0	2	0	0	3	0	1	0					
10	Число действительных избирательных бюллетеней	3241	555	561	131	183	129	162	202	142	472	322	201	181					
11	Число полученных открепительных  удостоверений	110	22	38	3	4	3	4	4	2	11	11	4	4					
12	Число выданных открепительных удостоверений	100	17	38	0	3	3	4	4	1	11	11	4	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	25	3	0	1	1	4	1	2	1	5	2	4	1					
14	Число неиспользованных открепительных удостоверений	10	5	0	3	1	0	0	0	1	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	76	18	17	3	8	0	2	4	0	9	2	7	6					
		2.34%	3.23%	3.01%	2.29%	4.35%	0.00%	1.22%	1.98%	0.00%	1.89%	0.62%	3.47%	3.31%					
19	. Малышкин Олег Александрович	104	25	15	4	4	5	3	5	3	17	5	9	9					
		3.20%	4.48%	2.66%	3.05%	2.17%	3.88%	1.83%	2.48%	2.11%	3.58%	1.55%	4.46%	4.97%					
20	. Миронов Сергей Михайлович	26	4	5	1	1	1	0	0	0	7	0	4	3					
		0.80%	0.72%	0.89%	0.76%	0.54%	0.78%	0.00%	0.00%	0.00%	1.47%	0.00%	1.98%	1.66%					
21	. Путин Владимир Владимирович	2006	314	308	91	122	72	73	144	113	285	247	130	107					
		61.65%	56.27%	54.61%	69.47%	66.30%	55.81%	44.51%	71.29%	79.58%	60.00%	76.71%	64.36%	59.12%					
22	. Хакамада Ирина Муцуовна	47	13	12	1	4	2	0	1	2	8	2	2	0					
		1.44%	2.33%	2.13%	0.76%	2.17%	1.55%	0.00%	0.50%	1.41%	1.68%	0.62%	0.99%	0.00%					
23	. Харитонов Николай Михайлович	891	162	183	30	40	44	76	42	23	139	62	37	53					
		27.38%	29.03%	32.45%	22.90%	21.74%	34.11%	46.34%	20.79%	16.20%	29.26%	19.25%	18.32%	29.28%					
																			
24	Против всех	91	19	21	1	4	5	8	6	1	7	4	12	3					
		2.80%	3.41%	3.72%	0.76%	2.17%	3.88%	4.88%	2.97%	0.70%	1.47%	1.24%	5.94%	1.66%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
