Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Кыштымская городская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №2225					
1	"Число избирателей, внесенных в список избирателей"	32779	1616	1762	1437	1502	981	692	256	364	439	1099	1385	1199	1823	1551	1583	1493	1645	1650	1649	655	1340	951	518	1519	1077	1146	392	1055					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32100	1600	1700	1400	1500	950	650	250	350	400	1100	1400	1150	1800	1550	1550	1500	1650	1650	1600	650	1250	950	450	1500	1050	1150	350	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16029	673	938	789	858	542	238	101	180	221	376	681	445	882	800	850	849	981	878	883	244	544	387	263	644	533	561	265	423					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1142	57	17	18	21	41	22	32	70	9	49	59	32	39	47	29	31	66	49	31	38	90	34	31	45	79	79	9	18					
6	Число погашенных избирательных бюллетеней	14929	870	745	593	621	367	390	117	100	170	675	660	673	879	703	671	620	603	723	686	368	616	529	156	811	438	510	76	559					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1142	57	17	18	21	41	22	32	70	9	49	59	32	39	47	29	31	66	49	31	38	90	34	31	45	79	79	9	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16026	673	938	788	858	540	238	101	180	221	376	681	445	882	800	850	849	981	878	883	244	544	387	263	644	533	561	265	423					
9	Число недействительных избирательных бюллетеней	143	0	0	0	0	0	8	11	6	6	11	0	0	0	0	20	0	13	18	0	3	16	4	0	0	12	6	4	5					
10	Число действительных избирательных бюллетеней	17025	730	955	806	879	581	252	122	244	224	414	740	477	921	847	859	880	1034	909	914	279	618	417	294	689	600	634	270	436					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	360	10	15	20	10	12	10	10	20	10	10	13	10	20	15	10	15	22	15	15	10	10	10	10	10	13	15	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	281	7	13	19	9	11	3	5	20	1	8	12	6	11	15	10	13	22	10	14	3	9	6	4	9	13	15	10	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	203	12	3	9	1	2	4	7	13	2	1	1	6	4	4	8	10	5	5	6	2	6	3	39	4	4	4	32	6					
14	Число погашенных неиспользованных открепительных удостоверений	79	3	2	1	1	1	7	5	0	9	2	1	4	9	0	0	2	0	5	1	7	1	4	6	1	0	0	0	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	3	3	5	2	2	1	0	1	0	0	0	1	1	2	3	1	0	2	0	1	1	2	0	5	3	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3906	113	208	169	153	123	59	24	27	44	99	200	79	215	201	218	236	288	225	256	68	153	106	61	125	174	129	75	78					
		22.75%	15.48%	21.78%	20.97%	17.41%	21.17%	22.69%	18.05%	10.80%	19.13%	23.29%	27.03%	16.56%	23.34%	23.73%	24.80%	26.82%	27.51%	24.27%	28.01%	24.11%	24.13%	25.18%	20.75%	18.14%	28.43%	20.16%	27.37%	17.69%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2567	144	140	131	135	76	49	10	48	34	73	86	90	152	109	130	120	129	100	98	43	104	85	41	134	71	133	33	69					
		14.95%	19.73%	14.66%	16.25%	15.36%	13.08%	18.85%	7.52%	19.20%	14.78%	17.18%	11.62%	18.87%	16.50%	12.87%	14.79%	13.64%	12.32%	10.79%	10.72%	15.25%	16.40%	20.19%	13.95%	19.45%	11.60%	20.78%	12.04%	15.65%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	82	1	1	0	1	1	5	4	6	1	3	0	0	0	0	1	1	9	11	1	4	5	9	0	1	6	4	3	4					
		0.48%	0.14%	0.10%	0.00%	0.11%	0.17%	1.92%	3.01%	2.40%	0.43%	0.71%	0.00%	0.00%	0.00%	0.00%	0.11%	0.11%	0.86%	1.19%	0.11%	1.42%	0.79%	2.14%	0.00%	0.15%	0.98%	0.63%	1.09%	0.91%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3081	108	173	173	148	105	33	10	53	35	42	114	85	161	192	175	179	153	179	183	39	102	61	45	113	119	150	58	93					
		17.95%	14.79%	18.12%	21.46%	16.84%	18.07%	12.69%	7.52%	21.20%	15.22%	9.88%	15.41%	17.82%	17.48%	22.67%	19.91%	20.34%	14.61%	19.31%	20.02%	13.83%	16.09%	14.49%	15.31%	16.40%	19.44%	23.44%	21.17%	21.09%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	175	1	1	2	1	1	7	0	3	3	4	0	1	2	1	3	1	34	30	1	9	20	2	0	1	13	8	9	17					
		1.02%	0.14%	0.10%	0.25%	0.11%	0.17%	2.69%	0.00%	1.20%	1.30%	0.94%	0.00%	0.21%	0.22%	0.12%	0.34%	0.11%	3.25%	3.24%	0.11%	3.19%	3.15%	0.48%	0.00%	0.15%	2.12%	1.25%	3.28%	3.85%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7172	362	431	331	441	274	97	74	105	104	190	340	222	390	344	331	342	415	360	375	113	234	151	146	314	215	208	92	171					
		41.78%	49.59%	45.13%	41.07%	50.17%	47.16%	37.31%	55.64%	42.00%	45.22%	44.71%	45.95%	46.54%	42.35%	40.61%	37.66%	38.86%	39.64%	38.83%	41.03%	40.07%	36.91%	35.87%	49.66%	45.57%	35.13%	32.50%	33.58%	38.78%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	42	1	1	0	0	1	2	0	2	3	3	0	0	1	0	1	1	6	4	0	3	0	3	1	1	2	2	0	4					
		0.24%	0.14%	0.10%	0.00%	0.00%	0.17%	0.77%	0.00%	0.80%	1.30%	0.71%	0.00%	0.00%	0.11%	0.00%	0.11%	0.11%	0.57%	0.43%	0.00%	1.06%	0.00%	0.71%	0.34%	0.15%	0.33%	0.31%	0.00%	0.91%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
