Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва								
Дата голосования: 04.12.2011								
								
Наименование Избирательной комиссии:    Староуткинская поселковая								
								
Сводная таблица результатов выборов								
								
		Сумма	УИК №2602					
1	"Число избирателей, внесенных в список избирателей"	2551	2551					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2500	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	26	26					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1056	1056					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	141	141					
6	Число погашенных избирательных бюллетеней	1277	1277					
7	Число избирательных бюллетеней в переносных ящиках для голосования	167	167					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1055	1055					
9	Число недействительных избирательных бюллетеней	18	18					
10	Число действительных избирательных бюллетеней	1204	1204					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	41	41					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	19	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	24	24					
14	Число погашенных неиспользованных открепительных удостоверений	22	22					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	9					
16	Число утраченных открепительных удостоверений	0	0					
17	Число утраченных избирательных бюллетеней	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0					
								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	146	146					
		11.95%	11.95%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	176	176					
		14.40%	14.40%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	13	13					
		1.06%	1.06%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	155	155					
		12.68%	12.68%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	16	16					
		1.31%	1.31%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	687	687					
		56.22%	56.22%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	11	11					
		0.90%	0.90%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
