Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Азовская городская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №1636	УИК №1638	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2024	УИК №2444	УИК №2524	УИК №2525	УИК №2526					
1	"Число избирателей, внесенных в список"	63048	2330	1649	2133	1265	2781	2699	1247	2309	185	2111	2598	2035	2078	1483	1693	2147	1911	1077	2195	2167	1877	1999	2376	1980	2610	1707	2036	1230	2060	1440	137	728	944	1438	1045	1348					
2	Число полученных избирательных бюллетеней	61285	2240	1570	2015	1190	2760	2630	1235	2220	175	2060	2510	1940	2015	1440	1670	2100	1895	1050	2160	2105	1820	1975	2270	1945	2540	1660	2015	1235	2030	1365	140	720	890	1390	1000	1310					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	34350	1086	860	991	609	1616	1628	639	1061	104	1048	1538	1136	1124	806	954	1067	1230	618	1196	1220	1060	1116	1301	1029	1542	876	1008	682	1118	828	99	382	423	806	706	843					
5	"Число избирательных бюллетеней, выданных вне помещения"	1472	60	44	72	50	40	34	6	42	10	64	42	14	16	22	43	69	42	31	57	55	33	55	75	56	56	61	38	13	65	32	3	20	60	51	16	25					
6	Число погашенных избирательных бюллетеней	25463	1094	666	952	531	1104	968	590	1117	61	948	930	790	875	612	673	964	623	401	907	830	727	804	894	860	942	723	969	540	847	505	38	318	407	533	278	442					
7	Число избирательных бюллетеней в переносных ящиках	1472	60	44	72	50	40	34	6	42	10	64	42	14	16	22	43	69	42	31	57	55	33	55	75	56	56	61	38	13	65	32	3	20	60	51	16	25					
8	Число бюллетеней в стационарных ящиках для голосования	34348	1086	860	991	609	1616	1628	639	1061	104	1048	1538	1136	1124	806	954	1067	1230	618	1196	1219	1060	1116	1300	1029	1542	876	1008	682	1118	828	99	382	423	806	706	843					
9	Число недействительных избирательных бюллетеней	196	11	5	7	6	13	3	2	14	1	10	6	7	5	4	5	6	1	3	9	9	4	11	9	1	5	5	5	2	7	3	0	2	1	4	6	4					
10	Число действительных избирательных бюллетеней	35624	1135	899	1056	653	1643	1659	643	1089	113	1102	1574	1143	1135	824	992	1130	1271	646	1244	1265	1089	1160	1366	1084	1593	932	1041	693	1176	857	102	400	482	853	716	864					
11	Число полученных открепительных  удостоверений	1597	46	41	35	23	64	57	29	43	3	45	50	38	39	31	53	41	54	25	68	60	40	64	54	55	83	43	79	75	75	42	7	27	17	42	24	25					
12	Число выданных открепительных удостоверений	1481	29	41	25	16	64	56	27	31	2	45	41	34	39	29	48	40	54	22	67	54	39	62	52	50	79	43	79	75	72	35	6	27	15	40	22	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	432	11	3	5	50	10	11	3	12	6	8	8	8	10	9	3	5	14	7	8	6	19	14	37	9	18	8	6	14	13	45	1	8	6	14	15	8					
14	Число неиспользованных открепительных удостоверений	116	17	0	10	7	0	1	2	12	1	0	9	4	0	2	5	1	0	3	1	6	1	2	2	5	4	0	0	0	3	7	1	0	2	2	2	4					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	2288	64	64	65	35	90	114	35	56	7	96	115	72	68	33	58	57	75	46	82	90	71	82	71	60	106	69	84	55	102	60	10	16	25	57	38	60					
		6.39%	5.58%	7.08%	6.11%	5.31%	5.43%	6.86%	5.43%	5.08%	6.14%	8.63%	7.28%	6.26%	5.96%	3.99%	5.82%	5.02%	5.90%	7.09%	6.54%	7.06%	6.50%	7.00%	5.16%	5.53%	6.63%	7.36%	8.03%	7.91%	8.62%	6.98%	9.80%	3.98%	5.18%	6.65%	5.26%	6.91%					
19	. Малышкин Олег Александрович	746	36	19	25	17	37	30	11	24	6	19	31	25	22	21	12	23	21	13	33	23	24	21	32	14	27	28	15	10	23	40	5	11	11	15	11	11					
		2.08%	3.14%	2.10%	2.35%	2.58%	2.23%	1.81%	1.71%	2.18%	5.26%	1.71%	1.96%	2.17%	1.93%	2.54%	1.20%	2.02%	1.65%	2.00%	2.63%	1.81%	2.20%	1.79%	2.33%	1.29%	1.69%	2.99%	1.43%	1.44%	1.94%	4.65%	4.90%	2.74%	2.28%	1.75%	1.52%	1.27%					
20	. Миронов Сергей Михайлович	239	13	3	7	9	4	21	7	2	1	8	6	8	9	5	13	6	10	6	7	3	9	6	5	7	13	5	7	6	8	2	2	3	7	3	5	3					
		0.67%	1.13%	0.33%	0.66%	1.37%	0.24%	1.26%	1.09%	0.18%	0.88%	0.72%	0.38%	0.70%	0.79%	0.60%	1.30%	0.53%	0.79%	0.92%	0.56%	0.24%	0.82%	0.51%	0.36%	0.65%	0.81%	0.53%	0.67%	0.86%	0.68%	0.23%	1.96%	0.75%	1.45%	0.35%	0.69%	0.35%					
21	. Путин Владимир Владимирович	22473	749	578	687	405	1025	1000	405	698	76	695	968	743	742	508	635	746	800	416	764	775	676	692	883	701	965	592	631	437	740	515	66	248	338	563	436	575					
		62.74%	65.36%	63.94%	64.63%	61.46%	61.90%	60.17%	62.79%	63.28%	66.67%	62.50%	61.27%	64.61%	65.09%	61.35%	63.69%	65.67%	62.89%	64.10%	60.97%	60.83%	61.85%	59.09%	64.22%	64.61%	60.39%	63.18%	60.33%	62.88%	62.55%	59.88%	64.71%	61.69%	69.98%	65.69%	60.39%	66.24%					
22	. Хакамада Ирина Муцуовна	1636	47	39	40	35	64	74	37	52	5	53	74	63	57	51	33	47	70	31	67	74	51	65	58	39	72	21	34	37	53	33	3	14	24	35	39	45					
		4.57%	4.10%	4.31%	3.76%	5.31%	3.86%	4.45%	5.74%	4.71%	4.39%	4.77%	4.68%	5.48%	5.00%	6.16%	3.31%	4.14%	5.50%	4.78%	5.35%	5.81%	4.67%	5.55%	4.22%	3.59%	4.51%	2.24%	3.25%	5.32%	4.48%	3.84%	2.94%	3.48%	4.97%	4.08%	5.40%	5.18%					
23	. Харитонов Николай Михайлович	6655	195	157	181	137	319	342	113	211	16	179	320	177	171	175	209	203	234	109	250	240	216	233	264	224	332	176	216	114	189	165	13	96	43	150	158	128					
		18.58%	17.02%	17.37%	17.03%	20.79%	19.26%	20.58%	17.52%	19.13%	14.04%	16.10%	20.25%	15.39%	15.00%	21.14%	20.96%	17.87%	18.40%	16.80%	19.95%	18.84%	19.76%	19.90%	19.20%	20.65%	20.78%	18.78%	20.65%	16.40%	15.98%	19.19%	12.75%	23.88%	8.90%	17.50%	21.88%	14.75%					
																																											
24	Против всех	1587	31	39	51	15	104	78	35	46	2	52	60	55	66	31	32	48	61	25	41	60	42	61	53	39	78	41	54	34	61	42	3	12	34	30	29	42					
		4.43%	2.71%	4.31%	4.80%	2.28%	6.28%	4.69%	5.43%	4.17%	1.75%	4.68%	3.80%	4.78%	5.79%	3.74%	3.21%	4.23%	4.80%	3.85%	3.27%	4.71%	3.84%	5.21%	3.85%	3.59%	4.88%	4.38%	5.16%	4.89%	5.16%	4.88%	2.94%	2.99%	7.04%	3.50%	4.02%	4.84%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
