Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Томпонская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572					
1	"Число избирателей, внесенных в список"	9380	705	1167	1292	1358	97	1240	122	145	94	283	623	810	111	93	127	403	188	522					
2	Число полученных избирательных бюллетеней	9200	610	1110	1220	1310	100	1190	120	160	98	290	630	890	113	100	129	390	220	520					
3	"Число избирательных бюллетеней, выданных  досрочно"	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	90					
4	"Число избирательных бюллетеней, выданных в день голосования"	6327	358	631	819	792	94	950	109	135	73	250	480	656	85	88	105	295	75	332					
5	"Число избирательных бюллетеней, выданных вне помещения"	685	101	122	56	81	1	69	1	8	15	20	77	92	5	0	5	11	0	21					
6	Число погашенных избирательных бюллетеней	2003	151	357	345	437	5	171	10	17	10	20	73	142	23	12	19	84	50	77					
7	Число избирательных бюллетеней в переносных ящиках	870	101	122	56	81	1	69	1	8	15	20	77	92	5	0	5	11	95	111					
8	Число бюллетеней в стационарных ящиках для голосования	6326	358	630	819	792	94	950	109	135	73	250	480	656	85	88	105	295	75	332					
9	Число недействительных избирательных бюллетеней	55	4	4	4	4	0	7	0	3	0	2	4	7	2	0	1	3	8	2					
10	Число действительных избирательных бюллетеней	7141	455	748	871	869	95	1012	110	140	88	268	553	741	88	88	109	303	162	441					
11	Число полученных открепительных  удостоверений	275	25	25	30	30	5	20	5	5	5	10	20	40	5	5	10	15	10	10					
12	Число выданных открепительных удостоверений	105	4	17	17	8	1	2	0	1	2	6	8	23	0	5	5	1	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	2	2	8	1	0	0	0	2	0	2	1	10	1	0	1	1	0	4					
14	Число неиспользованных открепительных удостоверений	170	21	8	13	22	4	18	5	4	3	4	12	17	5	0	5	14	10	5					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	155	8	9	9	10	4	21	6	6	0	2	15	47	4	2	0	5	2	5					
		2.15%	1.74%	1.20%	1.03%	1.15%	4.21%	2.06%	5.45%	4.20%	0.00%	0.74%	2.69%	6.28%	4.44%	2.27%	0.00%	1.63%	1.18%	1.13%					
19	. Малышкин Олег Александрович	107	17	9	9	7	1	29	0	3	1	3	4	5	0	1	5	6	5	2					
		1.49%	3.70%	1.20%	1.03%	0.80%	1.05%	2.85%	0.00%	2.10%	1.14%	1.11%	0.72%	0.67%	0.00%	1.14%	4.55%	1.96%	2.94%	0.45%					
20	. Миронов Сергей Михайлович	37	2	3	5	2	2	3	2	1	0	2	1	8	0	0	1	2	1	2					
		0.51%	0.44%	0.40%	0.57%	0.23%	2.11%	0.29%	1.82%	0.70%	0.00%	0.74%	0.18%	1.07%	0.00%	0.00%	0.91%	0.65%	0.59%	0.45%					
21	. Путин Владимир Владимирович	5541	383	623	706	745	79	802	80	110	72	211	362	416	69	68	90	221	138	366					
		77.00%	83.44%	82.85%	80.69%	85.34%	83.16%	78.70%	72.73%	76.92%	81.82%	78.15%	64.99%	55.61%	76.67%	77.27%	81.82%	72.22%	81.18%	82.62%					
22	. Хакамада Ирина Муцуовна	356	8	34	44	36	2	38	3	3	3	11	61	69	2	5	4	14	4	15					
		4.95%	1.74%	4.52%	5.03%	4.12%	2.11%	3.73%	2.73%	2.10%	3.41%	4.07%	10.95%	9.22%	2.22%	5.68%	3.64%	4.58%	2.35%	3.39%					
23	. Харитонов Николай Михайлович	758	23	44	81	38	7	73	15	15	9	36	104	187	11	12	7	43	10	43					
		10.53%	5.01%	5.85%	9.26%	4.35%	7.37%	7.16%	13.64%	10.49%	10.23%	13.33%	18.67%	25.00%	12.22%	13.64%	6.36%	14.05%	5.88%	9.71%					
																									
24	Против всех	187	14	26	17	31	0	46	4	2	3	3	6	9	2	0	2	12	2	8					
		2.60%	3.05%	3.46%	1.94%	3.55%	0.00%	4.51%	3.64%	1.40%	3.41%	1.11%	1.08%	1.20%	2.22%	0.00%	1.82%	3.92%	1.18%	1.81%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
