Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Усть-Ишимская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1449	17	25	30	106	69	30	22	13	24	30	43	69	31	31	66	13	104	40	60	73	68	58	71	53	59	68	42	11	60	38	25					
		21.33%	22.67%	15.92%	30.93%	25.12%	30.80%	22.90%	11.34%	9.03%	10.71%	17.86%	18.61%	22.62%	27.93%	18.02%	17.37%	6.44%	47.93%	14.65%	20.34%	23.70%	21.79%	19.14%	25.27%	19.27%	21.45%	22.44%	15.91%	9.48%	44.44%	36.54%	26.04%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	169	0	97	1	2	1	1	1	0	2	2	3	1	7	0	2	1	1	2	3	4	7	4	4	11	1	4	5	0	1	1	0					
		2.49%	0.00%	61.78%	1.03%	0.47%	0.45%	0.76%	0.52%	0.00%	0.89%	1.19%	1.30%	0.33%	6.31%	0.00%	0.53%	0.50%	0.46%	0.73%	1.02%	1.30%	2.24%	1.32%	1.42%	4.00%	0.36%	1.32%	1.89%	0.00%	0.74%	0.96%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3311	29	0	48	194	89	70	129	116	140	91	127	141	37	77	231	129	88	166	128	138	144	153	125	114	117	149	107	63	66	52	53					
		48.73%	38.67%	0.00%	49.48%	45.97%	39.73%	53.44%	66.49%	80.56%	62.50%	54.17%	54.98%	46.23%	33.33%	44.77%	60.79%	63.86%	40.55%	60.81%	43.39%	44.81%	46.15%	50.50%	44.48%	41.45%	42.55%	49.17%	40.53%	54.31%	48.89%	50.00%	55.21%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	27	0	0	0	1	1	1	0	2	0	0	1	0	1	2	0	1	0	2	2	0	1	2	2	2	3	2	0	0	0	0	1					
		0.40%	0.00%	0.00%	0.00%	0.24%	0.45%	0.76%	0.00%	1.39%	0.00%	0.00%	0.43%	0.00%	0.90%	1.16%	0.00%	0.50%	0.00%	0.73%	0.68%	0.00%	0.32%	0.66%	0.71%	0.73%	1.09%	0.66%	0.00%	0.00%	0.00%	0.00%	1.04%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
