Выборы Президента Российской Федерации																																																																									
																																																																									
Наименование Избирательной комиссии:    Беловская городская																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126					
1	"Число избирателей, внесенных в список"	116272	1020	2071	962	2239	1200	2597	1799	2076	2304	1852	1619	2449	2246	2007	2034	2413	1250	979	949	2170	2808	970	2646	1021	2861	869	1274	1149	1124	433	1646	1453	1250	1020	1600	2625	2540	2092	2238	1454	358	2018	2765	2942	2873	2548	2751	2481	2090	1241	2575	1911	1346	1574	1296	1466	2235	2203	2380	2448	945	834	1046	541	1586	510					
2	Число полученных избирательных бюллетеней	114300	1300	2200	1000	2200	1100	2500	1700	2000	2200	1900	1600	2400	2300	2600	2000	2500	1100	1100	800	2100	2700	1000	2500	1000	2700	800	1200	1100	1100	400	1700	1300	1200	1000	1500	2600	2500	2000	2300	1500	300	2000	2700	2800	2800	2500	2700	2600	2100	1200	2300	2000	1300	1600	1200	1500	2100	2100	2300	2300	900	800	1000	500	1500	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	67909	561	969	494	1095	586	1345	914	1012	1192	1240	904	1624	1207	1248	1038	1268	795	496	405	1093	1366	379	1215	466	1291	350	664	595	513	346	803	657	857	529	1003	1628	1361	1210	1466	737	249	1226	1798	1965	1916	1435	1313	1767	1327	599	1811	1278	636	878	899	901	1763	1749	2025	1812	763	614	751	395	780	337					
5	"Число избирательных бюллетеней, выданных вне помещения"	8169	170	67	90	112	49	112	102	66	75	90	109	100	41	212	94	66	138	126	221	28	63	124	153	128	104	117	107	170	223	26	81	231	31	146	137	241	170	278	195	233	34	108	189	99	134	114	679	177	133	274	74	68	47	112	95	81	35	67	89	106	23	78	76	49	168	34					
6	Число погашенных избирательных бюллетеней	38222	569	1164	416	993	465	1043	684	922	933	570	587	676	1052	1140	868	1166	167	478	174	979	1271	497	1132	406	1305	333	429	335	364	28	816	412	312	325	360	731	969	512	639	530	17	666	713	736	750	951	708	656	640	327	415	654	617	610	206	518	302	284	186	382	114	108	173	56	552	129					
7	Число избирательных бюллетеней в переносных ящиках	8169	170	67	90	112	49	112	102	66	75	90	109	100	41	212	94	66	138	126	221	28	63	124	153	128	104	117	107	170	223	26	81	231	31	146	137	241	170	278	195	233	34	108	189	99	134	114	679	177	133	274	74	68	47	112	95	81	35	67	89	106	23	78	76	49	168	34					
8	Число бюллетеней в стационарных ящиках для голосования	67896	561	969	493	1095	586	1345	914	1012	1192	1235	904	1624	1207	1248	1038	1268	794	496	405	1093	1366	379	1215	463	1291	350	664	595	513	346	803	657	857	529	1003	1628	1361	1210	1466	737	249	1224	1798	1965	1916	1435	1313	1767	1327	599	1810	1278	636	878	899	901	1763	1749	2025	1812	763	614	751	395	780	337					
9	Число недействительных избирательных бюллетеней	1171	8	6	7	16	1	11	5	9	5	37	7	311	11	15	8	4	2	5	3	1	11	2	14	6	15	1	5	10	5	0	4	10	9	9	0	0	81	6	0	10	0	7	22	19	18	11	12	26	14	9	16	11	9	11	10	6	16	13	224	5	4	10	5	2	19	2					
10	Число действительных избирательных бюллетеней	74894	723	1030	576	1191	634	1446	1011	1069	1262	1288	1006	1413	1237	1445	1124	1330	930	617	623	1120	1418	501	1354	585	1380	466	766	755	731	372	880	878	879	666	1140	1869	1450	1482	1661	960	283	1325	1965	2045	2032	1538	1980	1918	1446	864	1868	1335	674	979	984	976	1782	1803	1890	1913	782	682	822	442	929	369					
11	Число полученных открепительных  удостоверений	1840	25	30	25	50	15	25	25	70	40	35	40	40	55	60	55	60	15	15	10	65	40	15	30	10	35	10	15	20	10	10	20	10	10	10	15	40	50	35	30	25	5	20	40	20	30	35	30	35	35	15	40	55	25	25	20	35	15	15	15	15	50	10	10	10	30	10					
12	Число выданных открепительных удостоверений	1550	21	27	19	46	12	25	21	64	35	31	33	39	49	53	54	60	15	7	7	65	35	11	22	7	28	9	13	13	5	10	13	5	10	5	11	38	49	27	30	23	1	16	33	20	26	34	24	28	29	12	26	47	24	24	12	29	13	15	5	3	37	8	6	0	26	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1317	27	23	13	6	5	17	10	3	21	17	9	13	20	69	21	22	97	17	19	14	6	3	10	3	1	3	8	10	23	16	1	37	5	9	26	12	23	9	11	13	3	9	11	13	4	37	19	13	8	15	321	8	9	4	12	20	10	12	22	7	63	6	6	1	8	4					
14	Число неиспользованных открепительных удостоверений	290	4	3	6	4	3	0	4	6	5	4	7	1	6	7	1	0	0	8	3	0	5	4	8	3	7	1	2	7	5	0	7	5	0	5	4	2	1	8	0	2	4	4	7	0	4	1	6	7	6	3	14	8	1	1	8	6	2	0	10	12	13	2	4	10	4	5					
