Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Успенская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №5501	УИК №5502	УИК №5503	УИК №5504	УИК №5505	УИК №5506	УИК №5507	УИК №5508	УИК №5509	УИК №5510	УИК №5511	УИК №5512	УИК №5513	УИК №5514	УИК №5515	УИК №5516	УИК №5517	УИК №5518	УИК №5519	УИК №5520	УИК №5521	УИК №5522	УИК №5523	УИК №5524	УИК №5525	УИК №5526	УИК №5527					
1	"Число избирателей, внесенных в список"	29676	1749	2862	2725	2100	1191	327	142	819	2164	2084	592	1108	170	361	861	143	201	269	931	100	1159	1387	743	560	2452	1649	827					
2	Число полученных избирательных бюллетеней	29517	1881	2827	2669	2173	1331	311	139	828	2083	2100	583	1103	172	361	823	138	187	253	881	88	1126	1338	690	522	2488	1654	768					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22901	1302	1947	2236	1684	1191	284	135	658	1458	1642	504	894	142	345	704	117	164	236	777	88	864	886	618	456	1585	1415	569					
5	"Число избирательных бюллетеней, выданных вне помещения"	1486	150	116	56	57	0	10	0	50	94	120	51	65	11	0	54	0	12	17	17	0	78	297	45	58	76	25	27					
6	Число погашенных избирательных бюллетеней	5130	429	764	377	432	140	17	4	120	531	338	28	144	19	16	65	21	11	0	87	0	184	155	27	8	827	214	172					
7	Число избирательных бюллетеней в переносных ящиках	1486	150	116	56	57	0	10	0	50	94	120	51	65	11	0	54	0	12	17	17	0	78	297	45	58	76	25	27					
8	Число бюллетеней в стационарных ящиках для голосования	22901	1302	1947	2236	1684	1191	284	135	658	1458	1642	504	894	142	345	704	117	164	236	777	88	864	886	618	456	1585	1415	569					
9	Число недействительных избирательных бюллетеней	283	27	29	11	11	8	0	1	7	15	15	3	11	2	3	4	1	5	0	14	0	21	7	14	6	29	30	9					
10	Число действительных избирательных бюллетеней	24104	1425	2034	2281	1730	1183	294	134	701	1537	1747	552	948	151	342	754	116	171	253	780	88	921	1176	649	508	1632	1410	587					
11	Число полученных открепительных  удостоверений	499	29	40	40	25	24	6	5	16	32	30	14	19	10	11	18	5	5	5	18	4	18	25	15	5	40	25	15					
12	Число выданных открепительных удостоверений	101	8	13	15	14	0	0	0	3	7	6	0	10	1	0	0	0	0	1	3	0	10	1	0	1	5	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	50	0	7	6	6	3	0	0	0	1	2	2	1	3	0	1	2	0	0	3	0	5	0	4	0	2	0	2					
14	Число неиспользованных открепительных удостоверений	398	21	27	25	11	24	6	5	13	25	24	14	9	9	11	18	5	5	4	15	4	8	24	15	4	35	22	15					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	778	32	72	73	72	23	6	6	40	44	52	17	31	1	5	69	3	9	5	20	0	44	20	10	4	63	42	15					
		3.19%	2.20%	3.49%	3.18%	4.14%	1.93%	2.04%	4.44%	5.65%	2.84%	2.95%	3.06%	3.23%	0.65%	1.45%	9.10%	2.56%	5.11%	1.98%	2.52%	0.00%	4.67%	1.69%	1.51%	0.78%	3.79%	2.92%	2.52%					
19	. Малышкин Олег Александрович	527	52	37	46	31	24	8	4	15	37	27	5	29	2	0	17	0	9	18	14	1	30	11	9	20	40	32	9					
		2.16%	3.58%	1.79%	2.01%	1.78%	2.02%	2.72%	2.96%	2.12%	2.38%	1.53%	0.90%	3.02%	1.31%	0.00%	2.24%	0.00%	5.11%	7.11%	1.76%	1.14%	3.18%	0.93%	1.36%	3.89%	2.41%	2.22%	1.51%					
20	. Миронов Сергей Михайлович	117	10	12	11	10	2	0	0	6	4	2	2	1	2	5	2	2	0	4	3	2	5	3	4	1	13	11	0					
