Выборы Президента Российской Федерации																																																									
																																																									
"Наименование Избирательной комиссии:    Улан-Удэ, Железнодорожная"																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667					
1	"Число избирателей, внесенных в список"	99582	2934	1426	1947	2190	1136	1886	1156	2397	2908	2890	2671	164	3168	2028	2423	2582	2266	2400	1654	2324	2178	2607	2271	2000	1986	2178	1540	2245	2088	2013	2685	1075	988	735	652	2614	1067	2402	2474	2446	2313	1909	1305	1817	2549	2660	3102	2822	123	188					
2	Число полученных избирательных бюллетеней	104564	3019	1455	2146	2378	1305	2182	1265	2569	3021	2855	2719	169	3167	2002	2524	2683	2366	2562	1688	2332	2277	2678	2396	2308	2158	2344	1590	2522	2203	2207	3151	1293	1179	901	724	2739	1188	2431	2595	2554	2398	1941	1369	1872	2393	2706	3007	2713	120	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	57207	1393	620	1177	1352	642	896	698	1439	1721	1709	1482	132	2219	1427	1444	1578	1367	1490	973	1331	1307	1416	980	1133	1156	1279	898	1127	1223	1091	1572	586	492	369	282	1251	637	1421	1378	1466	1146	1104	673	1105	1682	1665	1926	1480	113	159					
5	"Число избирательных бюллетеней, выданных вне помещения"	3695	90	46	40	32	85	72	32	57	58	139	108	16	56	72	55	74	68	86	51	83	75	108	107	78	130	63	53	92	74	62	90	106	116	43	82	351	20	87	66	93	71	59	56	41	67	48	70	48	0	19					
6	Число погашенных избирательных бюллетеней	43662	1536	789	929	994	578	1214	535	1073	1242	1007	1129	21	892	503	1025	1031	931	986	664	918	895	1154	1309	1097	872	1002	639	1303	906	1054	1489	601	571	489	360	1137	531	923	1151	995	1181	778	640	726	644	993	1011	1185	7	22					
7	Число избирательных бюллетеней в переносных ящиках	3694	90	46	40	32	85	72	32	56	58	139	108	16	56	72	55	74	68	86	51	83	75	108	107	78	130	63	53	92	74	62	90	106	116	43	82	351	20	87	66	93	71	59	56	41	67	48	70	48	0	19					
8	Число бюллетеней в стационарных ящиках для голосования	57144	1393	620	1177	1352	641	893	698	1439	1716	1708	1482	132	2218	1427	1440	1578	1365	1472	973	1331	1307	1416	979	1133	1156	1279	898	1127	1223	1091	1572	586	492	369	282	1251	636	1421	1378	1466	1146	1099	673	1104	1662	1665	1926	1480	113	159					
9	Число недействительных избирательных бюллетеней	644	22	1	12	10	8	12	7	14	17	23	15	7	20	13	11	7	6	19	12	6	20	14	12	15	3	35	10	19	18	11	23	5	9	7	5	22	6	24	11	21	13	10	9	13	17	23	12	13	2	0					
10	Число действительных избирательных бюллетеней	60194	1461	665	1205	1374	718	953	723	1481	1757	1824	1575	141	2254	1486	1484	1645	1427	1539	1012	1408	1362	1510	1074	1196	1283	1307	941	1200	1279	1142	1639	687	599	405	359	1580	650	1484	1433	1538	1204	1148	720	1132	1712	1690	1984	1515	111	178					
11	Число полученных открепительных  удостоверений	3696	91	70	80	80	70	80	70	85	90	80	80	20	120	80	80	80	70	80	70	60	80	80	80	80	80	80	70	80	80	80	90	60	60	60	50	90	60	80	80	80	80	80	70	80	80	90	100	80	0	0					
12	Число выданных открепительных удостоверений	1344	26	18	37	27	18	19	21	43	47	61	29	14	61	38	40	35	45	29	19	39	38	25	17	20	37	28	14	23	20	28	31	12	15	19	7	30	19	29	30	30	14	23	15	22	33	31	36	32	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1239	20	18	27	19	13	16	9	18	34	140	23	18	59	42	20	33	33	28	24	22	15	24	8	12	14	14	15	23	17	14	10	38	10	13	13	30	14	16	17	23	11	9	8	11	14	20	16	9	77	108					
14	Число неиспользованных открепительных удостоверений	2352	65	52	43	53	52	61	49	42	43	19	51	6	59	42	40	45	25	51	51	21	42	55	63	60	43	52	56	57	60	52	59	48	45	41	43	60	41	51	50	50	66	57	55	58	47	59	64	48	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																									
18	. Глазьев Сергей Юрьевич	2080	41	20	54	65	24	28	27	71	85	44	79	2	58	46	61	50	58	60	35	46	58	49	37	23	34	52	31	44	63	31	50	18	25	4	7	45	26	43	34	49	36	44	23	31	58	64	83	53	4	7					
		3.42%	2.76%	3.00%	4.44%	4.70%	3.31%	2.90%	3.70%	4.75%	4.79%	2.38%	4.97%	1.35%	2.55%	3.07%	4.08%	3.03%	4.05%	3.85%	3.42%	3.25%	4.20%	3.22%	3.41%	1.90%	2.64%	3.87%	3.26%	3.61%	4.86%	2.69%	3.01%	2.60%	4.11%	0.97%	1.92%	2.81%	3.96%	2.85%	2.35%	3.14%	2.96%	3.80%	3.16%	2.71%	3.35%	3.74%	4.16%	3.47%	3.54%	3.93%					
19	. Малышкин Олег Александрович	998	38	19	22	18	10	25	5	18	28	30	29	4	26	21	27	10	25	16	19	29	27	25	20	38	31	20	14	32	19	21	34	9	12	14	8	18	14	27	19	32	19	7	6	24	20	20	17	28	3	1					
		1.64%	2.56%	2.85%	1.81%	1.30%	1.38%	2.59%	0.68%	1.20%	1.58%	1.62%	1.82%	2.70%	1.14%	1.40%	1.81%	0.61%	1.74%	1.03%	1.86%	2.05%	1.95%	1.64%	1.84%	3.14%	2.41%	1.49%	1.47%	2.63%	1.46%	1.82%	2.05%	1.30%	1.97%	3.40%	2.20%	1.12%	2.13%	1.79%	1.32%	2.05%	1.56%	0.60%	0.82%	2.10%	1.16%	1.17%	0.85%	1.83%	2.65%	0.56%					
20	. Миронов Сергей Михайлович	464	21	4	7	6	5	3	5	19	18	13	16	4	19	8	12	13	12	16	13	9	13	12	6	3	8	12	3	9	7	10	26	3	0	5	1	13	1	8	7	9	7	9	2	7	11	14	16	16	1	2					
		0.76%	1.42%	0.60%	0.58%	0.43%	0.69%	0.31%	0.68%	1.27%	1.01%	0.70%	1.01%	2.70%	0.84%	0.53%	0.80%	0.79%	0.84%	1.03%	1.27%	0.64%	0.94%	0.79%	0.55%	0.25%	0.62%	0.89%	0.32%	0.74%	0.54%	0.87%	1.56%	0.43%	0.00%	1.21%	0.27%	0.81%	0.15%	0.53%	0.48%	0.58%	0.58%	0.78%	0.27%	0.61%	0.64%	0.82%	0.80%	1.05%	0.88%	1.12%					
21	. Путин Владимир Владимирович	35000	871	414	697	757	458	595	419	800	981	1100	790	85	1405	842	769	946	704	783	500	767	733	840	694	819	739	786	550	734	764	671	1076	476	330	267	235	917	376	811	848	929	789	643	421	600	1089	1009	1086	906	78	101					
		57.53%	58.73%	62.16%	57.27%	54.70%	63.09%	61.66%	57.40%	53.51%	55.30%	59.56%	49.69%	57.43%	61.79%	56.17%	51.44%	57.26%	49.13%	50.26%	48.83%	54.24%	53.04%	55.12%	63.90%	67.63%	57.47%	58.57%	57.83%	60.21%	58.91%	58.20%	64.74%	68.79%	54.28%	64.81%	64.56%	57.24%	57.32%	53.78%	58.73%	59.59%	64.83%	55.53%	57.75%	52.40%	62.98%	58.90%	54.41%	59.29%	69.03%	56.74%					
22	. Хакамада Ирина Муцуовна	6583	184	64	133	189	89	106	76	225	182	228	181	3	334	177	202	208	220	249	155	149	124	175	99	115	140	140	107	114	143	107	134	76	86	34	27	147	96	120	124	112	93	110	58	91	137	181	173	144	11	11					
		10.82%	12.41%	9.61%	10.93%	13.66%	12.26%	10.98%	10.41%	15.05%	10.26%	12.34%	11.38%	2.03%	14.69%	11.81%	13.51%	12.59%	15.35%	15.98%	15.14%	10.54%	8.97%	11.48%	9.12%	9.50%	10.89%	10.43%	11.25%	9.35%	11.03%	9.28%	8.06%	10.98%	14.14%	8.25%	7.42%	9.18%	14.63%	7.96%	8.59%	7.18%	7.64%	9.50%	7.96%	7.95%	7.92%	10.57%	8.67%	9.42%	9.73%	6.18%					
23	. Харитонов Николай Михайлович	12877	238	125	238	290	112	161	158	286	390	343	421	41	340	331	346	358	356	375	252	364	356	342	177	171	289	249	192	237	237	243	246	89	135	76	65	396	112	427	358	350	238	299	174	328	337	315	549	307	7	51					
		21.17%	16.05%	18.77%	19.56%	20.95%	15.43%	16.68%	21.64%	19.13%	21.98%	18.57%	26.48%	27.70%	14.95%	22.08%	23.14%	21.67%	24.84%	24.07%	24.61%	25.74%	25.76%	22.44%	16.30%	14.12%	22.47%	18.55%	20.19%	19.44%	18.27%	21.08%	14.80%	12.86%	22.20%	18.45%	17.86%	24.72%	17.07%	28.32%	24.79%	22.45%	19.56%	25.82%	23.87%	28.65%	19.49%	18.39%	27.51%	20.09%	6.19%	28.65%					
																																																									
24	Против всех	2192	68	19	54	49	20	35	33	62	73	66	59	2	72	61	67	60	52	40	38	44	51	67	41	27	42	48	44	30	46	59	73	16	11	5	16	44	25	48	43	57	22	36	36	51	60	87	60	61	7	5					
		3.60%	4.59%	2.85%	4.44%	3.54%	2.75%	3.63%	4.52%	4.15%	4.11%	3.57%	3.71%	1.35%	3.17%	4.07%	4.48%	3.63%	3.63%	2.57%	3.71%	3.11%	3.69%	4.40%	3.78%	2.23%	3.27%	3.58%	4.63%	2.46%	3.55%	5.12%	4.39%	2.31%	1.81%	1.21%	4.40%	2.75%	3.81%	3.18%	2.98%	3.66%	1.81%	3.11%	4.94%	4.45%	3.47%	5.08%	3.01%	3.99%	6.19%	2.81%					
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
