Выборы Президента Российской Федерации																																																																			
Дата голосования: 02.03.2008																																																																			
																																																																			
"Наименование Избирательной комиссии:    Самара, Советская"																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
	Число участковых избирательных комиссий	60																																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	60																																																																	
																																																																			
		Сумма	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996					
1	"Число избирателей, включенных в списки избирателей"	138015	2169	2275	2198	2791	1876	2357	2273	2157	2006	2710	2860	1948	2374	2349	2610	2821	2844	2838	2072	2881	3248	2020	2416	2492	2043	1915	2023	2280	2804	2649	2442	2070	2721	2755	2638	2005	2341	2670	2147	2699	2660	2800	2349	2262	2941	2295	2259	2275	2687	2029	2361	2016	2053	1326	2531	1921	1526	822	1900	215					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	123450	2000	2000	2000	2500	1500	2000	2000	2000	2000	2500	2500	1500	1500	2000	2500	2500	2500	2500	2000	2500	2500	1500	2000	2000	2000	1500	2000	2000	2500	2500	2000	2000	2500	2500	2500	2000	2000	2500	2000	2500	2500	2500	2000	2000	2500	2500	2000	2000	2500	2000	2000	2000	2000	1000	2500	1500	1500	800	1950	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	64899	993	982	911	1136	916	1216	1011	1015	878	1271	1118	746	1336	1118	1791	1262	1149	1190	854	1280	1992	951	1058	979	962	947	1000	1052	1135	1076	1128	876	1216	1240	1213	869	955	1268	1037	1266	939	1256	1023	1008	1425	1661	990	1017	1221	1016	1128	932	1206	491	1154	752	733	454	1900	200					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3520	57	45	41	52	52	55	30	37	74	85	66	45	19	70	97	12	59	65	38	50	55	17	60	48	66	39	98	41	73	38	48	50	114	44	134	92	90	87	163	62	62	88	38	54	64	62	51	47	99	84	68	89	67	32	12	29	80	26	0	0					
6	Число погашенных избирательных бюллетеней	55031	950	973	1048	1312	532	729	959	948	1048	1144	1316	709	145	812	612	1226	1292	1245	1108	1170	453	532	882	973	972	514	902	907	1292	1386	824	1074	1170	1216	1153	1039	955	1145	800	1172	1499	1156	939	938	1011	777	959	936	1180	900	804	979	727	477	1334	719	687	320	50	0					
