Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Оршанская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459					
1	"Число избирателей, внесенных в список"	11367	2320	375	1992	418	476	394	481	432	251	384	879	380	568	428	329	143	424	561	132					
2	Число полученных избирательных бюллетеней	10456	2110	336	1723	402	437	398	424	392	259	376	793	396	495	388	334	143	381	527	142					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7280	1738	243	1146	257	307	272	276	299	181	254	501	229	361	274	180	65	273	350	74					
5	"Число избирательных бюллетеней, выданных вне помещения"	1292	66	48	152	64	64	44	93	42	23	87	126	59	101	75	29	53	70	69	27					
6	Число погашенных избирательных бюллетеней	1884	306	45	425	81	66	82	55	51	55	35	166	108	33	39	125	25	38	108	41					
7	Число избирательных бюллетеней в переносных ящиках	1292	66	48	152	64	64	44	93	42	23	87	126	59	101	75	29	53	70	69	27					
8	Число бюллетеней в стационарных ящиках для голосования	7280	1738	243	1146	257	307	272	276	299	181	254	501	229	361	274	180	65	273	350	74					
9	Число недействительных избирательных бюллетеней	75	19	0	13	0	4	0	5	2	3	4	4	3	4	3	1	0	3	6	1					
10	Число действительных избирательных бюллетеней	8497	1785	291	1285	321	367	316	364	339	201	337	623	285	458	346	208	118	340	413	100					
11	Число полученных открепительных  удостоверений	449	70	1	25	5	21	29	19	16	22	50	46	14	18	25	10	5	20	39	14					
12	Число выданных открепительных удостоверений	448	70	1	25	4	21	29	19	16	22	50	46	14	18	25	10	5	20	39	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	147	29	10	21	3	7	7	9	7	6	8	7	6	7	3	3	5	5	2	2					
14	Число неиспользованных открепительных удостоверений	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	15	2	1	4	1	1	0	0	1	0	0	1	0	0	4	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	217	50	9	32	8	7	9	11	6	11	1	26	3	5	12	2	2	8	14	1					
		2.53%	2.77%	3.09%	2.47%	2.49%	1.89%	2.85%	2.98%	1.76%	5.39%	0.29%	4.15%	1.04%	1.08%	3.44%	0.96%	1.69%	2.33%	3.34%	0.99%					
19	. Малышкин Олег Александрович	258	45	18	29	11	10	5	5	7	5	7	41	10	11	19	5	4	8	12	6					
		3.01%	2.49%	6.19%	2.23%	3.43%	2.70%	1.58%	1.36%	2.05%	2.45%	2.05%	6.54%	3.47%	2.38%	5.44%	2.39%	3.39%	2.33%	2.86%	5.94%					
20	. Миронов Сергей Михайлович	81	17	9	16	2	2	6	4	1	0	5	4	2	3	1	1	1	5	2	0					
		0.94%	0.94%	3.09%	1.23%	0.62%	0.54%	1.90%	1.08%	0.29%	0.00%	1.47%	0.64%	0.69%	0.65%	0.29%	0.48%	0.85%	1.46%	0.48%	0.00%					
21	. Путин Владимир Владимирович	6094	1325	218	991	239	279	242	206	286	83	236	390	196	322	232	143	82	234	315	75					
		71.09%	73.45%	74.91%	76.35%	74.45%	75.20%	76.58%	55.83%	83.87%	40.69%	69.21%	62.20%	68.06%	69.70%	66.48%	68.42%	69.49%	68.22%	75.18%	74.26%					
22	. Хакамада Ирина Муцуовна	182	50	6	24	9	4	4	3	5	3	1	11	20	15	1	4	0	14	7	1					
		2.12%	2.77%	2.06%	1.85%	2.80%	1.08%	1.27%	0.81%	1.47%	1.47%	0.29%	1.75%	6.94%	3.25%	0.29%	1.91%	0.00%	4.08%	1.67%	0.99%					
23	. Харитонов Николай Михайлович	1456	242	24	154	43	56	46	132	29	98	79	139	42	91	72	48	27	64	55	15					
		16.99%	13.41%	8.25%	11.86%	13.40%	15.09%	14.56%	35.77%	8.50%	48.04%	23.17%	22.17%	14.58%	19.70%	20.63%	22.97%	22.88%	18.66%	13.13%	14.85%					
																										
24	Против всех	209	56	7	39	9	9	4	3	5	1	8	12	12	11	9	5	2	7	8	2					
		2.44%	3.10%	2.41%	3.00%	2.80%	2.43%	1.27%	0.81%	1.47%	0.49%	2.35%	1.91%	4.17%	2.38%	2.58%	2.39%	1.69%	2.04%	1.91%	1.98%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
