Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Красновишерская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642					
1	"Число избирателей, внесенных в список"	19460	342	1085	983	1322	1065	1119	1326	502	332	1154	150	217	371	734	353	160	622	77	496	91	264	65	163	115	431	79	84	364	37	95	142	227	330	122	191	508	760	926	419	965	461	211					
2	Число полученных избирательных бюллетеней	20430	355	1090	1000	1375	1095	1190	1340	510	340	1195	150	250	415	760	385	185	666	65	565	104	275	86	160	153	470	97	116	430	38	116	163	250	360	136	210	555	785	885	430	990	465	225					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11518	175	612	600	865	635	711	691	254	180	602	85	136	248	442	207	114	468	32	352	67	120	43	120	96	178	54	53	245	25	70	100	129	216	90	125	309	376	423	261	646	236	127					
5	"Число избирательных бюллетеней, выданных вне помещения"	1350	62	39	54	31	46	43	78	31	14	19	43	39	22	53	49	16	34	19	30	12	49	9	18	7	91	6	20	28	9	13	4	49	26	10	6	58	59	35	38	30	34	17					
6	Число погашенных избирательных бюллетеней	7562	118	439	346	479	414	436	571	225	146	574	22	75	145	265	129	55	164	14	183	25	106	34	22	50	201	37	43	157	4	33	59	72	118	36	79	188	350	427	131	314	195	81					
7	Число избирательных бюллетеней в переносных ящиках	1350	62	39	54	31	46	43	78	31	14	19	43	39	22	53	49	16	34	19	30	12	49	9	18	7	91	6	20	28	9	13	4	49	26	10	6	58	59	35	38	30	34	17					
8	Число бюллетеней в стационарных ящиках для голосования	11518	175	612	600	865	635	711	691	254	180	602	85	136	248	442	207	114	468	32	352	67	120	43	120	96	178	54	53	245	25	70	100	129	216	90	125	309	376	423	261	646	236	127					
9	Число недействительных избирательных бюллетеней	119	3	7	5	9	1	8	9	3	1	3	2	0	3	2	4	2	2	0	4	5	2	2	2	1	1	0	0	6	1	3	2	2	8	1	1	1	5	4	1	3	0	0					
10	Число действительных избирательных бюллетеней	12749	234	644	649	887	680	746	760	282	193	618	126	175	267	493	252	128	500	51	378	74	167	50	136	102	268	60	73	267	33	80	102	176	234	99	130	366	430	454	298	673	270	144					
11	Число полученных открепительных  удостоверений	659	15	15	15	35	21	36	14	20	5	30	0	10	15	30	15	10	25	5	25	5	5	10	8	17	10	10	15	36	10	5	5	23	13	5	5	44	10	15	14	29	11	13					
12	Число выданных открепительных удостоверений	559	15	14	11	22	14	36	11	20	5	30	0	10	9	30	15	10	25	0	23	5	5	10	6	17	10	9	15	36	3	3	5	23	12	1	0	44	3	3	5	28	3	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	171	1	13	16	4	1	5	6	6	2	6	9	1	3	7	4	1	2	4	4	2	6	0	5	0	3	0	1	10	2	1	1	4	4	3	0	7	5	3	4	11	3	1					
14	Число неиспользованных открепительных удостоверений	100	0	1	4	13	7	0	3	0	0	0	0	0	6	0	0	0	0	5	2	0	0	0	2	0	0	1	0	0	7	2	0	0	1	4	5	0	7	12	9	1	8	0					
15	"Число открепительных удостоверений, выданных в ТИК"	41	1	2	1	3	1	4	2	0	0	5	0	0	1	0	0	1	0	2	0	0	0	1	0	0	1	0	0	3	0	3	1	1	0	0	0	2	0	1	0	2	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	333	11	10	19	17	26	43	12	13	8	24	4	3	0	10	6	0	8	0	18	0	2	0	6	3	3	1	0	5	0	1	1	5	3	0	0	11	5	4	11	32	5	3					
		2.59%	4.64%	1.54%	2.91%	1.90%	3.82%	5.70%	1.56%	4.56%	4.12%	3.86%	3.12%	1.71%	0.00%	2.02%	2.34%	0.00%	1.59%	0.00%	4.71%	0.00%	1.18%	0.00%	4.35%	2.91%	1.12%	1.67%	0.00%	1.83%	0.00%	1.20%	0.96%	2.81%	1.24%	0.00%	0.00%	3.00%	1.15%	0.87%	3.68%	4.73%	1.85%	2.08%					
19	. Малышкин Олег Александрович	464	12	29	26	35	18	18	14	12	8	29	1	9	3	21	11	10	16	2	7	5	3	0	9	4	30	0	1	3	1	1	6	6	14	4	2	16	23	18	7	21	2	7					
		3.61%	5.06%	4.45%	3.98%	3.91%	2.64%	2.39%	1.82%	4.21%	4.12%	4.67%	0.78%	5.14%	1.11%	4.24%	4.30%	7.69%	3.19%	3.92%	1.83%	6.33%	1.78%	0.00%	6.52%	3.88%	11.15%	0.00%	1.37%	1.10%	2.94%	1.20%	5.77%	3.37%	5.79%	4.00%	1.53%	4.36%	5.29%	3.93%	2.34%	3.11%	0.74%	4.86%					
20	. Миронов Сергей Михайлович	122	3	4	8	9	6	5	3	1	2	8	2	3	4	5	1	1	3	0	4	1	1	0	3	1	4	2	0	3	0	1	1	3	5	0	1	1	4	3	0	10	4	2					
		0.95%	1.27%	0.61%	1.22%	1.00%	0.88%	0.66%	0.39%	0.35%	1.03%	1.29%	1.56%	1.71%	1.48%	1.01%	0.39%	0.77%	0.60%	0.00%	1.05%	1.27%	0.59%	0.00%	2.17%	0.97%	1.49%	3.33%	0.00%	1.10%	0.00%	1.20%	0.96%	1.69%	2.07%	0.00%	0.76%	0.27%	0.92%	0.66%	0.00%	1.48%	1.48%	1.39%					
21	. Путин Владимир Владимирович	9700	178	494	475	690	509	555	617	196	136	430	95	138	176	357	201	106	433	41	283	59	137	47	111	79	203	53	67	216	31	68	83	123	150	81	112	260	337	371	207	479	208	108					
		75.38%	75.11%	75.88%	72.63%	77.01%	74.74%	73.61%	80.23%	68.77%	70.10%	69.24%	74.22%	78.86%	65.19%	72.12%	78.52%	81.54%	86.25%	80.39%	74.08%	74.68%	81.07%	90.38%	80.43%	76.70%	75.46%	88.33%	91.78%	79.12%	91.18%	81.93%	79.81%	69.10%	61.98%	81.00%	85.50%	70.84%	77.47%	81.00%	69.23%	70.86%	77.04%	75.00%					
22	. Хакамада Ирина Муцуовна	386	7	22	28	21	21	32	25	10	3	31	8	5	1	17	8	0	9	1	13	1	3	0	0	4	8	1	0	4	0	3	1	3	14	2	2	12	7	14	13	17	10	5					
		3.00%	2.95%	3.38%	4.28%	2.34%	3.08%	4.24%	3.25%	3.51%	1.55%	4.99%	6.25%	2.86%	0.37%	3.43%	3.12%	0.00%	1.79%	1.96%	3.40%	1.27%	1.78%	0.00%	0.00%	3.88%	2.97%	1.67%	0.00%	1.47%	0.00%	3.61%	0.96%	1.69%	5.79%	2.00%	1.53%	3.27%	1.61%	3.06%	4.35%	2.51%	3.70%	3.47%					
23	. Харитонов Николай Михайлович	1387	19	67	72	87	77	63	64	36	24	72	11	17	79	68	23	5	24	7	45	8	14	3	5	9	17	2	4	35	1	5	9	27	42	10	11	59	41	35	49	98	28	15					
		10.78%	8.02%	10.29%	11.01%	9.71%	11.31%	8.36%	8.32%	12.63%	12.37%	11.59%	8.59%	9.71%	29.26%	13.74%	8.98%	3.85%	4.78%	13.73%	11.78%	10.13%	8.28%	5.77%	3.62%	8.74%	6.32%	3.33%	5.48%	12.82%	2.94%	6.02%	8.65%	15.17%	17.36%	10.00%	8.40%	16.08%	9.43%	7.64%	16.39%	14.50%	10.37%	10.42%					
																																																	
24	Против всех	357	4	18	21	28	23	30	25	14	12	24	5	0	4	15	2	6	7	0	8	0	7	0	2	2	3	1	1	1	0	1	1	9	6	2	2	7	13	9	11	16	13	4					
		2.77%	1.69%	2.76%	3.21%	3.12%	3.38%	3.98%	3.25%	4.91%	6.19%	3.86%	3.91%	0.00%	1.48%	3.03%	0.78%	4.62%	1.39%	0.00%	2.09%	0.00%	4.14%	0.00%	1.45%	1.94%	1.12%	1.67%	1.37%	0.37%	0.00%	1.20%	0.96%	5.06%	2.48%	2.00%	1.53%	1.91%	2.99%	1.97%	3.68%	2.37%	4.81%	2.78%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
