Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Глазовская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422					
1	"Число избирателей, внесенных в список"	14661	755	706	992	1518	527	339	328	669	553	840	725	331	421	421	792	263	426	521	1295	343	915	981					
2	Число полученных избирательных бюллетеней	14350	740	700	1000	1500	500	330	310	670	540	820	740	300	400	420	750	250	430	500	1280	330	870	970					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11288	595	491	690	1144	449	216	252	475	422	635	543	264	369	362	687	203	406	466	894	253	706	766					
5	"Число избирательных бюллетеней, выданных вне помещения"	1223	43	33	149	163	12	27	44	92	51	93	63	30	16	29	31	43	5	34	74	28	119	44					
6	Число погашенных избирательных бюллетеней	1839	102	176	161	193	39	87	14	103	67	92	134	6	15	29	32	4	19	0	312	49	45	160					
7	Число избирательных бюллетеней в переносных ящиках	1223	43	33	149	163	12	27	44	92	51	93	63	30	16	29	31	43	5	34	74	28	119	44					
8	Число бюллетеней в стационарных ящиках для голосования	11288	595	491	690	1144	449	216	252	475	422	635	543	264	369	362	687	203	406	466	894	253	706	766					
9	Число недействительных избирательных бюллетеней	123	11	6	5	10	0	2	1	2	7	8	5	4	1	5	7	10	0	1	20	3	10	5					
10	Число действительных избирательных бюллетеней	12388	627	518	834	1297	461	241	295	565	466	720	601	290	384	386	711	236	411	499	948	278	815	805					
11	Число полученных открепительных  удостоверений	373	20	13	26	33	7	10	10	23	33	25	39	15	6	14	11	10	12	8	10	10	20	18					
12	Число выданных открепительных удостоверений	363	20	13	26	33	7	10	10	23	33	25	35	12	5	14	11	10	12	6	10	10	20	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	320	21	6	10	31	8	5	4	8	8	4	7	5	11	5	13	9	6	9	11	15	33	91					
14	Число неиспользованных открепительных удостоверений	10	0	0	0	0	0	0	0	0	0	0	4	3	1	0	0	0	0	2	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	17	1	0	1	0	0	3	1	1	1	0	0	1	1	0	0	1	1	1	1	0	1	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	207	18	22	6	25	10	6	7	6	3	17	12	6	0	10	7	2	3	4	13	5	7	18					
		1.65%	2.82%	4.20%	0.72%	1.91%	2.17%	2.47%	2.36%	1.06%	0.63%	2.34%	1.98%	2.04%	0.00%	2.56%	0.97%	0.81%	0.73%	0.80%	1.34%	1.78%	0.85%	2.22%					
19	. Малышкин Олег Александрович	266	19	10	27	21	13	5	2	11	8	8	11	6	6	9	19	5	7	7	30	6	17	19					
		2.13%	2.98%	1.91%	3.22%	1.61%	2.82%	2.06%	0.68%	1.94%	1.69%	1.10%	1.82%	2.04%	1.56%	2.30%	2.65%	2.03%	1.70%	1.40%	3.10%	2.14%	2.06%	2.35%					
20	. Миронов Сергей Михайлович	55	1	1	4	4	3	2	3	4	3	3	3	2	0	1	5	1	1	0	6	3	3	2					
		0.44%	0.16%	0.19%	0.48%	0.31%	0.65%	0.82%	1.01%	0.71%	0.63%	0.41%	0.50%	0.68%	0.00%	0.26%	0.70%	0.41%	0.24%	0.00%	0.62%	1.07%	0.36%	0.25%					
21	. Путин Владимир Владимирович	10622	536	422	718	1126	402	202	265	482	411	609	510	264	348	331	627	205	362	449	774	200	704	675					
		84.90%	84.01%	80.53%	85.58%	86.15%	87.20%	83.13%	89.53%	85.01%	86.89%	83.65%	84.16%	89.80%	90.39%	84.65%	87.33%	83.33%	88.08%	89.80%	79.96%	71.17%	85.33%	83.33%					
22	. Хакамада Ирина Муцуовна	153	4	12	4	10	2	4	2	3	4	6	15	2	2	3	11	2	1	2	28	7	17	12					
		1.22%	0.63%	2.29%	0.48%	0.77%	0.43%	1.65%	0.68%	0.53%	0.85%	0.82%	2.48%	0.68%	0.52%	0.77%	1.53%	0.81%	0.24%	0.40%	2.89%	2.49%	2.06%	1.48%					
23	. Харитонов Николай Михайлович	875	35	36	71	84	26	22	16	54	33	60	39	5	20	25	37	20	36	26	68	50	52	60					
		6.99%	5.49%	6.87%	8.46%	6.43%	5.64%	9.05%	5.41%	9.52%	6.98%	8.24%	6.44%	1.70%	5.19%	6.39%	5.15%	8.13%	8.76%	5.20%	7.02%	17.79%	6.30%	7.41%					
																													
24	Против всех	210	14	15	4	27	5	0	0	5	4	17	11	5	8	7	5	1	1	11	29	7	15	19					
		1.68%	2.19%	2.86%	0.48%	2.07%	1.08%	0.00%	0.00%	0.88%	0.85%	2.34%	1.82%	1.70%	2.08%	1.79%	0.70%	0.41%	0.24%	2.20%	3.00%	2.49%	1.82%	2.35%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
