Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Могойтуйская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56					
1	"Число избирателей, внесенных в список"	16893	1275	1581	2344	786	472	212	699	144	928	1095	865	355	725	684	1005	698	620	758	392	805	103	347					
2	Число полученных избирательных бюллетеней	16290	1105	1390	1950	780	460	215	685	140	940	1080	865	355	705	705	1140	685	640	760	410	830	105	345					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10725	660	863	1308	525	342	54	440	109	556	703	515	260	524	413	739	571	409	490	372	534	65	273					
5	"Число избирательных бюллетеней, выданных вне помещения"	2503	90	55	133	120	96	124	191	21	229	265	220	56	51	164	33	88	177	172	1	119	29	69					
6	Число погашенных избирательных бюллетеней	3062	355	472	509	135	22	37	54	10	155	112	130	39	130	128	368	26	54	98	37	177	11	3					
7	Число избирательных бюллетеней в переносных ящиках	2503	90	55	133	120	96	124	191	21	229	265	220	56	51	164	33	88	177	172	1	119	29	69					
8	Число бюллетеней в стационарных ящиках для голосования	10725	660	863	1308	525	342	54	440	109	556	703	515	260	524	413	739	571	409	490	372	534	65	273					
9	Число недействительных избирательных бюллетеней	99	7	7	7	3	2	0	0	0	4	12	9	9	7	3	5	3	2	7	3	7	2	0					
10	Число действительных избирательных бюллетеней	13129	743	911	1434	642	436	178	631	130	781	956	726	307	568	574	767	656	584	655	370	646	92	342					
11	Число полученных открепительных  удостоверений	399	37	40	40	10	20	7	10	10	40	40	25	10	10	20	20	10	10	10	10	10	5	5					
12	Число выданных открепительных удостоверений	167	5	20	31	3	9	4	5	0	26	13	7	7	1	0	8	6	7	8	5	1	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	395	5	4	19	1	4	3	3	1	5	5	5	2	4	2	313	3	5	6	0	2	1	2					
14	Число неиспользованных открепительных удостоверений	232	32	20	9	7	11	3	5	10	14	27	18	3	9	20	12	4	3	2	5	9	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	180	10	26	21	7	3	2	7	1	12	12	8	3	12	15	5	4	8	6	4	10	1	3					
		1.36%	1.33%	2.83%	1.46%	1.09%	0.68%	1.12%	1.11%	0.77%	1.53%	1.24%	1.09%	0.95%	2.09%	2.60%	0.65%	0.61%	1.37%	0.91%	1.07%	1.53%	1.06%	0.88%					
19	. Малышкин Олег Александрович	162	13	10	8	3	3	0	4	2	3	7	2	9	3	8	15	14	3	2	7	28	5	13					
		1.22%	1.73%	1.09%	0.56%	0.47%	0.68%	0.00%	0.63%	1.54%	0.38%	0.72%	0.27%	2.85%	0.52%	1.39%	1.94%	2.12%	0.51%	0.30%	1.88%	4.29%	5.32%	3.80%					
20	. Миронов Сергей Михайлович	78	6	7	6	5	2	0	4	2	3	5	2	5	5	4	3	1	3	4	6	2	3	0					
		0.59%	0.80%	0.76%	0.42%	0.78%	0.46%	0.00%	0.63%	1.54%	0.38%	0.52%	0.27%	1.58%	0.87%	0.69%	0.39%	0.15%	0.51%	0.60%	1.61%	0.31%	3.19%	0.00%					
21	. Путин Владимир Владимирович	11358	641	752	1221	565	364	156	560	117	682	862	623	255	435	475	681	575	538	580	336	553	82	305					
		85.86%	85.47%	81.92%	84.73%	87.60%	83.11%	87.64%	88.75%	90.00%	86.88%	89.05%	84.76%	80.70%	75.65%	82.32%	88.21%	87.25%	91.81%	87.61%	90.08%	84.69%	87.23%	89.18%					
22	. Хакамада Ирина Муцуовна	395	18	42	95	14	13	5	20	0	24	27	32	9	12	6	7	27	13	14	4	12	0	1					
		2.99%	2.40%	4.58%	6.59%	2.17%	2.97%	2.81%	3.17%	0.00%	3.06%	2.79%	4.35%	2.85%	2.09%	1.04%	0.91%	4.10%	2.22%	2.11%	1.07%	1.84%	0.00%	0.29%					
23	. Харитонов Николай Михайлович	882	54	73	71	45	49	15	35	8	51	41	56	25	100	59	44	33	18	44	10	38	0	13					
		6.67%	7.20%	7.95%	4.93%	6.98%	11.19%	8.43%	5.55%	6.15%	6.50%	4.24%	7.62%	7.91%	17.39%	10.23%	5.70%	5.01%	3.07%	6.65%	2.68%	5.82%	0.00%	3.80%					
																													
24	Против всех	74	1	1	12	3	2	0	1	0	6	2	3	1	1	7	12	2	1	5	3	3	1	7					
		0.56%	0.13%	0.11%	0.83%	0.47%	0.46%	0.00%	0.16%	0.00%	0.76%	0.21%	0.41%	0.32%	0.17%	1.21%	1.55%	0.30%	0.17%	0.76%	0.80%	0.46%	1.06%	2.05%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
