Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Сулейман-Стальская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194					
1	"Число избирателей, внесенных в список"	32694	1660	2393	2181	1444	649	365	1670	1868	1596	1002	2077	949	2058	2019	798	1528	1117	686	128	954	649	607	239	530	333	254	98	106	368	246	138	85	154	81	283	264	174	66	77	190	440	170					
2	Число полученных избирательных бюллетеней	33030	1700	2450	2250	1450	650	370	1670	1850	1600	1000	2050	970	2100	2000	800	1480	1100	660	140	960	660	620	250	520	350	260	100	120	400	250	150	100	160	100	300	280	190	70	80	190	450	180					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29984	1525	1891	2140	1400	590	336	1520	1698	1452	910	1890	810	1878	1962	763	1356	1061	649	127	866	597	552	225	499	300	249	90	97	327	225	136	81	138	66	260	250	170	66	72	190	410	160					
5	"Число избирательных бюллетеней, выданных вне помещения"	36	0	0	6	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	3010	175	559	104	50	60	34	150	152	148	60	160	160	222	38	37	124	39	11	13	94	63	68	25	21	50	11	10	23	73	25	14	19	22	34	40	30	20	4	8	0	40	20					
7	Число избирательных бюллетеней в переносных ящиках	36	0	0	6	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	29984	1525	1891	2140	1400	590	336	1520	1698	1452	910	1890	810	1878	1962	763	1356	1061	649	127	866	597	552	225	499	300	249	90	97	327	225	136	81	138	66	260	250	170	66	72	190	410	160					
9	Число недействительных избирательных бюллетеней	109	0	1	9	0	0	0	3	14	0	0	22	0	12	2	2	2	11	18	0	3	0	0	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0					
10	Число действительных избирательных бюллетеней	29911	1525	1890	2137	1400	590	336	1517	1684	1452	940	1868	810	1866	1960	761	1354	1050	631	127	863	597	552	224	497	298	247	90	97	327	225	136	81	138	66	260	250	170	66	72	190	407	160					
