Выборы Президента Российской Федерации											
											
Наименование Избирательной комиссии:    Оленекская											
											
Итоги голосования 											
											
		Сумма	УИК №492	УИК №493	УИК №494	УИК №495					
1	"Число избирателей, внесенных в список"	2346	1238	439	479	190					
2	Число полученных избирательных бюллетеней	2431	1281	450	500	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	186	17	52	89	28					
4	"Число избирательных бюллетеней, выданных в день голосования"	1756	922	333	352	149					
5	"Число избирательных бюллетеней, выданных вне помещения"	112	66	25	17	4					
6	Число погашенных избирательных бюллетеней	377	276	40	42	19					
7	Число избирательных бюллетеней в переносных ящиках	298	83	77	106	32					
8	Число бюллетеней в стационарных ящиках для голосования	1756	922	333	352	149					
9	Число недействительных избирательных бюллетеней	18	8	4	5	1					
10	Число действительных избирательных бюллетеней	2036	997	406	453	180					
11	Число полученных открепительных  удостоверений	189	95	14	50	30					
12	Число выданных открепительных удостоверений	125	62	12	35	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	21	2	7	4					
14	Число неиспользованных открепительных удостоверений	64	33	2	15	14					
15	"Число открепительных удостоверений, выданных в ТИК"	11	5	3	0	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"											
18	. Глазьев Сергей Юрьевич	54	12	5	23	14					
		2.63%	1.19%	1.22%	5.02%	7.73%					
19	. Малышкин Олег Александрович	3	2	0	1	0					
		0.15%	0.20%	0.00%	0.22%	0.00%					
20	. Миронов Сергей Михайлович	11	5	2	4	0					
		0.54%	0.50%	0.49%	0.87%	0.00%					
21	. Путин Владимир Владимирович	1535	751	323	312	149					
		74.73%	74.73%	78.78%	68.12%	82.32%					
22	. Хакамада Ирина Муцуовна	113	65	17	25	6					
		5.50%	6.47%	4.15%	5.46%	3.31%					
23	. Харитонов Николай Михайлович	285	146	52	78	9					
		13.88%	14.53%	12.68%	17.03%	4.97%					
											
24	Против всех	35	16	7	10	2					
		1.70%	1.59%	1.71%	2.18%	1.10%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
