Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Солецкая																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448					
1	"Число избирателей, внесенных в список"	14651	318	1123	584	463	354	249	267	449	281	152	356	187	349	241	811	1094	948	932	1367	1027	752	2347					
2	Число полученных избирательных бюллетеней	14515	314	1139	584	471	341	235	266	395	279	149	345	187	351	237	780	1101	953	930	1356	1020	763	2319					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7206	169	526	309	244	117	138	131	199	112	89	199	130	193	118	343	559	414	324	600	501	359	1432					
5	"Число избирательных бюллетеней, выданных вне помещения"	1084	66	88	52	56	104	40	43	112	104	39	72	25	32	39	38	44	20	39	25	15	18	13					
6	Число погашенных избирательных бюллетеней	6225	79	525	223	171	120	57	92	84	63	21	74	32	126	80	399	498	519	567	731	504	386	874					
7	Число избирательных бюллетеней в переносных ящиках	1084	66	88	52	56	104	40	43	112	104	39	72	25	32	39	38	44	20	39	25	15	18	13					
8	Число бюллетеней в стационарных ящиках для голосования	7206	169	526	309	244	117	138	131	199	112	89	199	130	193	118	343	559	414	324	600	501	359	1432					
9	Число недействительных избирательных бюллетеней	49	0	4	4	1	2	0	0	6	1	2	0	1	0	1	2	1	5	3	4	4	2	6					
10	Число действительных избирательных бюллетеней	8241	235	610	357	299	219	178	174	305	215	126	271	154	225	156	379	602	429	360	621	512	375	1439					
11	Число полученных открепительных  удостоверений	280	10	20	10	10	10	10	10	10	10	10	10	10	10	10	15	15	15	15	15	15	15	25					
12	Число выданных открепительных удостоверений	81	0	4	2	7	0	3	2	0	1	0	1	3	0	1	3	6	3	6	7	7	4	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	60	4	4	3	1	3	6	1	6	2	1	2	3	1	1	5	1	6	3	5	0	1	1					
14	Число неиспользованных открепительных удостоверений	199	10	16	8	3	10	7	8	10	9	10	9	7	10	9	12	9	12	9	8	8	11	4					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	237	3	18	3	8	1	7	4	6	1	0	8	3	9	0	13	25	9	6	18	15	19	61					
		2.86%	1.28%	2.93%	0.83%	2.67%	0.45%	3.93%	2.30%	1.93%	0.46%	0.00%	2.95%	1.94%	4.00%	0.00%	3.41%	4.15%	2.07%	1.65%	2.88%	2.91%	5.04%	4.22%					
19	. Малышкин Олег Александрович	219	6	11	7	8	1	1	2	8	4	1	27	0	10	7	12	16	5	3	23	8	3	56					
		2.64%	2.55%	1.79%	1.94%	2.67%	0.45%	0.56%	1.15%	2.57%	1.85%	0.78%	9.96%	0.00%	4.44%	4.46%	3.15%	2.65%	1.15%	0.83%	3.68%	1.55%	0.80%	3.88%					
20	. Миронов Сергей Михайлович	84	1	7	5	2	0	0	1	5	0	0	4	2	3	3	3	3	3	5	10	1	0	26					
		1.01%	0.43%	1.14%	1.39%	0.67%	0.00%	0.00%	0.57%	1.61%	0.00%	0.00%	1.48%	1.29%	1.33%	1.91%	0.79%	0.50%	0.69%	1.38%	1.60%	0.19%	0.00%	1.80%					
21	. Путин Владимир Владимирович	6318	191	502	272	244	188	137	152	247	189	108	179	121	165	127	275	448	334	268	461	433	274	1003					
		76.21%	81.28%	81.76%	75.35%	81.33%	85.07%	76.97%	87.36%	79.42%	87.50%	84.38%	66.05%	78.06%	73.33%	80.89%	72.18%	74.30%	76.96%	73.83%	73.76%	83.91%	72.68%	69.41%					
22	. Хакамада Ирина Муцуовна	180	4	10	3	3	1	1	2	2	2	1	6	4	5	3	12	14	8	9	9	5	10	66					
		2.17%	1.70%	1.63%	0.83%	1.00%	0.45%	0.56%	1.15%	0.64%	0.93%	0.78%	2.21%	2.58%	2.22%	1.91%	3.15%	2.32%	1.84%	2.48%	1.44%	0.97%	2.65%	4.57%					
23	. Харитонов Николай Михайлович	979	23	61	66	29	27	30	12	31	19	15	41	21	30	15	55	72	66	57	88	39	55	127					
		11.81%	9.79%	9.93%	18.28%	9.67%	12.22%	16.85%	6.90%	9.97%	8.80%	11.72%	15.13%	13.55%	13.33%	9.55%	14.44%	11.94%	15.21%	15.70%	14.08%	7.56%	14.59%	8.79%					
																													
24	Против всех	224	7	1	1	5	1	2	1	6	0	1	6	3	3	1	9	24	4	12	12	11	14	100					
		2.70%	2.98%	0.16%	0.28%	1.67%	0.45%	1.12%	0.57%	1.93%	0.00%	0.78%	2.21%	1.94%	1.33%	0.64%	2.36%	3.98%	0.92%	3.31%	1.92%	2.13%	3.71%	6.92%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
