Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Десногорская																		
																		
Итоги голосования 																		
																		
		Сумма	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109					
1	"Число избирателей, внесенных в список"	26562	2184	1964	2751	2203	2941	2261	2997	2920	2880	1686	1775					
2	Число полученных избирательных бюллетеней	26800	2213	1986	2795	2226	2943	2269	2993	2983	2901	1700	1791					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14606	1106	952	1617	1235	1599	1215	1674	1824	1441	983	960					
5	"Число избирательных бюллетеней, выданных вне помещения"	230	28	6	31	15	34	20	20	28	22	11	15					
6	Число погашенных избирательных бюллетеней	11964	1079	1028	1147	976	1310	1034	1299	1131	1438	706	816					
7	Число избирательных бюллетеней в переносных ящиках	230	28	6	31	15	34	20	20	28	22	11	15					
8	Число бюллетеней в стационарных ящиках для голосования	14561	1105	952	1614	1235	1599	1214	1674	1796	1441	983	948					
9	Число недействительных избирательных бюллетеней	97	8	12	11	12	12	5	14	8	5	7	3					
10	Число действительных избирательных бюллетеней	14694	1125	946	1634	1238	1621	1229	1680	1816	1458	987	960					
11	Число полученных открепительных  удостоверений	256	23	18	28	24	23	23	24	24	23	23	23					
12	Число выданных открепительных удостоверений	159	17	10	22	11	13	14	13	18	12	14	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	3	1	2	4	7	1	4	3	4	4	3					
14	Число неиспользованных открепительных удостоверений	97	6	8	6	13	10	9	11	6	11	9	8					
15	"Число открепительных удостоверений, выданных в ТИК"	9	1	1	2	0	2	3	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	741	50	35	79	82	102	68	76	98	62	43	46					
		5.01%	4.41%	3.65%	4.80%	6.56%	6.25%	5.51%	4.49%	5.37%	4.24%	4.33%	4.78%					
19	. Малышкин Олег Александрович	287	18	22	29	28	26	20	36	36	28	24	20					
		1.94%	1.59%	2.30%	1.76%	2.24%	1.59%	1.62%	2.13%	1.97%	1.91%	2.41%	2.08%					
20	. Миронов Сергей Михайлович	94	2	8	8	14	11	9	11	11	7	8	5					
		0.64%	0.18%	0.84%	0.49%	1.12%	0.67%	0.73%	0.65%	0.60%	0.48%	0.80%	0.52%					
21	. Путин Владимир Владимирович	10645	865	674	1183	837	1138	897	1207	1314	1128	718	684					
		71.97%	76.35%	70.35%	71.91%	66.96%	69.69%	72.69%	71.25%	72.04%	77.10%	72.23%	71.03%					
22	. Хакамада Ирина Муцуовна	704	31	45	81	75	79	68	78	83	52	59	53					
		4.76%	2.74%	4.70%	4.92%	6.00%	4.84%	5.51%	4.60%	4.55%	3.55%	5.94%	5.50%					
23	. Харитонов Николай Михайлович	1487	104	100	177	126	177	104	189	192	121	90	107					
		10.05%	9.18%	10.44%	10.76%	10.08%	10.84%	8.43%	11.16%	10.53%	8.27%	9.05%	11.11%					
																		
24	Против всех	736	55	62	77	76	88	63	83	82	60	45	45					
		4.98%	4.85%	6.47%	4.68%	6.08%	5.39%	5.11%	4.90%	4.50%	4.10%	4.53%	4.67%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
