7	Число избирательных бюллетеней в переносных ящиках для голосования	3011	9	17	16	37	24	9	18	10	11	18	7	7	14	12	13	39	44	42	24	47	13	43	31	48	28	36	27	10	7	76	29	35	4	13	25	40	34	36	76	49	45	1	39	19	5	32	22	18	194	25	31	16	28	35	25	19	0	15	22	13	27	19	10	3	17	29	25	51	51	27	24	21	31	33	23	25	35	17	7	18	15	20	22	37	23	19	31	14	21	29	0	0	20	44	28	18	28	21	24	26	29	21	14	17	32	17	29	40	21	8	21	15	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	Число бюллетеней в стационарных ящиках для голосования	153149	1305	1708	1761	1776	1669	1666	1595	1268	1625	1916	1896	1640	1646	1620	1776	686	1425	1496	1483	1478	64	1509	1393	1260	1228	1404	1064	1484	1387	51	1412	1504	1069	1346	1230	1426	1279	1211	1440	1333	1424	857	1353	1133	9	1769	1410	848	60	1507	1703	1731	1648	1725	1818	745	230	1127	1614	1178	1695	1301	1573	22	1619	1444	1504	1429	1573	1603	1611	1293	1441	1659	1623	1494	1143	1101	1478	1398	1498	1624	1494	1207	1504	1528	1394	1487	1696	1408	50	3	1647	1089	1370	1384	1351	1538	1427	1356	1558	1675	1527	1522	1480	1425	1563	1301	1272	1260	1686	1633	29	120	549	364	35	44	131	40	155	34	3	91	14	54	3	104									
9	Число недействительных избирательных бюллетеней	1865	9	14	11	17	14	15	14	14	17	16	16	22	23	17	13	8	18	17	28	18	1	21	18	15	14	21	14	31	21	2	24	28	14	21	25	25	23	21	21	9	11	2	16	11	1	28	20	15	4	14	16	20	11	31	19	13	3	13	17	18	28	14	11	0	21	16	25	17	18	26	18	14	22	24	19	13	10	22	19	18	18	18	11	18	19	15	15	10	15	23	0	0	21	12	17	18	24	15	16	7	12	16	21	20	19	16	8	13	24	14	26	25	1	5	10	14	0	0	0	0	0	0	0	0	0	1	0	0									
10	Число действительных избирательных бюллетеней	154295	1305	1711	1766	1796	1679	1660	1599	1264	1619	1918	1887	1625	1637	1615	1776	717	1451	1521	1479	1507	76	1531	1406	1293	1242	1419	1077	1463	1373	125	1417	1511	1059	1338	1230	1441	1290	1226	1495	1373	1458	856	1376	1141	13	1773	1412	851	250	1518	1718	1727	1665	1729	1824	751	227	1129	1619	1173	1694	1306	1572	25	1615	1457	1504	1463	1606	1604	1617	1300	1450	1668	1627	1506	1168	1096	1466	1398	1495	1626	1505	1226	1508	1532	1410	1491	1702	1414	50	3	1646	1121	1381	1384	1355	1544	1435	1375	1575	1680	1520	1519	1493	1426	1584	1328	1269	1254	1681	1623	28	247	539	350	35	44	131	40	155	34	3	91	14	53	3	104									
11	Число полученных открепительных  удостоверений	2822	25	40	40	25	25	25	25	25	25	40	25	30	25	25	45	25	25	25	25	30	0	25	25	25	40	25	25	25	25	0	25	25	25	25	25	25	25	25	25	25	25	35	25	25	0	25	25	25	0	25	30	35	25	35	42	25	0	25	25	25	25	25	35	0	25	25	25	25	25	25	35	25	30	30	25	25	25	25	25	35	25	25	25	25	25	25	25	25	35	25	0	0	35	25	25	25	25	25	25	25	30	25	25	25	30	25	25	30	30	25	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	2068	13	35	30	24	15	20	17	14	15	22	17	30	23	18	36	4	16	22	21	26	0	21	25	13	31	25	17	18	22	0	24	21	16	22	23	20	13	15	10	21	18	32	12	8	0	18	24	17	0	18	25	26	17	29	41	6	0	12	16	25	21	20	28	0	18	17	21	16	17	22	24	11	26	26	14	13	11	11	17	26	15	16	17	20	18	19	23	16	27	18	0	0	26	15	16	9	19	20	23	18	27	19	17	22	27	15	19	25	23	22	20	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям	2408	33	21	12	27	24	38	15	12	21	19	60	26	22	25	32	8	12	23	41	29	10	23	44	36	26	17	19	13	21	15	14	35	17	20	17	9	23	15	18	24	17	40	15	25	4	33	15	17	15	19	32	25	20	21	13	12	53	16	36	13	22	21	20	0	23	9	16	23	18	28	11	24	15	15	13	13	18	20	24	22	11	7	22	20	20	29	8	17	23	18	4	0	17	17	13	13	19	20	13	15	21	29	21	23	26	8	31	13	29	14	7	20	0	0	112	12	2	1	3	6	4	1	0	4	0	3	0	0									
14	Число неиспользованных открепительных удостоверений	754	12	5	10	1	10	5	8	11	10	18	8	0	2	7	9	21	9	3	4	4	0	4	0	12	9	0	8	7	3	0	1	4	9	3	2	5	12	10	15	4	7	3	13	17	0	7	1	8	0	7	5	9	8	6	1	19	0	13	9	0	4	5	7	0	7	8	4	9	8	3	11	14	4	4	11	12	14	14	8	9	10	9	8	5	7	6	2	9	8	7	0	0	9	10	9	16	6	5	2	7	3	6	8	3	3	10	6	5	7	3	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	62	1	0	1	0	2	0	2	1	0	0	0	0	1	1	1	0	1	0	0	2	0	1	0	1	1	1	1	0	0	0	2	1	0	1	0	0	2	0	0	0	0	1	2	0	0	0	4	1	0	0	1	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	2	0	0	2	1	0	0	2	1	0	1	0	1	1	3	2	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																											
19	Жириновский Владимир Вольфович	14502	115	126	165	133	177	142	143	115	152	164	182	134	181	153	150	66	131	124	163	166	1	130	139	158	159	152	142	175	169	9	157	108	137	203	99	141	123	102	121	138	131	103	102	96	1	164	149	78	21	138	123	160	148	153	158	108	32	130	162	143	169	161	197	5	149	151	166	134	151	138	164	96	118	125	146	143	77	101	158	111	146	138	122	126	104	111	111	134	135	124	7	0	159	106	123	115	97	141	123	130	146	125	130	164	132	125	147	130	106	131	164	146	4	28	57	16	3	10	19	5	17	5	0	5	2	8	0	20									
		9.29%	8.75%	7.30%	9.29%	7.34%	10.45%	8.48%	8.87%	8.99%	9.29%	8.48%	9.56%	8.14%	10.90%	9.38%	8.38%	9.10%	8.92%	8.06%	10.82%	10.89%	1.30%	8.38%	9.76%	12.08%	12.66%	10.56%	13.02%	11.71%	12.12%	7.09%	10.90%	7.02%	12.77%	14.94%	7.89%	9.62%	9.37%	8.18%	7.98%	9.99%	8.92%	12.00%	7.33%	8.33%	7.14%	9.11%	10.41%	9.01%	8.27%	9.01%	7.09%	9.16%	8.83%	8.69%	8.57%	14.14%	13.91%	11.38%	9.90%	12.01%	9.81%	12.20%	12.44%	20.00%	9.11%	10.25%	10.86%	9.05%	9.30%	8.47%	10.03%	7.31%	8.02%	7.39%	8.87%	9.41%	6.54%	9.03%	10.64%	7.84%	9.65%	8.39%	8.05%	10.13%	6.81%	7.18%	7.79%	8.93%	7.86%	8.63%	14.00%	0.00%	9.54%	9.36%	8.80%	8.20%	7.03%	9.04%	8.48%	9.41%	9.20%	7.37%	8.44%	10.66%	8.73%	8.67%	9.23%	9.69%	8.20%	10.33%	9.61%	8.86%	13.79%	11.11%	10.38%	4.40%	8.57%	22.73%	14.50%	12.50%	10.97%	14.71%	0.00%	5.49%	14.29%	14.81%	0.00%	19.23%									
20	Зюганов Геннадий Андреевич	21831	166	176	265	232	219	194	207	175	227	264	168	220	215	180	221	102	193	224	184	172	7	209	168	159	126	196	138	201	177	20	208	195	117	175	197	193	184	161	207	205	183	103	230	169	2	258	193	140	33	196	255	265	284	219	257	54	2	168	255	160	254	182	215	1	290	216	209	195	240	245	237	195	210	266	239	242	163	142	223	193	228	282	240	154	241	271	228	216	262	242	4	0	309	167	214	219	204	227	185	221	245	271	207	217	208	241	249	216	193	159	250	240	4	22	50	42	1	3	13	4	20	5	0	7	1	9	0	10									
		13.98%	12.63%	10.20%	14.91%	12.80%	12.94%	11.58%	12.83%	13.69%	13.88%	13.65%	8.83%	13.36%	12.95%	11.03%	12.35%	14.07%	13.14%	14.56%	12.21%	11.28%	9.09%	13.47%	11.80%	12.16%	10.03%	13.61%	12.65%	13.45%	12.70%	15.75%	14.43%	12.67%	10.90%	12.88%	15.70%	13.17%	14.01%	12.91%	13.65%	14.83%	12.46%	12.00%	16.52%	14.67%	14.29%	14.33%	13.48%	16.17%	12.99%	12.79%	14.71%	15.17%	16.95%	12.44%	13.94%	7.07%	0.87%	14.71%	15.59%	13.43%	14.75%	13.79%	13.58%	4.00%	17.73%	14.66%	13.67%	13.18%	14.78%	15.03%	14.50%	14.84%	14.27%	15.72%	14.52%	15.93%	13.84%	12.70%	15.02%	13.63%	15.07%	17.15%	15.83%	12.38%	15.78%	17.52%	16.00%	14.39%	15.26%	16.84%	8.00%	0.00%	18.54%	14.74%	15.31%	15.62%	14.79%	14.56%	12.75%	15.99%	15.44%	15.98%	13.43%	14.10%	13.76%	16.71%	15.64%	16.11%	14.93%	12.54%	14.65%	14.56%	13.79%	8.73%	9.11%	11.54%	2.86%	6.82%	9.92%	10.00%	12.90%	14.71%	0.00%	7.69%	7.14%	16.67%	0.00%	9.62%									
21	Миронов Сергей Михайлович	10012	80	95	99	79	108	91	94	70	111	83	92	89	88	91	114	37	101	109	95	106	5	102	83	76	71	76	65	81	75	7	114	108	60	85	63	106	100	89	107	105	120	47	95	95	1	124	81	58	15	119	122	123	119	114	76	29	2	70	113	74	99	99	99	3	89	80	93	107	116	101	107	84	89	134	114	107	65	74	117	85	82	127	106	99	122	114	112	100	103	118	3	0	92	85	97	83	109	122	94	71	111	115	91	95	97	107	83	87	62	112	110	121	1	13	35	18	6	1	9	2	12	3	0	3	0	3	0	7									
		6.41%	6.09%	5.51%	5.57%	4.36%	6.38%	5.43%	5.83%	5.48%	6.78%	4.29%	4.83%	5.40%	5.30%	5.58%	6.37%	5.10%	6.88%	7.09%	6.30%	6.95%	6.49%	6.57%	5.83%	5.81%	5.65%	5.28%	5.96%	5.42%	5.38%	5.51%	7.91%	7.02%	5.59%	6.25%	5.02%	7.23%	7.62%	7.14%	7.06%	7.60%	8.17%	5.48%	6.82%	8.25%	7.14%	6.89%	5.66%	6.70%	5.91%	7.77%	7.04%	7.04%	7.10%	6.48%	4.12%	3.80%	0.87%	6.13%	6.91%	6.21%	5.75%	7.50%	6.25%	12.00%	5.44%	5.43%	6.08%	7.23%	7.14%	6.20%	6.54%	6.39%	6.05%	7.92%	6.93%	7.04%	5.52%	6.62%	7.88%	6.00%	5.42%	7.73%	6.99%	7.96%	7.99%	7.37%	7.86%	6.66%	5.99%	8.21%	6.00%	0.00%	5.52%	7.50%	6.94%	5.92%	7.90%	7.83%	6.48%	5.14%	6.99%	6.78%	5.91%	6.17%	6.42%	7.42%	5.21%	6.49%	4.80%	8.83%	6.44%	7.34%	3.45%	5.16%	6.38%	4.95%	17.14%	2.27%	6.87%	5.00%	7.74%	8.82%	0.00%	3.30%	0.00%	5.56%	0.00%	6.73%									
22	Прохоров Михаил Дмитриевич	17968	170	348	285	296	198	244	242	199	172	314	222	229	209	250	295	122	145	163	145	146	8	150	108	113	124	131	96	136	154	10	156	223	109	115	234	160	168	122	149	155	140	105	165	122	3	242	131	126	21	230	243	234	212	202	196	46	7	118	163	129	187	141	158	0	165	164	124	145	134	156	168	133	150	193	169	159	109	120	194	146	161	159	173	152	177	151	141	179	205	172	4	0	179	109	159	147	142	163	164	146	193	220	243	155	171	143	157	172	182	175	168	206	0	11	45	23	3	4	7	5	14	2	0	5	1	5	0	10									
		11.51%	12.94%	20.17%	16.04%	16.33%	11.70%	14.57%	15.00%	15.57%	10.51%	16.24%	11.67%	13.90%	12.59%	15.32%	16.49%	16.83%	9.87%	10.60%	9.62%	9.57%	10.39%	9.66%	7.58%	8.64%	9.87%	9.10%	8.80%	9.10%	11.05%	7.87%	10.83%	14.49%	10.16%	8.46%	18.65%	10.91%	12.80%	9.78%	9.83%	11.22%	9.53%	12.24%	11.85%	10.59%	21.43%	13.44%	9.15%	14.55%	8.27%	15.01%	14.01%	13.39%	12.65%	11.48%	10.63%	6.02%	3.04%	10.33%	9.96%	10.83%	10.86%	10.68%	9.98%	0.00%	10.09%	11.13%	8.11%	9.80%	8.25%	9.57%	10.28%	10.12%	10.19%	11.41%	10.27%	10.47%	9.25%	10.73%	13.06%	10.31%	10.64%	9.67%	11.41%	12.22%	11.59%	9.76%	9.89%	11.93%	11.94%	11.97%	8.00%	0.00%	10.74%	9.62%	11.37%	10.49%	10.30%	10.46%	11.30%	10.56%	12.16%	12.97%	15.77%	10.07%	11.31%	9.92%	9.86%	12.83%	14.08%	13.80%	9.84%	12.50%	0.00%	4.37%	8.20%	6.32%	8.57%	9.09%	5.34%	12.50%	9.03%	5.88%	0.00%	5.49%	7.14%	9.26%	0.00%	9.62%									
23	Путин Владимир Владимирович	89982	774	966	952	1056	977	989	913	705	957	1093	1223	953	944	941	996	390	881	901	892	917	55	940	908	787	762	864	636	870	798	79	782	877	636	760	637	841	715	752	911	770	884	498	784	659	6	985	858	449	160	835	975	945	902	1041	1137	514	184	643	926	667	985	723	903	16	922	846	912	882	965	964	941	792	883	950	959	855	754	659	774	863	878	920	864	695	864	885	818	862	997	758	32	3	907	654	788	820	803	891	869	807	880	949	849	888	885	810	948	723	726	677	989	910	19	173	352	251	22	26	83	24	92	19	3	71	10	28	3	57									
		57.62%	58.90%	56.00%	53.57%	58.25%	57.71%	59.04%	56.60%	55.16%	58.50%	56.51%	64.27%	57.86%	56.87%	57.66%	55.67%	53.79%	59.97%	58.58%	59.19%	60.13%	71.43%	60.57%	63.76%	60.17%	60.67%	60.00%	58.30%	58.23%	57.25%	62.20%	54.27%	56.99%	59.27%	55.92%	50.76%	57.37%	54.46%	60.30%	60.09%	55.72%	60.18%	58.04%	56.32%	57.20%	42.86%	54.69%	59.92%	51.85%	62.99%	54.50%	56.23%	54.09%	53.82%	59.15%	61.69%	67.28%	80.00%	56.30%	56.60%	56.00%	57.20%	54.77%	57.04%	64.00%	56.36%	57.43%	59.65%	59.59%	59.42%	59.14%	57.55%	60.27%	59.99%	56.15%	58.26%	56.29%	64.01%	58.94%	52.12%	60.95%	58.03%	55.96%	56.99%	55.87%	56.58%	57.21%	57.40%	57.43%	58.07%	52.75%	64.00%	100.00%	54.41%	57.72%	56.37%	58.49%	58.23%	57.15%	59.89%	58.39%	55.45%	55.96%	55.09%	57.70%	58.53%	56.17%	59.55%	53.91%	56.15%	53.39%	57.94%	55.22%	65.52%	68.65%	64.12%	68.96%	62.86%	59.09%	63.36%	60.00%	59.35%	55.88%	100.00%	78.02%	71.43%	51.85%	100.00%	54.81%									
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
																																																																																																																																											
