Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Нерчинская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613	УИК  614	УИК  615	УИК  616	УИК  617	УИК  618	УИК  619	УИК  620	УИК  621	УИК  622	УИК  623	УИК  624	УИК  625	УИК  626	УИК  627	УИК  628	УИК  629	УИК  630	УИК  631	УИК  632	УИК  633	УИК  634	УИК  635	УИК  636	УИК  637	УИК  638	УИК  639	УИК  640	УИК  641	УИК  642	УИК  643	УИК  644					
1	"Число избирателей, внесенных в список"	19247	251	1152	123	729	587	531	579	93	238	203	188	195	638	155	383	171	367	303	987	162	315	123	363	262	531	185	501	973	827	1093	607	666	698	730	1289	532	861	656					
2	Число полученных избирательных бюллетеней	18864	243	1140	125	740	573	546	578	94	235	202	191	193	626	154	383	172	368	307	950	164	305	119	366	259	536	184	493	970	803	998	610	659	682	710	1190	516	840	640					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9790	146	526	72	328	291	279	298	57	107	95	90	118	359	82	216	95	166	144	544	89	181	74	148	173	255	81	249	511	406	517	271	422	381	354	629	280	419	337					
5	"Число избирательных бюллетеней, выданных вне помещения"	1033	14	24	11	50	53	24	20	7	7	0	14	4	20	10	1	10	27	14	53	13	14	7	68	10	70	36	44	37	43	8	36	39	31	35	106	12	36	25					
6	Число погашенных избирательных бюллетеней	8041	83	590	42	362	229	243	260	30	121	107	87	71	247	62	166	67	175	149	353	62	110	38	150	76	211	67	200	422	354	473	303	198	270	321	455	224	385	278					
7	Число избирательных бюллетеней в переносных ящиках	1033	14	24	11	50	53	24	20	7	7	0	14	4	20	10	1	10	27	14	53	13	14	7	68	10	70	36	44	37	43	8	36	39	31	35	106	12	36	25					
8	Число бюллетеней в стационарных ящиках для голосования	9790	146	526	72	328	291	279	298	57	107	95	90	118	359	82	216	95	166	144	544	89	181	74	148	173	255	81	249	511	406	517	271	422	381	354	629	280	419	337					
9	Число недействительных избирательных бюллетеней	101	2	7	0	6	4	1	7	0	2	0	3	2	5	2	0	1	3	3	5	0	1	2	1	2	4	0	4	2	3	4	3	2	1	2	5	2	5	5					
10	Число действительных избирательных бюллетеней	10722	158	543	83	372	340	302	311	64	112	95	101	120	374	90	217	104	190	155	592	102	194	79	215	181	321	117	289	546	446	521	304	459	411	387	730	290	450	357					
11	Число полученных открепительных  удостоверений	296	5	15	5	10	5	5	10	5	5	5	5	5	7	5	5	5	5	5	15	5	5	5	5	5	7	6	7	8	10	23	10	10	10	10	13	10	10	10					
12	Число выданных открепительных удостоверений	108	0	0	1	3	1	4	2	0	0	0	2	1	6	1	1	0	4	1	2	0	0	0	1	0	4	0	6	1	4	17	5	7	6	2	11	6	5	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	90	1	0	0	0	2	4	2	0	0	0	1	4	3	1	0	2	1	2	8	2	4	0	0	1	0	0	1	4	4	6	1	4	8	2	8	1	2	11					
14	Число неиспользованных открепительных удостоверений	188	5	15	4	7	4	1	8	5	5	5	3	4	1	4	4	5	1	4	13	5	5	5	4	5	3	6	1	7	6	6	5	3	4	8	2	4	5	6					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	264	0	11	1	2	11	2	7	0	5	1	7	0	9	3	1	2	5	3	12	3	6	1	5	3	7	4	11	12	17	19	6	14	8	11	32	12	10	1					
		2.44%	0.00%	2.00%	1.20%	0.53%	3.20%	0.66%	2.20%	0.00%	4.39%	1.05%	6.73%	0.00%	2.37%	3.26%	0.46%	1.90%	2.59%	1.90%	2.01%	2.94%	3.08%	1.23%	2.31%	1.64%	2.15%	3.42%	3.75%	2.19%	3.79%	3.62%	1.95%	3.04%	1.94%	2.83%	4.35%	4.11%	2.20%	0.28%					
19	. Малышкин Олег Александрович	300	14	12	3	5	10	7	3	2	4	4	11	4	10	1	8	0	9	14	20	2	3	4	5	1	6	0	6	22	10	14	11	10	6	8	16	9	15	11					
		2.77%	8.75%	2.18%	3.61%	1.32%	2.91%	2.31%	0.94%	3.12%	3.51%	4.21%	10.58%	3.28%	2.64%	1.09%	3.69%	0.00%	4.66%	8.86%	3.35%	1.96%	1.54%	4.94%	2.31%	0.55%	1.85%	0.00%	2.05%	4.01%	2.23%	2.67%	3.58%	2.17%	1.46%	2.06%	2.18%	3.08%	3.30%	3.04%					
20	. Миронов Сергей Михайлович	126	5	6	0	8	5	3	3	1	0	0	2	0	1	0	3	2	3	2	6	0	6	2	4	1	1	1	3	6	6	5	3	7	4	5	9	3	3	7					
		1.16%	3.12%	1.09%	0.00%	2.12%	1.45%	0.99%	0.94%	1.56%	0.00%	0.00%	1.92%	0.00%	0.26%	0.00%	1.38%	1.90%	1.55%	1.27%	1.01%	0.00%	3.08%	2.47%	1.85%	0.55%	0.31%	0.85%	1.02%	1.09%	1.34%	0.95%	0.98%	1.52%	0.97%	1.29%	1.22%	1.03%	0.66%	1.93%					
21	. Путин Владимир Владимирович	7578	84	377	41	297	248	199	186	39	74	77	51	81	225	78	184	72	130	102	419	85	142	44	179	109	240	92	221	407	312	412	198	291	301	275	544	198	312	252					
		70.02%	52.50%	68.55%	49.40%	78.57%	72.09%	65.68%	58.49%	60.94%	64.91%	81.05%	49.04%	66.39%	59.37%	84.78%	84.79%	68.57%	67.36%	64.56%	70.18%	83.33%	72.82%	54.32%	82.87%	59.56%	73.85%	78.63%	75.43%	74.27%	69.49%	78.48%	64.50%	63.12%	73.06%	70.69%	74.01%	67.81%	68.57%	69.61%					
22	. Хакамада Ирина Муцуовна	229	3	6	0	2	4	2	6	1	5	2	3	0	11	0	3	2	2	1	8	2	4	0	3	3	6	2	4	10	9	23	6	22	15	15	14	5	16	9					
		2.12%	1.88%	1.09%	0.00%	0.53%	1.16%	0.66%	1.89%	1.56%	4.39%	2.11%	2.88%	0.00%	2.90%	0.00%	1.38%	1.90%	1.04%	0.63%	1.34%	1.96%	2.05%	0.00%	1.39%	1.64%	1.85%	1.71%	1.37%	1.82%	2.00%	4.38%	1.95%	4.77%	3.64%	3.86%	1.90%	1.71%	3.52%	2.49%					
23	. Харитонов Николай Михайлович	2101	48	126	35	56	55	84	102	20	24	9	26	34	117	8	16	23	40	32	117	8	32	28	18	62	59	16	41	85	87	41	78	111	72	67	107	61	89	67					
		19.41%	30.00%	22.91%	42.17%	14.81%	15.99%	27.72%	32.08%	31.25%	21.05%	9.47%	25.00%	27.87%	30.87%	8.70%	7.37%	21.90%	20.73%	20.25%	19.60%	7.84%	16.41%	34.57%	8.33%	33.88%	18.15%	13.68%	13.99%	15.51%	19.38%	7.81%	25.41%	24.08%	17.48%	17.22%	14.56%	20.89%	19.56%	18.51%					
																																													
24	Против всех	124	4	5	3	2	7	5	4	1	0	2	1	1	1	0	2	3	1	1	10	2	1	0	1	2	2	2	3	4	5	7	2	4	5	6	8	2	5	10					
		1.15%	2.50%	0.91%	3.61%	0.53%	2.03%	1.65%	1.26%	1.56%	0.00%	2.11%	0.96%	0.82%	0.26%	0.00%	0.92%	2.86%	0.52%	0.63%	1.68%	1.96%	0.51%	0.00%	0.46%	1.09%	0.62%	1.71%	1.02%	0.73%	1.11%	1.33%	0.65%	0.87%	1.21%	1.54%	1.09%	0.68%	1.10%	2.76%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
