Выборы Президента Российской Федерации																																																																									
																																																																									
"Наименование Избирательной комиссии:    Липецк, Советская"																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193					
1	"Число избирателей, внесенных в список"	136439	1515	1626	1473	1133	1842	2161	2553	2253	2351	2259	1775	2069	2337	1959	1952	2124	2412	2218	2166	1602	2368	2369	1884	1812	1743	1838	1796	2570	2393	2453	2031	2132	2022	1926	2010	2584	277	1919	2086	1445	2013	2190	1635	2505	2675	2315	1492	2412	1986	1944	2503	2486	2532	1861	1868	1454	2020	2411	2040	2641	2339	2175	2363	2294	2296	2551					
2	Число полученных избирательных бюллетеней	135818	1500	1600	1400	1100	1800	2100	2500	2200	2200	2200	1700	2000	2200	1900	1900	1900	2200	2200	2200	1500	2400	2400	1900	1700	1700	1800	1900	2700	2400	2400	2000	2200	2000	1900	2000	2500	418	1900	2100	1400	2000	2200	1600	2500	2600	2300	1500	2300	2000	1900	2500	2600	2500	2000	1900	2300	2000	2400	2000	2600	2400	2300	2400	2200	2300	2500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	84318	936	988	951	645	1137	1403	1685	1368	1163	1414	1168	1349	1529	1295	1217	1224	1666	1300	1356	1013	1457	1535	1123	1116	1075	1118	1102	1533	1293	1486	1321	1267	1368	1262	1315	1633	43	1197	1298	925	1252	1239	1027	1746	1653	1437	826	1461	1196	1175	1607	1567	1653	1240	1218	1411	1161	1510	1243	1645	1440	1336	1340	1228	1264	1169					
5	"Число избирательных бюллетеней, выданных вне помещения"	3656	36	55	51	57	47	49	35	37	116	65	58	58	53	37	43	182	19	39	45	32	34	38	35	43	47	55	38	69	26	41	45	49	44	40	23	58	169	61	53	38	30	43	13	44	47	31	40	54	47	40	84	78	29	34	38	43	47	18	36	32	37	47	99	128	41	356					
6	Число погашенных избирательных бюллетеней	47844	528	557	398	398	616	648	780	795	921	721	474	593	618	568	640	494	515	861	799	455	909	827	742	541	578	627	760	1098	1081	873	634	884	588	598	662	809	206	642	749	437	718	918	560	710	900	832	634	785	757	685	809	955	818	726	644	846	792	872	721	923	923	917	961	844	995	975					
7	Число избирательных бюллетеней в переносных ящиках	3655	36	55	51	57	47	49	35	37	116	65	58	58	53	37	43	182	19	39	45	32	34	38	35	43	47	55	38	69	26	41	45	49	44	40	23	58	168	61	53	38	30	43	13	44	47	31	40	54	47	40	84	78	29	34	38	43	47	18	36	32	37	47	99	128	41	356					
8	Число бюллетеней в стационарных ящиках для голосования	84277	936	988	951	645	1136	1403	1685	1368	1163	1413	1168	1349	1529	1294	1217	1224	1651	1300	1356	1013	1457	1533	1123	1116	1075	1117	1102	1533	1293	1485	1321	1266	1368	1261	1315	1633	43	1197	1298	924	1252	1238	1027	1746	1653	1436	826	1460	1194	1175	1607	1567	1649	1240	1218	1411	1161	1508	1241	1645	1440	1335	1338	1228	1264	1169					
9	Число недействительных избирательных бюллетеней	692	8	12	8	3	8	11	10	1	11	10	5	13	4	6	8	7	6	20	21	9	7	5	6	7	9	10	9	20	10	8	16	9	9	5	9	4	0	7	8	9	13	14	8	10	11	10	6	9	14	14	20	12	9	19	16	15	4	11	14	12	16	14	14	26	10	23					
10	Число действительных избирательных бюллетеней	87240	964	1031	994	699	1175	1441	1710	1404	1268	1468	1221	1394	1578	1325	1252	1399	1664	1319	1380	1036	1484	1566	1152	1152	1113	1162	1131	1582	1309	1518	1350	1306	1403	1296	1329	1687	211	1251	1343	953	1269	1267	1032	1780	1689	1457	860	1505	1227	1201	1671	1633	1669	1255	1240	1439	1204	1515	1263	1665	1461	1368	1423	1330	1295	1502					
