Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Альметьевская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865					
1	"Число избирателей, внесенных в список"	27390	1853	1205	843	1381	574	438	516	700	413	643	311	502	211	1021	802	613	501	726	644	440	197	614	242	192	369	96	433	281	427	480	1573	1199	207	254	239	291	122	452	432	401	612	849	307	121	709	716	295	115	409	419					
2	Число полученных избирательных бюллетеней	27450	1809	1210	854	1393	569	438	517	688	428	639	313	515	206	1047	808	620	501	778	689	444	193	596	244	171	366	96	439	276	419	477	1588	1202	217	257	240	290	114	456	424	390	585	844	314	126	705	723	295	116	402	419					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24616	1431	1116	814	1074	538	396	469	683	409	551	258	479	185	924	727	558	495	697	585	377	193	529	227	165	348	86	359	268	411	441	1328	1063	187	237	216	279	109	412	401	363	559	824	303	117	602	674	272	114	396	367					
5	"Число избирательных бюллетеней, выданных вне помещения"	1364	58	61	21	100	20	29	33	0	4	50	49	23	13	72	32	43	6	29	59	48	0	35	15	6	18	10	74	0	4	36	17	37	18	17	17	11	5	30	9	27	25	0	4	4	78	42	23	0	0	52					
6	Число погашенных избирательных бюллетеней	1470	320	33	19	219	11	13	15	5	15	38	6	13	8	51	49	19	0	52	45	19	0	32	2	0	0	0	6	8	4	0	243	102	12	3	7	0	0	14	14	0	1	20	7	5	25	7	0	2	6	0					
7	Число избирательных бюллетеней в переносных ящиках	1364	58	61	21	100	20	29	33	0	4	50	49	23	13	72	32	43	6	29	59	48	0	35	15	6	18	10	74	0	4	36	17	37	18	17	17	11	5	30	9	27	25	0	4	4	78	42	23	0	0	52					
8	Число бюллетеней в стационарных ящиках для голосования	24616	1431	1116	814	1074	538	396	469	683	409	551	258	479	185	924	727	558	495	697	585	377	193	529	227	165	348	86	359	268	411	441	1328	1063	187	237	216	279	109	412	401	363	559	824	303	117	602	674	272	114	396	367					
9	Число недействительных избирательных бюллетеней	200	30	0	0	27	7	3	0	0	1	4	0	0	0	0	7	0	0	9	15	3	0	22	7	0	0	7	4	0	0	0	25	9	0	0	1	1	0	2	0	0	2	2	0	0	7	0	0	0	3	2					
10	Число действительных избирательных бюллетеней	25780	1459	1177	835	1147	551	422	502	683	412	597	307	502	198	996	752	601	501	717	629	422	193	542	235	171	366	89	429	268	415	477	1320	1091	205	254	232	289	114	440	410	390	582	822	307	121	673	716	295	114	393	417					
