Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Черемисиновская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173					
1	"Число избирателей, внесенных в список"	9327	1587	1755	475	293	259	271	388	361	305	193	305	318	191	230	367	132	435	203	376	145	230	141	173	194					
2	Число полученных избирательных бюллетеней	8765	1450	1590	430	285	250	250	360	350	280	200	290	300	193	220	340	138	410	190	350	151	220	147	181	190					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5338	944	994	224	192	159	179	191	202	167	152	226	186	104	89	228	79	185	128	199	71	145	84	108	102					
5	"Число избирательных бюллетеней, выданных вне помещения"	2180	147	137	186	86	78	69	123	120	111	35	60	102	72	87	82	40	148	56	144	62	63	52	49	71					
6	Число погашенных избирательных бюллетеней	1247	359	459	20	7	13	2	46	28	2	13	4	12	17	44	30	19	77	6	7	18	12	11	24	17					
7	Число избирательных бюллетеней в переносных ящиках	2180	147	137	186	86	78	69	123	120	111	35	60	102	72	87	82	40	148	56	144	62	63	52	49	71					
8	Число бюллетеней в стационарных ящиках для голосования	5337	943	994	224	192	159	179	191	202	167	152	226	186	104	89	228	79	185	128	199	71	145	84	108	102					
9	Число недействительных избирательных бюллетеней	80	11	10	6	3	2	3	2	5	0	3	0	1	1	4	4	3	8	7	3	1	1	0	1	1					
10	Число действительных избирательных бюллетеней	7437	1079	1121	404	275	235	245	312	317	278	184	286	287	175	172	306	116	325	177	340	132	207	136	156	172					
11	Число полученных открепительных  удостоверений	124	20	23	6	4	3	3	5	5	4	2	4	6	2	3	5	2	6	2	5	2	3	2	2	5					
12	Число выданных открепительных удостоверений	47	16	13	0	1	0	1	2	2	0	0	0	4	0	0	2	0	0	0	0	0	2	0	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	13	4	1	3	1	2	4	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	2					
14	Число неиспользованных открепительных удостоверений	77	4	10	6	3	3	2	3	3	4	2	4	2	2	3	3	2	6	2	5	2	1	2	2	1					
15	"Число открепительных удостоверений, выданных в ТИК"	5	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	142	37	32	6	3	2	5	1	5	2	11	6	2	2	1	8	1	6	6	1	1	1	1	2	0					
		1.89%	3.39%	2.83%	1.46%	1.08%	0.84%	2.02%	0.32%	1.55%	0.72%	5.88%	2.10%	0.69%	1.14%	0.57%	2.58%	0.84%	1.80%	3.26%	0.29%	0.75%	0.48%	0.74%	1.27%	0.00%					
19	. Малышкин Олег Александрович	302	62	45	17	6	5	16	5	9	12	4	5	9	4	5	7	5	19	22	17	3	4	11	8	2					
		4.02%	5.69%	3.98%	4.15%	2.16%	2.11%	6.45%	1.59%	2.80%	4.32%	2.14%	1.75%	3.12%	2.27%	2.84%	2.26%	4.20%	5.71%	11.96%	4.96%	2.26%	1.92%	8.09%	5.10%	1.16%					
20	. Миронов Сергей Михайлович	71	16	11	13	0	2	2	1	1	0	2	3	2	2	1	6	2	3	1	1	0	0	0	1	1					
		0.94%	1.47%	0.97%	3.17%	0.00%	0.84%	0.81%	0.32%	0.31%	0.00%	1.07%	1.05%	0.69%	1.14%	0.57%	1.94%	1.68%	0.90%	0.54%	0.29%	0.00%	0.00%	0.00%	0.64%	0.58%					
21	. Путин Владимир Владимирович	4553	585	635	261	219	166	160	214	162	143	60	219	191	134	138	208	73	190	128	165	86	135	80	98	103					
		60.57%	53.67%	56.15%	63.66%	78.78%	70.04%	64.52%	68.15%	50.31%	51.44%	32.09%	76.57%	66.32%	76.14%	78.41%	67.10%	61.34%	57.06%	69.57%	48.10%	64.66%	64.90%	58.82%	62.42%	59.54%					
22	. Хакамада Ирина Муцуовна	106	21	15	2	4	0	2	7	4	6	2	3	4	4	1	6	6	8	0	3	1	2	0	3	2					
		1.41%	1.93%	1.33%	0.49%	1.44%	0.00%	0.81%	2.23%	1.24%	2.16%	1.07%	1.05%	1.39%	2.27%	0.57%	1.94%	5.04%	2.40%	0.00%	0.87%	0.75%	0.96%	0.00%	1.91%	1.16%					
23	. Харитонов Николай Михайлович	2094	315	334	99	37	59	57	83	128	107	103	41	79	29	24	63	29	90	18	149	40	61	44	44	61					
		27.86%	28.90%	29.53%	24.15%	13.31%	24.89%	22.98%	26.43%	39.75%	38.49%	55.08%	14.34%	27.43%	16.48%	13.64%	20.32%	24.37%	27.03%	9.78%	43.44%	30.08%	29.33%	32.35%	28.03%	35.26%					
																															
24	Против всех	169	43	49	6	6	1	3	1	8	8	2	9	0	0	2	8	0	9	2	4	1	4	0	0	3					
		2.25%	3.94%	4.33%	1.46%	2.16%	0.42%	1.21%	0.32%	2.48%	2.88%	1.07%	3.15%	0.00%	0.00%	1.14%	2.58%	0.00%	2.70%	1.09%	1.17%	0.75%	1.92%	0.00%	0.00%	1.73%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
