Выборы Президента Российской Федерации												
												
Наименование Избирательной комиссии:    Агидельская городская												
												
Итоги голосования 												
												
		Сумма	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418					
1	"Число избирателей, внесенных в список"	12244	1844	2893	2570	2363	2574					
2	Число полученных избирательных бюллетеней	12500	1910	2865	2610	2455	2660					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8479	1299	2052	1784	1686	1658					
5	"Число избирательных бюллетеней, выданных вне помещения"	111	19	27	26	14	25					
6	Число погашенных избирательных бюллетеней	3910	592	786	800	755	977					
7	Число избирательных бюллетеней в переносных ящиках	111	19	27	26	14	25					
8	Число бюллетеней в стационарных ящиках для голосования	8479	1299	2052	1784	1686	1658					
9	Число недействительных избирательных бюллетеней	12	5	4	0	3	0					
10	Число действительных избирательных бюллетеней	8578	1313	2075	1810	1697	1683					
11	Число полученных открепительных  удостоверений	845	175	175	175	160	160					
12	Число выданных открепительных удостоверений	795	169	175	137	158	156					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	98	8	31	17	24	18					
14	Число неиспользованных открепительных удостоверений	50	6	0	38	2	4					
15	"Число открепительных удостоверений, выданных в ТИК"	96	17	22	24	14	19					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"												
18	. Глазьев Сергей Юрьевич	44	3	7	8	11	15					
		0.51%	0.23%	0.34%	0.44%	0.65%	0.89%					
19	. Малышкин Олег Александрович	22	2	6	3	6	5					
		0.26%	0.15%	0.29%	0.17%	0.35%	0.30%					
20	. Миронов Сергей Михайлович	14	0	2	4	5	3					
		0.16%	0.00%	0.10%	0.22%	0.29%	0.18%					
21	. Путин Владимир Владимирович	8183	1280	1975	1720	1610	1598					
		95.26%	97.12%	95.00%	95.03%	94.71%	94.95%					
22	. Хакамада Ирина Муцуовна	46	7	9	16	6	8					
		0.54%	0.53%	0.43%	0.88%	0.35%	0.48%					
23	. Харитонов Николай Михайлович	238	14	74	51	51	48					
		2.77%	1.06%	3.56%	2.82%	3.00%	2.85%					
												
24	Против всех	31	7	2	8	8	6					
		0.36%	0.53%	0.10%	0.44%	0.47%	0.36%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
