Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Агаповская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564					
1	"Число избирателей, внесенных в список"	25681	1724	1775	1281	407	305	1940	565	372	195	152	206	231	618	754	184	830	354	194	192	350	155	116	1366	296	1028	515	260	378	1753	418	407	263	1712	255	720	210	198	135	153	210	157	130	639	175	972	431					
2	Число полученных избирательных бюллетеней	24831	1723	1730	1248	404	288	1793	528	347	189	195	197	206	557	705	179	746	432	177	189	316	175	118	1281	277	1003	500	240	363	1777	416	382	257	1653	244	709	192	192	140	160	202	177	137	608	183	903	393					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20217	1350	1382	1039	342	268	1295	349	273	172	138	178	198	422	511	172	589	327	157	148	287	125	92	1057	207	887	446	226	317	1437	284	349	196	1313	217	596	179	148	115	135	190	157	98	477	151	833	388					
5	"Число избирательных бюллетеней, выданных вне помещения"	919	81	87	48	11	0	19	51	17	5	0	0	0	23	27	0	31	27	0	0	15	8	0	23	18	56	21	14	30	66	28	0	25	61	8	25	0	25	0	0	8	0	0	37	10	14	0					
6	Число погашенных избирательных бюллетеней	3695	292	261	161	51	20	479	128	57	12	57	19	8	112	167	7	126	78	20	41	14	42	26	201	52	60	33	0	16	274	104	33	36	279	19	88	13	19	25	25	4	20	39	94	22	56	5					
7	Число избирательных бюллетеней в переносных ящиках	919	81	87	48	11	0	19	51	17	5	0	0	0	23	27	0	31	27	0	0	15	8	0	23	18	56	21	14	30	66	28	0	25	61	8	25	0	25	0	0	8	0	0	37	10	14	0					
8	Число бюллетеней в стационарных ящиках для голосования	20190	1347	1380	1039	342	268	1295	349	273	172	138	178	198	422	511	172	589	327	157	148	287	125	92	1057	207	887	425	226	317	1437	283	349	196	1313	217	596	179	148	115	135	190	157	98	477	151	833	388					
9	Число недействительных избирательных бюллетеней	241	13	22	0	4	8	26	11	1	3	3	2	0	7	5	4	9	1	1	2	7	2	1	16	3	6	11	6	4	10	6	0	0	10	0	10	3	1	3	1	0	0	0	5	1	6	7					
10	Число действительных избирательных бюллетеней	20868	1415	1445	1087	349	260	1288	389	289	174	135	176	198	438	533	168	611	353	156	146	295	131	91	1064	222	937	435	234	343	1493	305	349	221	1364	225	611	176	172	112	134	198	157	98	509	160	841	381					
11	Число полученных открепительных  удостоверений	262	17	15	10	4	4	10	4	5	2	2	2	4	4	10	2	10	5	2	2	4	2	2	13	5	10	5	2	5	10	5	5	5	19	2	10	2	2	2	2	4	2	2	12	2	10	4					
12	Число выданных открепительных удостоверений	134	13	13	2	0	0	10	1	1	2	0	0	2	3	5	0	6	1	1	0	0	1	0	11	0	9	4	0	0	10	1	0	0	19	0	3	1	0	0	0	0	0	0	12	2	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	163	20	3	4	1	4	11	0	0	2	0	0	0	14	6	0	5	5	3	3	0	1	0	6	3	6	3	2	4	10	10	2	2	5	1	1	2	1	0	1	1	0	0	4	0	17	0					
14	Число неиспользованных открепительных удостоверений	128	4	2	8	4	4	0	3	4	0	2	2	2	1	5	2	4	4	1	2	4	1	2	2	5	1	1	2	5	0	4	5	5	0	2	7	1	2	2	2	4	2	2	0	0	9	4					
15	"Число открепительных удостоверений, выданных в ТИК"	38	3	0	1	0	5	3	0	0	2	0	0	0	2	3	0	2	0	0	0	0	1	2	3	0	1	0	0	0	1	0	0	0	4	1	0	1	1	0	0	0	0	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	430	42	45	32	7	1	34	8	2	0	4	1	2	9	12	1	12	4	4	0	3	1	1	15	3	19	4	4	2	39	4	5	5	29	7	11	1	3	0	1	8	5	0	11	5	22	2					
		2.04%	2.94%	3.07%	2.94%	1.98%	0.37%	2.59%	2.00%	0.69%	0.00%	2.90%	0.56%	1.01%	2.02%	2.23%	0.58%	1.94%	1.13%	2.55%	0.00%	0.99%	0.75%	1.09%	1.39%	1.33%	2.01%	0.90%	1.67%	0.58%	2.59%	1.29%	1.43%	2.26%	2.11%	3.11%	1.77%	0.56%	1.73%	0.00%	0.74%	4.04%	3.18%	0.00%	2.14%	3.11%	2.60%	0.52%					
19	. Малышкин Олег Александрович	544	35	32	20	4	5	32	10	6	2	2	8	4	14	10	11	17	17	6	5	8	4	2	29	5	34	6	11	9	37	3	7	3	46	7	9	4	4	2	3	11	1	0	28	4	12	15					
		2.58%	2.45%	2.18%	1.84%	1.13%	1.87%	2.44%	2.50%	2.07%	1.13%	1.45%	4.49%	2.02%	3.15%	1.86%	6.40%	2.74%	4.80%	3.82%	3.38%	2.65%	3.01%	2.17%	2.69%	2.22%	3.61%	1.35%	4.58%	2.59%	2.46%	0.96%	2.01%	1.36%	3.35%	3.11%	1.45%	2.23%	2.31%	1.74%	2.22%	5.56%	0.64%	0.00%	5.45%	2.48%	1.42%	3.87%					
20	. Миронов Сергей Михайлович	72	4	4	2	2	1	3	4	2	2	2	1	0	0	3	2	0	2	0	1	0	0	0	6	0	5	2	0	1	3	1	0	1	3	3	0	3	0	0	0	0	0	0	2	2	3	2					
		0.34%	0.28%	0.27%	0.18%	0.57%	0.37%	0.23%	1.00%	0.69%	1.13%	1.45%	0.56%	0.00%	0.00%	0.56%	1.16%	0.00%	0.56%	0.00%	0.68%	0.00%	0.00%	0.00%	0.56%	0.00%	0.53%	0.45%	0.00%	0.29%	0.20%	0.32%	0.00%	0.45%	0.22%	1.33%	0.00%	1.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	1.24%	0.35%	0.52%					
