Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Кемская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238					
1	"Число избирателей, внесенных в список"	16923	1972	399	1862	1986	1481	1092	295	1417	375	262	889	2068	1141	398	498	77	118	593					
2	Число полученных избирательных бюллетеней	15375	1800	370	1700	1800	1350	1000	250	1250	350	260	800	1900	1050	350	450	80	115	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8410	1068	202	1100	1141	758	425	101	592	130	152	425	824	597	255	227	56	56	301					
5	"Число избирательных бюллетеней, выданных вне помещения"	512	39	9	25	28	19	14	30	47	32	15	65	57	44	14	28	2	13	31					
6	Число погашенных избирательных бюллетеней	6453	693	159	575	631	573	561	119	611	188	93	310	1019	409	81	195	22	46	168					
7	Число избирательных бюллетеней в переносных ящиках	512	39	9	25	28	19	14	30	47	32	15	65	57	44	14	28	2	13	31					
8	Число бюллетеней в стационарных ящиках для голосования	8407	1068	202	1099	1141	757	425	101	592	130	152	425	824	597	255	227	56	56	300					
9	Число недействительных избирательных бюллетеней	73	6	3	5	9	5	4	1	5	3	0	3	9	7	3	3	1	3	3					
10	Число действительных избирательных бюллетеней	8846	1101	208	1119	1160	771	435	130	634	159	167	487	872	634	266	252	57	66	328					
11	Число полученных открепительных  удостоверений	320	30	10	30	30	20	20	10	20	10	10	20	20	20	10	20	10	10	20					
12	Число выданных открепительных удостоверений	89	16	5	11	9	4	2	3	5	1	1	3	9	8	3	7	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	49	6	1	3	1	5	1	0	7	3	1	2	3	2	4	4	0	2	4					
14	Число неиспользованных открепительных удостоверений	231	14	5	19	21	16	18	7	15	9	9	17	11	12	7	13	10	10	18					
15	"Число открепительных удостоверений, выданных в ТИК"	19	4	0	6	3	1	0	0	2	0	1	1	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	181	28	3	35	25	12	7	4	6	2	1	1	19	19	6	5	1	1	6					
		2.03%	2.53%	1.42%	3.11%	2.14%	1.55%	1.59%	3.05%	0.94%	1.23%	0.60%	0.20%	2.16%	2.96%	2.23%	1.96%	1.72%	1.45%	1.81%					
19	. Малышкин Олег Александрович	194	19	7	22	32	11	10	4	18	2	4	11	14	21	5	5	1	3	5					
		2.18%	1.72%	3.32%	1.96%	2.74%	1.42%	2.28%	3.05%	2.82%	1.23%	2.40%	2.24%	1.59%	3.28%	1.86%	1.96%	1.72%	4.35%	1.51%					
20	. Миронов Сергей Михайлович	68	7	2	12	11	3	1	0	5	1	1	1	7	9	1	1	0	2	4					
		0.76%	0.63%	0.95%	1.07%	0.94%	0.39%	0.23%	0.00%	0.78%	0.62%	0.60%	0.20%	0.79%	1.40%	0.37%	0.39%	0.00%	2.90%	1.21%					
21	. Путин Владимир Владимирович	6879	830	153	795	842	602	365	111	504	135	142	408	708	475	230	218	48	42	271					
		77.13%	74.98%	72.51%	70.73%	72.03%	77.58%	83.14%	84.73%	78.87%	83.33%	85.03%	83.27%	80.36%	74.10%	85.50%	85.49%	82.76%	60.87%	81.87%					
22	. Хакамада Ирина Муцуовна	321	52	6	64	55	23	18	1	27	10	0	10	26	11	1	5	4	0	8					
		3.60%	4.70%	2.84%	5.69%	4.70%	2.96%	4.10%	0.76%	4.23%	6.17%	0.00%	2.04%	2.95%	1.72%	0.37%	1.96%	6.90%	0.00%	2.42%					
23	. Харитонов Николай Михайлович	966	136	32	147	151	99	24	7	60	7	18	53	73	85	20	17	3	15	19					
		10.83%	12.29%	15.17%	13.08%	12.92%	12.76%	5.47%	5.34%	9.39%	4.32%	10.78%	10.82%	8.29%	13.26%	7.43%	6.67%	5.17%	21.74%	5.74%					
																									
24	Против всех	237	29	5	44	44	21	10	3	14	2	1	3	25	14	3	1	0	3	15					
		2.66%	2.62%	2.37%	3.91%	3.76%	2.71%	2.28%	2.29%	2.19%	1.23%	0.60%	0.61%	2.84%	2.18%	1.12%	0.39%	0.00%	4.35%	4.53%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
