Выборы Президента Российской Федерации												
												
Наименование Избирательной комиссии:    Заозерская 												
												
Итоги голосования 												
												
		Сумма	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184					
1	"Число избирателей, внесенных в список"	10020	1769	2397	2167	1928	1759					
2	Число полученных избирательных бюллетеней	9300	1700	2100	1900	1900	1700					
3	"Число избирательных бюллетеней, выданных  досрочно"	30	0	10	20	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5999	1077	1527	1296	1074	1025					
5	"Число избирательных бюллетеней, выданных вне помещения"	97	4	24	56	9	4					
6	Число погашенных избирательных бюллетеней	3174	619	539	528	817	671					
7	Число избирательных бюллетеней в переносных ящиках	127	4	34	76	9	4					
8	Число бюллетеней в стационарных ящиках для голосования	5996	1077	1527	1295	1074	1023					
9	Число недействительных избирательных бюллетеней	11	2	1	4	3	1					
10	Число действительных избирательных бюллетеней	6112	1079	1560	1367	1080	1026					
11	Число полученных открепительных  удостоверений	500	100	100	100	100	100					
12	Число выданных открепительных удостоверений	73	16	15	18	14	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	106	12	69	7	10	8					
14	Число неиспользованных открепительных удостоверений	427	84	85	82	86	90					
15	"Число открепительных удостоверений, выданных в ТИК"	36	2	12	8	7	7					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"												
18	. Глазьев Сергей Юрьевич	143	26	28	28	27	34					
		2.34%	2.41%	1.79%	2.04%	2.49%	3.31%					
19	. Малышкин Олег Александрович	172	37	43	36	28	28					
		2.81%	3.42%	2.75%	2.63%	2.59%	2.73%					
20	. Миронов Сергей Михайлович	38	6	13	8	6	5					
		0.62%	0.56%	0.83%	0.58%	0.55%	0.49%					
21	. Путин Владимир Владимирович	5186	882	1367	1169	913	855					
		84.70%	81.59%	87.57%	85.27%	84.30%	83.25%					
22	. Хакамада Ирина Муцуовна	159	34	24	37	34	30					
		2.60%	3.15%	1.54%	2.70%	3.14%	2.92%					
23	. Харитонов Николай Михайлович	181	38	37	45	24	37					
		2.96%	3.52%	2.37%	3.28%	2.22%	3.60%					
												
24	Против всех	233	56	48	44	48	37					
		3.81%	5.18%	3.07%	3.21%	4.43%	3.60%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
