Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Луховицкая																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259					
1	"Число избирателей, внесенных в список"	50753	1199	304	1246	1386	1381	1198	562	1246	908	1669	1441	1325	1914	1456	1647	1693	2157	1248	938	1454	1110	1162	708	1048	965	923	702	293	1284	349	206	274	576	503	644	1068	937	495	604	195	659	577	254	318	201	597	1188	1376	989	799	569	327	1764	717					
2	Число полученных избирательных бюллетеней	51316	1306	302	1189	1385	1388	1211	559	1258	925	1669	1445	1322	1921	1455	1662	1702	2175	1258	933	1461	1141	1172	704	1045	956	922	740	301	1307	359	206	258	593	514	668	1064	1011	501	635	195	675	570	264	337	212	622	1196	1387	974	859	587	336	1760	719					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32262	764	244	736	838	842	616	290	801	605	1063	878	825	1215	902	1021	1194	1505	819	582	987	805	745	348	577	621	547	564	189	732	220	132	206	464	277	477	778	652	288	378	78	418	275	169	188	146	369	818	974	574	608	334	174	1005	405					
5	"Число избирательных бюллетеней, выданных вне помещения"	4048	132	14	145	52	37	148	138	21	12	48	11	30	33	49	36	13	131	40	24	44	11	130	140	174	84	148	0	31	223	109	44	48	34	101	19	36	108	107	132	75	76	135	39	50	14	64	59	19	127	118	124	70	151	90					
6	Число погашенных избирательных бюллетеней	15006	410	44	308	495	509	447	131	436	308	558	556	467	673	504	605	495	539	399	327	430	325	297	216	294	251	227	176	81	352	30	30	4	95	136	172	250	251	106	125	42	181	160	56	99	52	189	319	394	273	133	129	92	604	224					
7	Число избирательных бюллетеней в переносных ящиках	4048	132	14	145	52	37	148	138	21	12	48	11	30	33	49	36	13	131	40	24	44	11	130	140	174	84	148	0	31	223	109	44	48	34	101	19	36	108	107	132	75	76	135	39	50	14	64	59	19	127	118	124	70	151	90					
8	Число бюллетеней в стационарных ящиках для голосования	32250	764	244	736	836	841	616	290	801	605	1063	878	825	1213	902	1017	1194	1505	819	582	987	804	745	348	577	621	547	562	189	732	220	132	206	464	277	477	778	652	288	378	78	418	275	169	188	146	369	818	974	574	608	334	174	1005	405					
9	Число недействительных избирательных бюллетеней	482	8	7	7	6	10	0	2	10	10	7	11	6	4	15	7	5	99	9	7	13	6	9	7	11	10	3	4	2	14	2	2	0	3	2	5	6	13	4	6	4	4	6	4	4	8	7	21	15	9	8	4	2	18	16					
10	Число действительных избирательных бюллетеней	35816	888	251	874	882	868	764	426	812	607	1104	878	849	1242	936	1046	1202	1537	850	599	1018	809	866	481	740	695	692	558	218	941	327	174	254	495	376	491	808	747	391	504	149	490	404	204	234	152	426	856	978	692	718	454	242	1138	479					
