Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Волгодонская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №2508	УИК №2509					
1	"Число избирателей, внесенных в список"	21466	625	886	655	819	405	1863	567	370	2001	222	346	321	525	132	148	874	679	931	610	651	694	329	1183	380	1786	2071	1393					
2	Число полученных избирательных бюллетеней	21812	640	900	660	820	400	1850	570	370	2010	220	340	330	540	147	155	920	690	940	630	680	690	320	1230	400	1820	2100	1440					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18004	415	720	527	717	364	1596	529	332	1816	210	311	158	148	107	135	746	588	812	523	560	593	315	1111	289	1454	1672	1256					
5	"Число избирательных бюллетеней, выданных вне помещения"	1053	48	41	45	30	17	57	0	32	114	0	0	23	8	3	0	44	22	37	34	0	0	0	21	59	106	228	84					
6	Число погашенных избирательных бюллетеней	2755	177	139	88	73	19	197	41	6	80	10	29	149	384	37	20	130	80	91	73	120	97	5	98	52	260	200	100					
7	Число избирательных бюллетеней в переносных ящиках	1053	48	41	45	30	17	57	0	32	114	0	0	23	8	3	0	44	22	37	34	0	0	0	21	59	106	228	84					
8	Число бюллетеней в стационарных ящиках для голосования	18003	415	720	527	717	364	1596	529	332	1816	210	311	158	148	107	135	746	588	812	523	560	593	314	1111	289	1454	1672	1256					
9	Число недействительных избирательных бюллетеней	110	8	3	0	0	5	0	2	0	14	0	20	2	1	2	0	2	3	0	10	5	16	2	0	4	0	3	8					
10	Число действительных избирательных бюллетеней	18946	455	758	572	747	376	1653	527	364	1916	210	291	179	155	108	135	788	607	849	547	555	577	312	1132	344	1560	1897	1332					
11	Число полученных открепительных  удостоверений	483	25	25	10	5	1	23	10	5	7	10	1	10	10	15	5	63	20	20	23	60	12	5	40	20	20	15	23					
12	Число выданных открепительных удостоверений	458	25	25	10	5	0	23	4	5	7	0	0	10	10	13	5	63	20	20	23	60	12	0	40	20	20	15	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	103	4	3	3	0	1	18	2	0	4	0	1	0	1	0	0	23	2	5	5	0	4	5	2	0	2	8	10					
14	Число неиспользованных открепительных удостоверений	25	0	0	0	0	1	0	6	0	0	10	1	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	17	0	2	1	1	0	0	1	0	1	0	0	0	0	0	0	2	0	2	0	1	0	0	0	1	0	4	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
