Выборы Президента Российской Федерации									
									
Наименование Избирательной комиссии:    Быстринская									
									
Итоги голосования 									
									
		Сумма	УИК №158	УИК №159					
1	"Число избирателей, внесенных в список"	2086	1666	420					
2	Число полученных избирательных бюллетеней	2100	1700	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	91	87	4					
4	"Число избирательных бюллетеней, выданных в день голосования"	1126	853	273					
5	"Число избирательных бюллетеней, выданных вне помещения"	89	76	13					
6	Число погашенных избирательных бюллетеней	794	684	110					
7	Число избирательных бюллетеней в переносных ящиках	180	163	17					
8	Число бюллетеней в стационарных ящиках для голосования	1126	853	273					
9	Число недействительных избирательных бюллетеней	8	6	2					
10	Число действительных избирательных бюллетеней	1298	1010	288					
11	Число полученных открепительных  удостоверений	143	100	43					
12	Число выданных открепительных удостоверений	39	27	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	10	14					
14	Число неиспользованных открепительных удостоверений	104	73	31					
15	"Число открепительных удостоверений, выданных в ТИК"	7	7	0					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0					
"Число голосов избирателей, поданных за каждый список"									
18	. Глазьев Сергей Юрьевич	65	59	6					
		4.98%	5.81%	2.07%					
19	. Малышкин Олег Александрович	33	27	6					
		2.53%	2.66%	2.07%					
20	. Миронов Сергей Михайлович	9	9	0					
		0.69%	0.89%	0.00%					
21	. Путин Владимир Владимирович	1000	755	245					
		76.57%	74.31%	84.48%					
22	. Хакамада Ирина Муцуовна	69	58	11					
		5.28%	5.71%	3.79%					
23	. Харитонов Николай Михайлович	95	79	16					
		7.27%	7.78%	5.52%					
									
24	Против всех	27	23	4					
		2.07%	2.26%	1.38%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
