Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																							
Дата голосования: 04.12.2011																																							
																																							
Наименование Избирательной комиссии:    Веденская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	15	10	5	5	10	20	10	10	5	10	5	5	5	5	7	3	10	10	10	15	20	25	5	5	10	10	10	10	5	10	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	5	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	295	15	10	3	5	10	20	8	10	5	10	5	5	5	5	7	3	10	10	9	15	20	25	5	5	10	10	10	10	5	10	5	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	43	2	2	1	1	1	2	2	1	3	1	2	1	2	1	1	0	1	1	2	1	2	3	2	1	0	2	1	0	0	2	1	1					
		0.22%	0.13%	0.23%	0.53%	0.36%	0.08%	0.13%	0.18%	0.25%	0.51%	0.25%	0.73%	0.64%	0.70%	0.43%	0.30%	0.00%	0.36%	0.67%	0.16%	0.08%	0.18%	0.19%	0.40%	0.55%	0.00%	0.25%	0.30%	0.00%	0.00%	0.56%	0.66%	0.11%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	2	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1					
		0.07%	0.13%	0.12%	0.00%	0.00%	0.08%	0.06%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.08%	0.09%	0.06%	0.20%	0.00%	0.19%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	15	1	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	1					
		0.08%	0.06%	0.00%	0.00%	0.36%	0.08%	0.06%	0.00%	0.00%	0.17%	0.25%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.08%	0.08%	0.09%	0.06%	0.00%	0.00%	0.00%	0.13%	0.30%	0.66%	0.00%	0.00%	0.00%	0.11%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	11	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	1	0	0	0	0	0	1					
		0.06%	0.06%	0.00%	0.00%	0.00%	0.08%	0.06%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.08%	0.00%	0.06%	0.00%	0.00%	0.37%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19035	1557	850	186	276	1286	1548	1127	394	588	394	271	156	283	231	328	48	271	148	1247	1220	1098	1571	497	182	532	789	334	150	54	352	150	917					
		99.40%	99.43%	99.53%	99.47%	99.28%	99.54%	99.42%	99.65%	99.49%	99.32%	99.49%	99.27%	99.36%	99.30%	99.57%	99.09%	100.00%	98.91%	98.67%	99.44%	99.43%	99.55%	99.49%	99.00%	99.45%	99.25%	99.25%	99.40%	99.34%	100.00%	99.44%	99.34%	99.14%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	7	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2					
		0.04%	0.06%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.08%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
