Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Усть-Катавская городская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289					
1	"Число избирателей, внесенных в список"	22934	1415	1068	2353	1316	1811	1124	740	874	651	1691	2028	993	1150	1635	980	199	1628	436	498	246	98					
2	Число полученных избирательных бюллетеней	20982	1300	980	2120	1200	1670	1010	680	780	600	1600	1850	930	950	1550	900	192	1470	390	490	220	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14100	871	681	1464	755	1120	605	447	437	413	1114	1315	652	722	931	505	145	1065	279	360	149	70					
5	"Число избирательных бюллетеней, выданных вне помещения"	1112	22	17	25	37	18	73	51	95	16	44	47	43	108	167	103	10	101	48	41	30	16					
6	Число погашенных избирательных бюллетеней	5770	407	282	631	408	532	332	182	248	171	442	488	235	120	452	292	37	304	63	89	41	14					
7	Число избирательных бюллетеней в переносных ящиках	1112	22	17	25	37	18	73	51	95	16	44	47	43	108	167	103	10	101	48	41	30	16					
8	Число бюллетеней в стационарных ящиках для голосования	14100	871	681	1464	755	1120	605	447	437	413	1114	1315	652	722	931	505	145	1065	279	360	149	70					
9	Число недействительных избирательных бюллетеней	144	9	5	10	6	5	11	2	13	10	10	11	4	5	7	5	3	16	3	6	2	1					
10	Число действительных избирательных бюллетеней	15068	884	693	1479	786	1133	667	496	519	419	1148	1351	691	825	1091	603	152	1150	324	395	177	85					
11	Число полученных открепительных  удостоверений	227	13	13	15	13	15	13	10	12	10	15	15	13	12	13	12	5	13	5	5	3	2					
12	Число выданных открепительных удостоверений	104	8	8	15	6	8	4	5	6	0	10	9	9	2	7	0	0	2	1	3	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	29	4	1	2	2	1	0	0	0	0	2	1	0	2	0	0	1	5	3	4	1	0					
14	Число неиспользованных открепительных удостоверений	123	5	5	0	7	7	9	5	6	10	5	6	4	10	6	12	5	11	4	2	3	1					
15	"Число открепительных удостоверений, выданных в ТИК"	34	1	1	3	2	8	2	1	0	0	4	2	1	1	3	2	1	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	439	23	28	50	21	45	12	15	18	8	43	60	24	36	17	17	2	13	3	4	0	0					
		2.89%	2.58%	4.01%	3.36%	2.65%	3.95%	1.77%	3.01%	3.38%	1.86%	3.71%	4.41%	3.45%	4.34%	1.55%	2.80%	1.29%	1.11%	0.92%	1.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	345	19	19	33	25	30	15	6	14	12	23	30	11	9	30	19	3	16	11	14	4	2					
		2.27%	2.13%	2.72%	2.22%	3.16%	2.64%	2.21%	1.20%	2.63%	2.80%	1.99%	2.20%	1.58%	1.08%	2.73%	3.12%	1.94%	1.37%	3.36%	3.49%	2.23%	2.33%					
20	. Миронов Сергей Михайлович	117	8	7	16	4	8	6	6	2	4	9	11	6	8	7	4	1	2	2	5	1	0					
		0.77%	0.90%	1.00%	1.07%	0.51%	0.70%	0.88%	1.20%	0.38%	0.93%	0.78%	0.81%	0.86%	0.96%	0.64%	0.66%	0.65%	0.17%	0.61%	1.25%	0.56%	0.00%					
21	. Путин Владимир Владимирович	9865	617	431	981	487	737	442	327	350	283	712	870	438	510	682	375	126	889	223	233	93	59					
		64.85%	69.09%	61.75%	65.88%	61.49%	64.76%	65.19%	65.66%	65.79%	65.97%	61.49%	63.88%	63.02%	61.45%	62.11%	61.68%	81.29%	76.24%	68.20%	58.10%	51.96%	68.60%					
22	. Хакамада Ирина Муцуовна	403	35	30	48	22	35	19	12	15	16	26	35	16	22	22	13	3	17	9	5	2	1					
		2.65%	3.92%	4.30%	3.22%	2.78%	3.08%	2.80%	2.41%	2.82%	3.73%	2.25%	2.57%	2.30%	2.65%	2.00%	2.14%	1.94%	1.46%	2.75%	1.25%	1.12%	1.16%					
23	. Харитонов Николай Михайлович	3348	142	155	283	195	224	155	115	101	79	281	290	167	196	303	153	16	197	74	126	73	23					
		22.01%	15.90%	22.21%	19.01%	24.62%	19.68%	22.86%	23.09%	18.98%	18.41%	24.27%	21.29%	24.03%	23.61%	27.60%	25.16%	10.32%	16.90%	22.63%	31.42%	40.78%	26.74%					
																												
24	Против всех	551	40	23	68	32	54	18	15	19	17	54	55	29	44	30	22	1	16	2	8	4	0					
		3.62%	4.48%	3.30%	4.57%	4.04%	4.75%	2.65%	3.01%	3.57%	3.96%	4.66%	4.04%	4.17%	5.30%	2.73%	3.62%	0.65%	1.37%	0.61%	2.00%	2.23%	0.00%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
