Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																			
Дата голосования: 18.09.2016																			
																			
Наименование Избирательной комиссии:    Олюторская																			
																			
Сводная таблица итогов голосования по федеральному избирательному округу																			
																			
		Сумма	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3738	364	120	1450	500	428	300	200	376									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3660	370	80	1360	540	410	300	210	390									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	320	53	10	147	8	0	38	42	22									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1590	95	70	591	243	238	112	59	182									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	73	9	0	44	7	0	6	4	3									
6	Число погашенных избирательных бюллетеней	1677	213	0	578	282	172	144	105	183									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	393	62	10	191	15	0	44	46	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1590	95	70	591	243	238	112	59	182									
9	Число недействительных избирательных бюллетеней	39	5	0	15	3	6	2	5	3									
10	Число действительных избирательных бюллетеней	1944	152	80	767	255	232	154	100	204									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	56	5	5	21	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	2	0	0	0	0	0	0	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	5	0	2	3	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	54	5	5	21	5	5	5	3	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	3	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0									
																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	25	2	0	10	5	2	3	2	1									
		1.26%	1.27%	0.00%	1.28%	1.94%	0.84%	1.92%	1.90%	0.48%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	46	2	2	24	4	5	0	3	6									
		2.32%	1.27%	2.50%	3.07%	1.55%	2.10%	0.00%	2.86%	2.90%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	60	2	5	20	18	4	4	2	5									
		3.03%	1.27%	6.25%	2.56%	6.98%	1.68%	2.56%	1.90%	2.42%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1131	84	31	435	152	123	110	65	131									
		57.03%	53.50%	38.75%	55.63%	58.91%	51.68%	70.51%	61.90%	63.29%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	12	0	0	4	3	1	1	0	3									
		0.61%	0.00%	0.00%	0.51%	1.16%	0.42%	0.64%	0.00%	1.45%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	1	0	3	0	0	0	0	1									
		0.25%	0.64%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.48%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	425	39	28	181	47	60	19	21	30									
		21.43%	24.84%	35.00%	23.15%	18.22%	25.21%	12.18%	20.00%	14.49%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	8	1	0	5	0	1	1	0	0									
		0.40%	0.64%	0.00%	0.64%	0.00%	0.42%	0.64%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	18	3	1	6	1	1	2	1	3									
		0.91%	1.91%	1.25%	0.77%	0.39%	0.42%	1.28%	0.95%	1.45%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	0	2	0	0	0	0	1									
		0.15%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.48%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	13	0	0	8	0	2	2	0	1									
		0.66%	0.00%	0.00%	1.02%	0.00%	0.84%	1.28%	0.00%	0.48%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	148	9	8	56	20	27	5	3	20									
		7.46%	5.73%	10.00%	7.16%	7.75%	11.34%	3.21%	2.86%	9.66%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	0	2	3	0	3	1	0	1									
		0.50%	0.00%	2.50%	0.38%	0.00%	1.26%	0.64%	0.00%	0.48%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	40	9	3	10	5	3	6	3	1									
		2.02%	5.73%	3.75%	1.28%	1.94%	1.26%	3.85%	2.86%	0.48%									
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
